station_observations
Rain_Tot, WS_Std, Pressure, AirTC, time, RH, WindDir_Avg, DBTCDT
0.0, 0.32, 846.369, -4.937, 2012-01-06 11:30:00, 82.6, 110.2, 107.2
0.0, 0.238, 845.964, -4.674, 2012-01-06 14:30:00, 81.3, 239.0, 107.2
0.0, 0.287, 846.083, -5.075, 2012-01-06 14:45:00, 82.7, 203.7, 107.2
0.0, 0.314, 846.217, -5.276, 2012-01-06 15:00:00, 85.1, 228.0, 107.3
0.0, 0.324, 846.358, -5.371, 2012-01-06 15:15:00, 87.7, 199.8, 107.2
0.0, 0.226, 846.375, -5.463, 2012-01-06 15:30:00, 87.4, 205.6, 107.0
0.0, 0.2, 846.517, -5.465, 2012-01-06 15:45:00, 88.7, 212.7, 106.9
0.0, 0.791, 842.964, 0.609, 2012-01-09 12:00:00, 76.91, 252.0, 109.0
0.0, 0.0, 651.186, -60.62, 2012-01-10 12:45:00, 15.98, 63.31, 121.0
0.0, 0.029, 821.795, -19.71, 2012-01-10 13:15:00, 68.71, 240.0, 110.4
0.0, 0.082, 839.2, -14.55, 2012-01-10 14:30:00, 61.42, 299.2, 109.2
0.0, 0.272, 855.461, -10.11, 2012-01-10 14:45:00, 62.52, 300.7, 108.2
0.0, 0.226, 857.113, -9.87, 2012-01-10 15:00:00, 62.52, 283.1, 108.2
0.254, 0.439, 857.194, -9.64, 2012-01-10 15:15:00, 62.0, 310.2, 108.1
0.0, 0.361, 857.168, -9.45, 2012-01-10 15:30:00, 61.85, 312.3, 107.9
0.0, 0.265, 857.299, -9.76, 2012-01-10 15:45:00, 63.29, 305.2, 108.0
0.0, 0.28, 857.435, -9.86, 2012-01-10 16:00:00, 65.21, 302.0, 108.1
0.0, 0.236, 857.572, -9.97, 2012-01-10 16:15:00, 66.23, 300.3, 108.1
0.0, 0.359, 857.572, -10.47, 2012-01-10 16:30:00, 66.5, 316.7, 108.1
0.0, 0.233, 857.64, -10.85, 2012-01-10 16:45:00, 67.33, 299.6, 108.1
0.0, 0.227, 857.845, -11.33, 2012-01-10 17:00:00, 69.06, 307.7, 108.3
0.0, 0.16, 857.845, -12.61, 2012-01-10 17:15:00, 74.08, 295.7, 108.3
0.0, 0.106, 857.9, -12.99, 2012-01-10 17:30:00, 74.52, 309.1, 108.4
0.0, 0.256, 891.137, 0.927, 2012-01-11 13:15:00, 42.66, 152.6, 105.1
0.0, 0.219, 858.82, -7.1, 2012-01-11 13:30:00, 45.15, 104.9, 107.0
0.0, 0.228, 856.054, -7.504, 2012-01-11 13:45:00, 46.8, 81.9, 107.2
0.0, 0.324, 855.417, -8.27, 2012-01-11 14:00:00, 48.94, 69.03, 107.3
0.0, 0.253, 855.255, -8.38, 2012-01-11 14:15:00, 42.34, 88.5, 107.4
0.0, 0.228, 855.116, -8.67, 2012-01-11 14:30:00, 43.71, 102.8, 107.4
0.0, 0.251, 855.389, -8.38, 2012-01-11 14:45:00, 37.53, 97.9, 107.4
0.0, 0.365, 855.525, -7.887, 2012-01-11 15:00:00, 37.18, 132.0, 107.4
0.0, 0.202, 855.662, -7.444, 2012-01-11 15:15:00, 25.43, 145.0, 107.4
0.0, 0.179, 855.662, -6.805, 2012-01-11 15:30:00, 21.86, 126.1, 107.3
0.0, 0.225, 855.253, -7.1, 2012-01-11 15:45:00, 26.19, 100.1, 107.3
0.0, 0.216, 855.512, -7.1, 2012-01-11 16:00:00, 22.82, 132.2, 107.4
0.0, 0.308, 855.081, -7.002, 2012-01-11 16:15:00, 27.63, 123.7, 107.3
0.0, 0.406, 855.68, -7.1, 2012-01-11 16:30:00, 34.3, 100.1, 107.0
0.0, 0.454, 832.453, 0.862, 2012-01-29 14:45:00, 90.9, 112.8, 135.7
0.0, 0.193, 836.933, -1.544, 2012-01-30 13:00:00, 79.6, 250.0, 134.6
0.0, 0.74, 854.669, -2.133, 2012-02-02 13:00:00, 58.1, 118.1, 134.9
0.0, 0.257, 854.533, -2.526, 2012-02-02 13:15:00, 64.01, 118.1, 134.9
0.0, 0.0, 851.822, 4.203, 2012-02-03 11:45:00, 60.33, 208.3, 133.0
0.0, 0.394, 851.503, 4.987, 2012-02-03 13:00:00, 56.49, 162.4, 132.9
0.0, 0.358, 851.222, 5.183, 2012-02-03 13:15:00, 55.94, 144.8, 132.8
0.0, 0.27, 851.058, 4.987, 2012-02-03 13:30:00, 55.94, 111.8, 132.8
0.0, 0.446, 851.038, 5.085, 2012-02-03 13:45:00, 56.42, 147.5, 132.8
0.0, 0.398, 850.908, 5.085, 2012-02-03 14:00:00, 55.73, 151.7, 132.7
0.0, 0.346, 850.795, 4.987, 2012-02-03 14:15:00, 55.87, 130.7, 132.8
0.0, 0.352, 850.674, 5.085, 2012-02-03 14:30:00, 55.46, 126.5, 132.7
0.0, 0.349, 850.68, 4.987, 2012-02-03 14:45:00, 55.04, 132.9, 132.7
0.0, 0.471, 850.477, 4.889, 2012-02-03 15:00:00, 57.1, 126.6, 132.7
0.0, 0.414, 850.381, 4.692, 2012-02-03 15:15:00, 58.96, 120.5, 132.7
0.0, 0.381, 850.088, 4.79, 2012-02-03 15:30:00, 58.75, 122.4, 132.6
0.0, 0.461, 849.936, 4.987, 2012-02-03 15:45:00, 58.68, 133.2, 132.6
0.0, 0.263, 850.063, 4.889, 2012-02-03 16:00:00, 58.61, 123.2, 132.7
0.0, 0.398, 850.189, 4.987, 2012-02-03 16:15:00, 58.61, 124.8, 132.6
0.0, 0.434, 849.915, 4.984, 2012-02-03 16:30:00, 60.88, 108.5, 132.5
0.0, 0.282, 849.915, 4.69, 2012-02-03 16:45:00, 62.59, 110.4, 132.5
0.0, 0.23, 849.887, 4.594, 2012-02-03 17:00:00, 62.87, 95.5, 132.6
0.0, 0.275, 849.942, 4.201, 2012-02-03 17:15:00, 64.1, 116.3, 132.6
0.0, 0.409, 849.984, 3.808, 2012-02-03 17:30:00, 65.27, 134.3, 132.6
0.0, 0.352, 849.999, 3.219, 2012-02-03 17:45:00, 69.05, 122.6, 132.6
0.0, 0.229, 849.864, 2.826, 2012-02-03 18:00:00, 70.69, 122.3, 132.6
0.0, 0.359, 849.659, 2.532, 2012-02-03 18:15:00, 71.24, 116.6, 132.5
0.0, 0.387, 852.419, 3.339, 2012-02-04 13:00:00, 31.37, 118.1, 130.8
0.0, 0.344, 852.319, 3.614, 2012-02-04 13:15:00, 30.61, 103.4, 130.6
0.0, 0.19, 852.316, 3.809, 2012-02-04 13:30:00, 29.38, 99.2, 130.0
0.0, 0.214, 852.18, 4.103, 2012-02-04 13:45:00, 29.31, 90.3, 130.1
0.0, 0.312, 852.18, 4.398, 2012-02-04 14:00:00, 26.08, 135.1, 130.2
0.0, 0.359, 852.316, 4.398, 2012-02-04 14:15:00, 27.18, 138.3, 130.1
0.0, 0.361, 852.316, 5.183, 2012-02-04 14:30:00, 27.45, 158.1, 129.8
0.0, 0.347, 852.316, 4.79, 2012-02-04 14:45:00, 26.15, 156.8, 130.0
0.0, 0.348, 852.316, 4.398, 2012-02-04 15:00:00, 27.93, 136.1, 129.7
0.0, 0.332, 852.316, 4.741, 2012-02-04 15:15:00, 27.66, 149.5, 129.9
0.0, 0.405, 852.316, 5.281, 2012-02-04 15:30:00, 26.01, 146.8, 130.0
0.0, 0.341, 852.297, 4.987, 2012-02-04 15:45:00, 27.45, 144.7, 129.5
0.0, 0.294, 852.285, 4.594, 2012-02-04 16:00:00, 28.55, 152.0, 130.1
0.0, 0.305, 852.265, 4.496, 2012-02-04 16:15:00, 29.31, 151.0, 128.7
0.0, 0.226, 852.245, 5.183, 2012-02-04 16:30:00, 29.31, 156.6, 129.9
0.0, 0.282, 852.114, 5.085, 2012-02-04 16:45:00, 28.69, 146.6, 129.8
0.0, 0.291, 852.128, 4.299, 2012-02-04 17:00:00, 30.4, 157.1, 129.5
