station_observations
Rain_Tot, AirTC, time, RH, DBTCDT
0.0, -11.56, 2012-01-01 00:00:00, 81.5, 0.633
0.0, -12.13, 2012-01-01 00:15:00, 79.16, 0.63
0.0, -11.98, 2012-01-01 00:29:59, 86.2, 0.631
0.0, -12.17, 2012-01-01 00:45:00, 81.1, 0.632
0.0, -11.66, 2012-01-01 01:00:00, 75.95, 0.63
0.0, -11.5, 2012-01-01 01:14:59, 79.09, 0.631
0.0, -11.29, 2012-01-01 01:30:00, 74.93, 0.633
0.0, -10.81, 2012-01-01 01:45:00, 66.07, 0.632
0.0, -10.27, 2012-01-01 01:59:59, 75.35, 0.629
0.0, -9.74, 2012-01-01 02:15:00, 57.5, 0.631
0.0, -9.75, 2012-01-01 02:30:00, 66.26, 0.631
0.0, -10.72, 2012-01-01 02:44:59, 67.08, 0.629
0.0, -11.12, 2012-01-01 03:00:00, 72.91, 0.633
0.0, -10.67, 2012-01-01 03:15:00, 68.54, 0.63
0.0, -9.95, 2012-01-01 03:29:59, 58.68, 0.628
0.0, -9.64, 2012-01-01 03:45:00, 76.96, 0.627
0.0, -10.02, 2012-01-01 04:00:00, 63.76, 0.629
0.0, -10.42, 2012-01-01 04:14:59, 74.68, 0.628
0.0, -10.59, 2012-01-01 04:30:00, 80.2, 0.628
0.0, -10.55, 2012-01-01 04:45:00, 71.45, 0.628
0.0, -10.73, 2012-01-01 04:59:59, 70.53, 0.631
0.0, -10.57, 2012-01-01 05:15:00, 66.44, 0.626
0.0, -10.54, 2012-01-01 05:30:00, 69.67, 0.623
0.0, -10.91, 2012-01-01 05:44:59, 69.22, 0.618
0.0, -10.52, 2012-01-01 06:00:00, 76.86, 0.619
0.0, -10.75, 2012-01-01 06:15:00, 72.73, 0.621
0.0, -10.85, 2012-01-01 06:29:59, 73.9, 0.624
0.0, -10.84, 2012-01-01 06:45:00, 70.59, 0.625
0.0, -11.11, 2012-01-01 07:00:00, 73.19, 0.621
0.0, -10.63, 2012-01-01 07:14:59, 71.04, 0.617
0.0, -10.87, 2012-01-01 07:30:00, 69.54, 0.622
0.0, -10.97, 2012-01-01 07:45:00, 74.65, 0.614
0.0, -11.64, 2012-01-01 07:59:59, 82.4, 0.617
0.0, -11.65, 2012-01-01 08:15:00, 84.6, 0.617
0.0, -10.49, 2012-01-01 08:30:00, 67.97, 0.613
0.0, -10.41, 2012-01-01 08:44:59, 75.75, 0.623
0.0, -11.2, 2012-01-01 09:00:00, 73.15, 0.619
0.0, -10.82, 2012-01-01 09:15:00, 72.98, 0.621
0.0, -11.33, 2012-01-01 09:29:59, 78.68, 0.617
0.0, -11.74, 2012-01-01 09:45:00, 84.5, 0.616
0.0, -11.46, 2012-01-01 10:00:00, 77.52, 0.618
0.0, -11.12, 2012-01-01 10:14:59, 74.87, 0.614
0.0, -10.45, 2012-01-01 10:30:00, 70.47, 0.62
0.0, -9.72, 2012-01-01 10:45:00, 74.89, 0.622
0.0, -9.83, 2012-01-01 10:59:59, 73.99, 0.623
0.0, -9.68, 2012-01-01 11:15:00, 77.16, 0.612
0.0, -9.48, 2012-01-01 11:30:00, 68.97, 0.62
0.0, -9.3, 2012-01-01 11:44:59, 67.54, 0.615
0.0, -8.48, 2012-01-01 12:00:00, 66.95, 0.619
0.0, -8.98, 2012-01-01 12:15:00, 70.11, 0.618
0.0, -8.7, 2012-01-01 12:29:59, 69.16, 0.618
0.0, -8.78, 2012-01-01 12:45:00, 71.65, 0.618
0.0, -8.58, 2012-01-01 13:00:00, 72.22, 0.617
0.0, -7.915, 2012-01-01 13:14:59, 58.71, 0.625
0.0, -3.624, 2012-01-01 13:30:00, 52.36, 0.61
0.0, -5.806, 2012-01-01 13:45:00, 67.63, 0.616
0.0, -7.136, 2012-01-01 13:59:59, 70.6, 0.614
0.0, -6.839, 2012-01-01 14:15:00, 68.72, 0.615
