station_observations
K_Dn_Avg, WS_Std, AirTC, DBTCDT, Rain_Tot, L_Dn_Avg, L_Up_Avg, WS_Avg, Pressure, time, K_Up_Avg, RH, WindDir_Avg
0.0, 0.0, -11.14, 52.4, 0.0, -5.419, -0.029, 0.0, 941.038, 2012-01-01 00:00:00, 0.324, 93.6, 89.3
0.0, 0.0, -11.22, 52.62, 0.0, -5.509, -0.097, 0.0, 941.171, 2012-01-01 00:15:00, 0.504, 93.6, 148.5
0.0, 0.0, -11.31, 52.72, 0.0, -4.966, -0.147, 0.0, 941.171, 2012-01-01 00:30:00, 0.558, 93.5, 146.3
0.0, 0.0, -11.16, 52.81, 0.0, -4.157, -0.255, 0.0, 941.039, 2012-01-01 00:45:00, 1.116, 93.9, 259.7
0.0, 0.0, -11.0, 52.84, 0.0, -3.787, -0.27, 0.0, 940.905, 2012-01-01 01:00:00, 1.494, 94.0, 319.9
0.0, 0.0, -10.97, 52.86, 0.0, -4.01, -0.209, 0.0, 940.775, 2012-01-01 01:15:00, 1.368, 93.9, 276.6
0.0, 0.0, -11.01, 53.67, 0.0, -4.132, -0.14, 0.0, 940.771, 2012-01-01 01:30:00, 0.936, 93.4, 109.7
0.0, 0.0, -11.16, 53.45, 0.0, -4.301, -0.097, 0.0, 940.436, 2012-01-01 01:45:00, 0.558, 93.4, 219.9
0.0, 0.0, -11.17, 53.72, 0.0, -4.236, -0.209, 0.0, 940.034, 2012-01-01 02:00:00, 0.81, 93.7, 120.6
0.0, 0.0, -11.21, 53.67, 0.0, -4.373, -0.205, 0.0, 939.817, 2012-01-01 02:15:00, 0.774, 93.5, 144.3
0.0, 0.0, -11.21, 53.01, 0.0, -4.524, -0.158, 0.0, 939.568, 2012-01-01 02:30:00, 0.81, 93.6, 229.5
0.0, 0.0, -11.34, 53.86, 0.0, -4.621, -0.111, 0.0, 939.567, 2012-01-01 02:45:00, 0.54, 93.7, 201.9
0.0, 0.0, -11.32, 53.86, 0.0, -4.272, -0.216, 0.0, 939.575, 2012-01-01 03:00:00, 0.81, 93.6, 181.1
0.0, 0.0, -11.24, 53.95, 0.0, -3.783, -0.245, 0.0, 939.576, 2012-01-01 03:15:00, 1.206, 93.5, 210.0
0.0, 0.0, -11.19, 54.38, 0.0, -3.402, -0.212, 0.0, 939.579, 2012-01-01 03:30:00, 1.08, 93.9, 82.5
0.0, 0.0, -11.01, 53.98, 0.0, -2.852, -0.288, 0.0, 939.577, 2012-01-01 03:45:00, 1.458, 93.9, 202.7
0.0, 0.0, -10.97, 54.21, 0.0, -2.604, -0.209, 0.0, 939.568, 2012-01-01 04:00:00, 1.296, 94.0, 128.2
0.0, 0.0, -10.92, 54.23, 0.0, -2.312, -0.23, 0.0, 939.567, 2012-01-01 04:15:00, 1.278, 93.9, 46.7
0.0, 0.0, -10.77, 54.18, 0.0, -2.079, -0.248, 0.0, 939.432, 2012-01-01 04:30:00, 1.332, 94.1, 156.6
0.0, 0.0, -10.67, 53.99, 0.0, -1.895, -0.223, 0.0, 939.566, 2012-01-01 04:45:00, 1.332, 94.2, 210.3
0.0, 0.0, -10.5, 54.22, 0.0, -1.809, -0.27, 0.0, 939.446, 2012-01-01 05:00:00, 1.35, 94.2, 241.2
0.0, 0.0, -10.37, 54.3, 0.0, -1.83, -0.227, 0.0, 939.549, 2012-01-01 05:15:00, 1.35, 94.1, 213.0
0.0, 0.0, -10.27, 54.36, 0.0, -2.14, -0.176, 0.0, 939.68, 2012-01-01 05:30:00, 1.062, 94.4, 192.5
0.0, 0.0, -10.13, 54.25, 0.0, -1.722, -0.245, 0.0, 939.807, 2012-01-01 05:45:00, 1.206, 94.5, 197.3
0.0, 0.0, -10.02, 54.38, 0.0, -1.514, -0.212, 0.0, 939.805, 2012-01-01 06:00:00, 1.17, 94.4, 194.5
0.0, 0.0, -10.19, 54.28, 0.0, -3.333, -0.007, 0.0, 939.701, 2012-01-01 06:15:00, 0.396, 93.7, 83.3
0.0, 0.0, -10.47, 54.11, 0.0, -4.796, 0.04, 0.0, 939.58, 2012-01-01 06:30:00, 0.0, 93.6, 285.5
0.0, 0.0, -10.74, 53.77, 0.0, -5.293, 0.065, 0.0, 939.464, 2012-01-01 06:45:00, 0.0, 93.6, 137.3
0.0, 0.0, -10.85, 54.03, 0.0, -5.393, -0.054, 0.0, 939.202, 2012-01-01 07:00:00, 0.072, 93.6, 246.1
0.0, 0.0, -10.94, 54.08, 0.0, -4.951, -0.076, 0.0, 939.671, 2012-01-01 07:15:00, 0.378, 93.4, 197.9
0.0, 0.0, -10.93, 54.03, 0.0, -4.729, -0.122, 0.0, 939.349, 2012-01-01 07:30:00, 0.576, 94.0, 223.0
0.0, 0.0, -11.15, 54.07, 0.0, -4.667, -0.076, 0.0, 938.826, 2012-01-01 07:45:00, 0.288, 93.3, 146.5
0.0, 0.0, -11.2, 53.9, 0.0, -4.542, -0.155, 0.0, 938.962, 2012-01-01 08:00:00, 0.522, 93.5, 329.7
0.0, 0.0, -11.25, 53.85, 0.0, -4.308, -0.198, 0.0, 938.964, 2012-01-01 08:15:00, 0.72, 93.5, 237.0
0.0, 0.0, -11.36, 53.94, 0.0, -4.402, -0.122, 0.0, 938.697, 2012-01-01 08:30:00, 0.666, 93.4, 160.8
0.0, 0.0, -11.42, 53.97, 0.0, -4.657, -0.079, 0.0, 938.601, 2012-01-01 08:45:00, 0.324, 93.4, 185.5
0.0, 0.0, -11.47, 53.81, 0.0, -4.351, -0.108, 0.0, 938.837, 2012-01-01 09:00:00, 0.63, 93.1, 260.7
0.0, 0.0, -11.6, 53.79, 0.0, -4.29, -0.083, 0.0, 938.571, 2012-01-01 09:15:00, 0.414, 93.1, 37.2
0.0, 0.0, -11.54, 53.95, 0.0, -3.83, -0.209, 0.0, 938.844, 2012-01-01 09:30:00, 0.864, 93.4, 140.4
0.0, 0.0, -11.54, 53.82, 0.0, -4.28, -0.129, 0.0, 938.714, 2012-01-01 09:45:00, 0.702, 93.4, 179.5
0.0, 0.0, -11.68, 53.73, 0.0, -4.434, -0.108, 0.0, 938.856, 2012-01-01 10:00:00, 0.684, 93.2, 104.8
0.0, 0.0, -11.62, 54.04, 0.0, -4.226, -0.219, 0.0, 938.856, 2012-01-01 10:15:00, 1.944, 93.3, 197.4
0.414, 0.0, -11.52, 53.52, 0.0, -3.809, -0.281, 0.0, 938.975, 2012-01-01 10:30:00, 4.157, 93.6, 165.1
2.718, 0.0, -11.39, 53.98, 0.0, -3.334, -0.273, 0.0, 939.192, 2012-01-01 10:45:00, 7.883, 93.7, 176.3
5.237, 0.0, -11.09, 53.96, 0.0, -2.881, -0.367, 0.0, 939.207, 2012-01-01 11:00:00, 13.14, 93.7, 187.8
7.865, 0.0, -10.78, 54.02, 0.0, -2.568, -0.45, 0.0, 939.085, 2012-01-01 11:15:00, 18.09, 93.7, 34.64
10.19, 0.0, -10.25, 53.88, 0.0, -1.622, -0.557, 0.0, 939.306, 2012-01-01 11:30:00, 23.09, 94.1, 140.3
11.66, 0.0, -9.86, 53.82, 0.0, -1.259, -0.45, 0.0, 938.966, 2012-01-01 11:45:00, 24.96, 94.1, 35.8
14.41, 0.0, -9.39, 53.71, 0.0, -0.845, -0.547, 0.0, 938.989, 2012-01-01 12:00:00, 29.93, 94.3, 225.9
17.15, 0.0, -8.9, 53.76, 0.0, -0.744, -0.414, 0.0, 938.999, 2012-01-01 12:15:00, 33.29, 94.6, 191.7
18.82, 0.0, -8.48, 53.54, 0.0, -1.075, -0.367, 0.0, 938.245, 2012-01-01 12:30:00, 34.92, 94.1, 121.1
