station_observations
Rain_Tot, WS_Std, Pressure, AirTC, time, RH, WindDir_Avg, DBTCDT
0.0, 0.71, 789.026, -10.29, 2012-01-01 10:30:00, 45.59, 165.1, 224.0
0.0, 0.605, 789.237, -10.79, 2012-01-01 10:45:00, 51.44, 167.1, 224.0
0.0, 0.406, 789.638, -10.8, 2012-01-01 11:00:00, 54.77, 145.1, 224.0
0.0, 0.591, 789.767, -10.41, 2012-01-01 11:15:00, 50.95, 132.9, 224.0
0.0, 0.824, 789.95, -10.12, 2012-01-01 11:30:00, 50.27, 160.6, 224.0
0.0, 0.895, 790.08, -10.02, 2012-01-01 11:45:00, 52.45, 146.1, 224.0
0.0, 0.699, 789.871, -11.0, 2012-01-01 12:00:00, 60.22, 144.1, 224.0
0.0, 0.913, 789.621, -10.32, 2012-01-01 12:15:00, 57.35, 137.6, 224.0
0.0, 1.598, 788.357, -8.47, 2012-01-01 12:30:00, 56.87, 143.0, 224.0
0.0, 1.294, 788.355, -7.508, 2012-01-01 12:45:00, 59.93, 135.0, 224.0
0.0, 0.74, 788.422, -8.19, 2012-01-01 13:00:00, 59.79, 135.9, 224.0
0.0, 0.722, 788.671, -8.58, 2012-01-01 13:15:00, 58.77, 130.7, 224.0
0.0, 0.871, 789.136, -7.996, 2012-01-01 13:30:00, 63.47, 131.5, 224.0
0.0, 0.53, 789.0, -8.68, 2012-01-01 13:45:00, 65.44, 138.0, 224.0
0.0, 0.586, 788.661, -8.39, 2012-01-01 14:00:00, 66.33, 146.7, 224.0
0.0, 0.777, 788.661, -8.09, 2012-01-01 14:15:00, 68.64, 151.0, 224.0
0.0, 0.494, 788.661, -8.68, 2012-01-01 14:30:00, 69.94, 147.3, 224.0
0.0, 0.83, 788.628, -9.26, 2012-01-01 14:45:00, 73.0, 125.0, 224.0
0.0, 0.692, 788.797, -9.46, 2012-01-01 15:00:00, 75.72, 168.0, 224.0
0.0, 0.695, 788.81, -9.75, 2012-01-01 15:15:00, 81.6, 137.9, 224.0
0.0, 0.287, 788.815, -9.26, 2012-01-01 15:30:00, 79.81, 190.6, 224.0
0.0, 0.863, 788.551, -8.68, 2012-01-01 15:45:00, 78.31, 154.7, 224.0
0.0, 0.516, 788.545, -8.58, 2012-01-01 16:00:00, 78.58, 222.2, 224.0
0.0, 0.164, 782.772, -9.56, 2012-01-06 14:15:00, 80.1, 239.9, 224.0
0.0, 1.358, 782.772, -9.56, 2012-01-06 14:45:00, 79.74, 234.8, 224.0
0.0, None, 782.772, -9.75, 2012-01-06 15:00:00, 83.5, 247.5, 224.0
0.0, 2.664, 789.099, -17.39, 2012-01-10 11:15:00, 79.0, 318.6, 224.0
0.0, 1.092, 789.516, -17.78, 2012-01-10 11:30:00, 80.3, 315.8, 224.0
0.0, 0.718, 789.656, -18.07, 2012-01-10 11:45:00, 77.23, 313.6, 224.0
0.0, 0.924, 789.789, -17.78, 2012-01-10 12:00:00, 72.94, 303.6, 224.0
0.0, 0.721, 789.859, -18.27, 2012-01-10 12:15:00, 75.73, 304.4, 224.0
0.0, 2.045, 789.844, -17.63, 2012-01-10 12:30:00, 71.23, 311.6, 224.0
0.0, 0.805, 790.245, -17.49, 2012-01-10 12:45:00, 72.73, 306.2, 224.0
0.0, 1.101, 790.38, -17.41, 2012-01-10 13:00:00, 70.46, 303.6, 224.0
0.0, 1.005, 790.512, -17.21, 2012-01-10 13:15:00, 71.48, 311.8, 224.0
0.0, 0.965, 790.611, -17.02, 2012-01-10 13:30:00, 66.92, 302.5, 224.0
0.0, 0.737, 790.697, -17.51, 2012-01-10 13:45:00, 72.1, 306.2, 224.0
