station_observations
Rain_Tot, AirTC, time, RH, WS_Avg, DBTCDT
0.0, -0.796, 2012-01-01 00:00:00, 92.0, 2.28, 1.519
0.0, -0.758, 2012-01-01 01:00:00, 92.0, 2.309, 1.517
0.0, -0.768, 2012-01-01 01:59:59, 92.5, 2.805, 1.511
0.0, -0.721, 2012-01-01 03:00:00, 92.5, 2.458, 1.522
0.0, -0.719, 2012-01-01 04:00:00, 92.8, 1.966, 1.518
0.0, -0.717, 2012-01-01 04:59:59, 92.5, 1.94, 1.518
0.0, -0.722, 2012-01-01 06:00:00, 92.4, 1.941, 1.517
0.0, -0.721, 2012-01-01 07:00:00, 91.8, 3.201, 1.514
0.0, -0.723, 2012-01-01 07:59:59, 91.3, 3.094, 1.507
0.0, -0.727, 2012-01-01 09:00:00, 90.9, 3.082, 1.51
0.0, -0.724, 2012-01-01 10:00:00, 90.5, 2.988, 1.51
0.0, -0.728, 2012-01-01 10:59:59, 90.7, 2.83, 1.508
0.0, -0.735, 2012-01-01 12:00:00, 91.3, 3.308, 1.506
0.0, -0.722, 2012-01-01 13:00:00, 91.5, 3.476, 1.504
0.0, -0.718, 2012-01-01 13:59:59, 91.2, 3.238, 1.501
0.0, -0.719, 2012-01-01 15:00:00, 92.3, 2.915, 1.498
0.0, -0.717, 2012-01-01 16:00:00, 92.4, 3.349, 1.496
0.0, -0.715, 2012-01-01 16:59:59, 94.4, 3.562, 1.494
0.0, -0.712, 2012-01-01 18:00:00, 96.0, 3.931, 1.494
0.0, -0.697, 2012-01-01 19:00:00, 96.6, 3.637, 1.49
0.0, -0.688, 2012-01-01 19:59:59, 98.5, 4.605, 1.487
0.0, -0.682, 2012-01-01 21:00:00, 100.8, 4.354, 1.485
0.0, -0.684, 2012-01-01 22:00:00, 100.9, 3.504, 1.483
0.0, -0.679, 2012-01-01 22:59:59, 100.2, 3.651, 1.482
0.0, -0.668, 2012-01-02 00:00:00, 98.4, 3.602, 1.48
0.0, -0.671, 2012-01-02 01:00:00, 97.6, 2.941, 1.476
0.0, -0.683, 2012-01-02 01:59:59, 96.3, 2.836, 1.478
0.0, -0.686, 2012-01-02 03:00:00, 93.8, 3.939, 1.476
0.0, -0.68, 2012-01-02 04:00:00, 92.0, 4.078, 1.474
0.0, -0.684, 2012-01-02 04:59:59, 91.5, 4.101, 1.473
0.0, -0.68, 2012-01-02 06:00:00, 89.8, 3.56, 1.471
0.0, -0.674, 2012-01-02 07:00:00, 88.2, 3.547, 1.47
0.0, -0.673, 2012-01-02 07:59:59, 89.4, 2.713, 1.465
0.0, -0.668, 2012-01-02 09:00:00, 86.1, 1.998, 1.465
0.0, -0.66, 2012-01-02 10:00:00, 75.3, 2.424, 1.468
0.0, -0.65, 2012-01-02 10:59:59, 78.0, 2.087, 1.462
0.0, -0.656, 2012-01-02 12:00:00, 77.2, 1.72, 1.464
0.0, -0.667, 2012-01-02 13:00:00, 74.5, 2.41, 1.459
0.0, -0.669, 2012-01-02 13:59:59, 84.4, 1.449, 1.456
0.0, -0.673, 2012-01-02 15:00:00, 84.2, 1.783, 1.454
0.0, -0.685, 2012-01-02 16:00:00, 86.6, 2.836, 1.452
0.0, -0.682, 2012-01-02 16:59:59, 87.8, 1.915, 1.453
0.0, -0.676, 2012-01-02 18:00:00, 93.2, 1.545, 1.449
0.0, -0.676, 2012-01-02 19:00:00, 98.2, 1.369, 1.447
0.0, -0.676, 2012-01-02 19:59:59, 97.3, 1.383, 1.433
0.0, -0.683, 2012-01-02 21:00:00, 94.6, 1.346, 1.448
0.0, -0.674, 2012-01-02 22:00:00, 97.6, 1.328, 1.437
0.0, -0.675, 2012-01-02 22:59:59, 99.1, 1.612, 1.437
0.0, -0.671, 2012-01-03 00:00:00, 95.3, 1.231, 1.433
0.0, -0.675, 2012-01-03 01:00:00, 93.9, 2.021, 1.444
0.0, -0.67, 2012-01-03 01:59:59, 96.2, 2.192, 1.451
0.0, -0.684, 2012-01-03 03:00:00, 96.0, 2.005, 1.445
0.0, -0.678, 2012-01-03 04:00:00, 96.0, 1.499, 1.445
0.0, -0.681, 2012-01-03 04:59:59, 96.5, 1.808, 1.445
0.0, -0.677, 2012-01-03 06:00:00, 92.9, 1.611, 1.444
0.0, -0.671, 2012-01-03 07:00:00, 92.8, 1.363, 1.444
0.0, -0.677, 2012-01-03 07:59:59, 93.3, 1.451, 1.442
0.0, -0.674, 2012-01-03 09:00:00, 98.8, 2.441, 1.439
0.0, -0.678, 2012-01-03 10:00:00, 103.3, 2.895, 1.443
0.0, -0.662, 2012-01-03 10:59:59, 103.4, 2.202, 1.438
0.0, -0.679, 2012-01-03 12:00:00, 103.4, 2.862, 1.445
0.0, -0.676, 2012-01-03 13:00:00, 103.7, 2.711, 1.451
0.0, -0.681, 2012-01-03 13:59:59, 103.7, 3.756, 1.456
0.0, -0.685, 2012-01-03 15:00:00, 103.7, 4.21, 1.465
0.0, -0.681, 2012-01-03 16:00:00, 103.7, 4.119, 1.458
0.0, -0.677, 2012-01-03 16:59:59, 103.8, 3.449, 1.477
0.0, -0.675, 2012-01-03 18:00:00, 103.9, 2.53, 1.493
0.0, -0.668, 2012-01-03 19:00:00, 103.9, 2.537, 1.48
0.0, -0.667, 2012-01-03 19:59:59, 104.1, 2.496, 1.48
0.0, -0.666, 2012-01-03 21:00:00, 104.2, 2.504, 1.466
0.0, -0.662, 2012-01-03 22:00:00, 104.1, 3.341, 1.487
0.0, -0.658, 2012-01-03 22:59:59, 104.1, 3.975, 1.477
0.0, -0.659, 2012-01-04 00:00:00, 104.2, 4.374, 1.466
0.0, -0.654, 2012-01-04 01:00:00, 104.3, 4.613, 1.472
0.0, -0.651, 2012-01-04 01:59:59, 104.4, 3.988, 1.485
0.0, -0.65, 2012-01-04 03:00:00, 104.2, 4.345, 1.476
0.0, -0.652, 2012-01-04 04:00:00, 104.2, 4.271, 1.48
0.0, -0.65, 2012-01-04 04:59:59, 104.2, 3.615, 1.475
0.0, -0.644, 2012-01-04 06:00:00, 103.8, 2.788, 1.478
