WDIR_VECT,time,week_of_year
56.4,2019-09-10 00:00:00,37
52.1,2019-09-10 01:00:00,37
42.1,2019-09-10 02:00:00,37
18.9,2019-09-10 03:00:00,37
47.3,2019-09-10 04:00:00,37
53.0,2019-09-10 05:00:00,37
58.7,2019-09-10 06:00:00,37
64.7,2019-09-10 07:00:00,37
31.4,2019-09-10 08:00:00,37
89.4,2019-09-10 09:00:00,37
133.8,2019-09-10 10:00:00,37
197.1,2019-09-10 11:00:00,37
257.4,2019-09-10 12:00:00,37
262.8,2019-09-10 13:00:00,37
259.5,2019-09-10 14:00:00,37
265.6,2019-09-10 15:00:00,37
266.4,2019-09-10 16:00:00,37
267.3,2019-09-10 17:00:00,37
275.4,2019-09-10 18:00:00,37
256.5,2019-09-10 19:00:00,37
223.7,2019-09-10 20:00:00,37
29.6,2019-09-10 21:00:00,37
44.4,2019-09-10 22:00:00,37
50.6,2019-09-10 23:00:00,37
46.1,2019-09-11 00:00:00,37
79.9,2019-09-11 01:00:00,37
79.9,2019-09-11 02:00:00,37
65.7,2019-09-11 03:00:00,37
39.6,2019-09-11 04:00:00,37
37.9,2019-09-11 05:00:00,37
77.4,2019-09-11 06:00:00,37
97.0,2019-09-11 07:00:00,37
96.9,2019-09-11 08:00:00,37
103.1,2019-09-11 09:00:00,37
100.3,2019-09-11 10:00:00,37
104.3,2019-09-11 11:00:00,37
104.1,2019-09-11 12:00:00,37
100.4,2019-09-11 13:00:00,37
93.9,2019-09-11 14:00:00,37
110.4,2019-09-11 15:00:00,37
124.9,2019-09-11 16:00:00,37
147.9,2019-09-11 17:00:00,37
110.4,2019-09-11 18:00:00,37
182.5,2019-09-11 19:00:00,37
353.5,2019-09-11 20:00:00,37
52.9,2019-09-11 21:00:00,37
71.3,2019-09-11 22:00:00,37
73.2,2019-09-12 00:00:00,37
76.4,2019-09-12 01:00:00,37
89.1,2019-09-12 02:00:00,37
97.5,2019-09-12 03:00:00,37
68.9,2019-09-12 04:00:00,37
96.9,2019-09-12 05:00:00,37
86.0,2019-09-12 06:00:00,37
54.6,2019-09-12 07:00:00,37
92.0,2019-09-12 08:00:00,37
91.5,2019-09-12 09:00:00,37
104.3,2019-09-12 10:00:00,37
92.8,2019-09-12 11:00:00,37
93.7,2019-09-12 12:00:00,37
94.8,2019-09-12 13:00:00,37
96.1,2019-09-12 14:00:00,37
123.7,2019-09-12 15:00:00,37
82.9,2019-09-12 16:00:00,37
101.4,2019-09-12 17:00:00,37
90.8,2019-09-12 18:00:00,37
89.9,2019-09-12 19:00:00,37
88.1,2019-09-12 20:00:00,37
87.6,2019-09-12 21:00:00,37
90.0,2019-09-12 22:00:00,37
83.2,2019-09-12 23:00:00,37
90.1,2019-09-13 00:00:00,37
88.7,2019-09-13 01:00:00,37
90.2,2019-09-13 02:00:00,37
96.0,2019-09-13 03:00:00,37
104.1,2019-09-13 04:00:00,37
85.9,2019-09-13 05:00:00,37
89.3,2019-09-13 06:00:00,37
103.0,2019-09-13 07:00:00,37
87.5,2019-09-13 08:00:00,37
95.1,2019-09-13 09:00:00,37
117.9,2019-09-13 10:00:00,37
127.1,2019-09-13 11:00:00,37
165.3,2019-09-13 12:00:00,37
155.2,2019-09-13 13:00:00,37
157.2,2019-09-13 14:00:00,37
168.0,2019-09-13 15:00:00,37
169.5,2019-09-13 16:00:00,37
164.0,2019-09-13 17:00:00,37
172.1,2019-09-13 18:00:00,37
87.9,2019-09-13 19:00:00,37
83.4,2019-09-13 20:00:00,37
86.8,2019-09-13 21:00:00,37
113.1,2019-09-13 22:00:00,37
198.0,2019-09-13 23:00:00,37
321.4,2019-09-14 00:00:00,37
267.9,2019-09-14 01:00:00,37
9.9,2019-09-14 02:00:00,37
71.4,2019-09-14 03:00:00,37
52.8,2019-09-14 04:00:00,37
59.5,2019-09-14 05:00:00,37
79.9,2019-09-14 06:00:00,37
60.7,2019-09-14 07:00:00,37
81.9,2019-09-14 08:00:00,37
96.4,2019-09-14 09:00:00,37
86.2,2019-09-14 10:00:00,37
81.1,2019-09-14 11:00:00,37
81.7,2019-09-14 12:00:00,37
81.2,2019-09-14 13:00:00,37
89.1,2019-09-14 14:00:00,37
83.5,2019-09-14 15:00:00,37
90.9,2019-09-14 16:00:00,37
97.7,2019-09-14 17:00:00,37
87.6,2019-09-14 18:00:00,37
114.2,2019-09-14 19:00:00,37
112.1,2019-09-14 20:00:00,37
136.6,2019-09-14 21:00:00,37
117.8,2019-09-14 22:00:00,37
81.2,2019-09-14 23:00:00,37
108.3,2019-09-15 00:00:00,37
132.9,2019-09-15 01:00:00,37
101.8,2019-09-15 02:00:00,37
103.0,2019-09-15 03:00:00,37
90.5,2019-09-15 04:00:00,37
141.6,2019-09-15 05:00:00,37
102.2,2019-09-15 06:00:00,37
99.6,2019-09-15 07:00:00,37
86.7,2019-09-15 08:00:00,37
80.4,2019-09-15 09:00:00,37
99.1,2019-09-15 10:00:00,37
94.0,2019-09-15 11:00:00,37
115.1,2019-09-15 12:00:00,37
123.3,2019-09-15 13:00:00,37
131.8,2019-09-15 14:00:00,37
66.1,2019-09-15 15:00:00,37
166.5,2019-09-15 16:00:00,37
161.8,2019-09-15 17:00:00,37
156.5,2019-09-15 18:00:00,37
154.9,2019-09-15 19:00:00,37
23.4,2019-09-15 20:00:00,37
30.6,2019-09-15 21:00:00,37
43.3,2019-09-15 22:00:00,37
28.4,2019-09-15 23:00:00,37
28.5,2019-09-16 00:00:00,37
35.5,2019-09-16 01:00:00,37
44.3,2019-09-16 02:00:00,37
32.3,2019-09-16 03:00:00,37
49.7,2019-09-16 04:00:00,37
33.7,2019-09-16 05:00:00,37
31.8,2019-09-16 06:00:00,37
45.5,2019-09-16 07:00:00,37
61.7,2019-09-16 08:00:00,37
46.0,2019-09-16 09:00:00,37
54.9,2019-09-16 10:00:00,37
113.3,2019-09-16 11:00:00,37
52.1,2019-09-16 12:00:00,37
42.1,2019-09-16 13:00:00,37
97.2,2019-09-16 14:00:00,37
100.9,2019-09-16 15:00:00,37
100.6,2019-09-16 16:00:00,37
83.0,2019-09-16 17:00:00,37
66.6,2019-09-16 23:00:00,37
