station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, snw_dpth, stn_pres
None, -1.038, 95.1, None, None, None, None, None, -2.0, None, None, 2020-01-01 00:00:00, None, None
None, -1.034, 94.8, None, None, None, None, None, -2.0, None, None, 2020-01-01 01:00:00, None, None
None, -1.327, 95.1, None, None, None, None, None, -2.0, None, None, 2020-01-01 02:00:00, None, None
None, -1.117, 94.4, None, None, None, None, None, -2.0, None, None, 2020-01-01 03:00:00, None, None
None, -1.338, 92.5, None, None, None, None, None, -2.0, None, None, 2020-01-01 04:00:00, None, None
None, -0.868, 94.6, None, None, None, None, None, -1.0, None, None, 2020-01-01 05:00:00, None, None
None, -0.414, 93.9, None, None, None, None, None, -1.0, None, None, 2020-01-01 06:00:00, None, None
None, -0.615, 94.7, None, None, None, None, None, -1.0, None, None, 2020-01-01 07:00:00, None, None
None, -0.449, 95.4, None, None, None, None, None, -1.0, None, None, 2020-01-01 08:00:00, None, None
None, 0.179, 95.4, None, None, None, None, None, 0.0, None, None, 2020-01-01 09:00:00, None, None
None, 1.704, 94.7, None, None, None, None, None, 1.0, None, None, 2020-01-01 10:00:00, None, None
None, 2.316, 93.6, None, None, None, None, None, 1.0, None, None, 2020-01-01 11:00:00, None, None
None, 3.897, 92.2, None, None, None, None, None, 3.0, None, None, 2020-01-01 12:00:00, None, None
None, 3.344, 91.4, None, None, None, None, None, 2.0, None, None, 2020-01-01 13:00:00, None, None
None, 3.34, 87.2, None, None, None, None, None, 1.0, None, None, 2020-01-01 14:00:00, None, None
None, 2.284, 91.4, None, None, None, None, None, 1.0, None, None, 2020-01-01 15:00:00, None, None
None, 1.651, 93.7, None, None, None, None, None, 1.0, None, None, 2020-01-01 16:00:00, None, None
None, 0.916, 95.1, None, None, None, None, None, 0.0, None, None, 2020-01-01 17:00:00, None, None
None, 0.408, 95.9, None, None, None, None, None, 0.0, None, None, 2020-01-01 18:00:00, None, None
None, -0.307, 96.7, None, None, None, None, None, -1.0, None, None, 2020-01-01 19:00:00, None, None
None, -0.157, 96.8, None, None, None, None, None, 0.0, None, None, 2020-01-01 20:00:00, None, None
None, 0.578, 97.1, None, None, None, None, None, 0.0, None, None, 2020-01-01 21:00:00, None, None
None, -0.125, 96.8, None, None, None, None, None, 0.0, None, None, 2020-01-01 22:00:00, None, None
None, 1.08, 97.1, None, None, None, None, None, 1.0, None, None, 2020-01-01 23:00:00, None, None
None, 0.922, 96.7, None, None, None, None, None, 0.0, None, None, 2020-01-02 00:00:00, None, None
None, 0.135, 96.4, None, None, None, None, None, 0.0, None, None, 2020-01-02 01:00:00, None, None
None, 3.818, 56.41, None, None, None, None, None, -5.0, None, None, 2020-01-02 02:00:00, None, None
None, 0.987, 70.64, None, None, None, None, None, -4.0, None, None, 2020-01-02 07:00:00, None, None
None, 0.677, 72.01, None, None, None, None, None, -4.0, None, None, 2020-01-02 08:00:00, None, None
None, 0.906, 68.78, None, None, None, None, None, -4.0, None, None, 2020-01-02 09:00:00, None, None
None, 2.06, 60.69, None, None, None, None, None, -4.0, None, None, 2020-01-02 10:00:00, None, None
None, 2.481, 64.13, None, None, None, None, None, -3.0, None, None, 2020-01-02 11:00:00, None, None
None, 3.837, 46.89, None, None, None, None, None, -7.0, None, None, 2020-01-02 12:00:00, None, None
None, 4.347, 43.32, None, None, None, None, None, -7.0, None, None, 2020-01-02 13:00:00, None, None
None, 4.481, 44.45, None, None, None, None, None, -7.0, None, None, 2020-01-02 14:00:00, None, None
None, 2.787, 75.76, None, None, None, None, None, -1.0, None, None, 2020-01-02 15:00:00, None, None
None, 1.606, 78.8, None, None, None, None, None, -1.0, None, None, 2020-01-02 16:00:00, None, None
None, 1.166, 83.2, None, None, None, None, None, -1.0, None, None, 2020-01-02 17:00:00, None, None
None, 0.428, 92.6, None, None, None, None, None, 0.0, None, None, 2020-01-02 18:00:00, None, None
None, 0.224, 94.3, None, None, None, None, None, 0.0, None, None, 2020-01-02 19:00:00, None, None
None, -0.11, 95.5, None, None, None, None, None, -1.0, None, None, 2020-01-02 20:00:00, None, None
None, -0.117, 95.9, None, None, None, None, None, -1.0, None, None, 2020-01-02 21:00:00, None, None
None, -0.066, 95.2, None, None, None, None, None, -1.0, None, None, 2020-01-02 22:00:00, None, None
None, 0.052, 95.2, None, None, None, None, None, -1.0, None, None, 2020-01-02 23:00:00, None, None
None, 0.214, 95.2, None, None, None, None, None, 0.0, None, None, 2020-01-03 00:00:00, None, None
None, 0.42, 93.5, None, None, None, None, None, -1.0, None, None, 2020-01-03 01:00:00, None, None
None, 0.724, 91.1, None, None, None, None, None, -1.0, None, None, 2020-01-03 02:00:00, None, None
None, 0.736, 89.9, None, None, None, None, None, -1.0, None, None, 2020-01-03 03:00:00, None, None
None, 0.807, 89.0, None, None, None, None, None, -1.0, None, None, 2020-01-03 04:00:00, None, None
None, 0.74, 87.0, None, None, None, None, None, -1.0, None, None, 2020-01-03 05:00:00, None, None
None, 1.499, 82.4, None, None, None, None, None, -1.0, None, None, 2020-01-03 06:00:00, None, None
None, 1.675, 82.7, None, None, None, None, None, -1.0, None, None, 2020-01-03 07:00:00, None, None
None, 1.847, 83.8, None, None, None, None, None, -1.0, None, None, 2020-01-03 08:00:00, None, None
None, 1.732, 86.1, None, None, None, None, None, 0.0, None, None, 2020-01-03 09:00:00, None, None
None, 2.045, 85.3, None, None, None, None, None, 0.0, None, None, 2020-01-03 10:00:00, None, None
None, 2.886, 80.7, None, None, None, None, None, 0.0, None, None, 2020-01-03 11:00:00, None, None
None, 3.067, 83.7, None, None, None, None, None, 0.0, None, None, 2020-01-03 12:00:00, None, None
None, 4.205, 77.73, None, None, None, None, None, 1.0, None, None, 2020-01-03 13:00:00, None, None
None, 4.781, 76.72, None, None, None, None, None, 1.0, None, None, 2020-01-03 14:00:00, None, None
None, 3.363, 85.2, None, None, None, None, None, 1.0, None, None, 2020-01-03 15:00:00, None, None
None, 2.943, 84.5, None, None, None, None, None, 0.0, None, None, 2020-01-03 16:00:00, None, None
None, 2.898, 84.5, None, None, None, None, None, 1.0, None, None, 2020-01-03 17:00:00, None, None
None, 2.886, 86.1, None, None, None, None, None, 1.0, None, None, 2020-01-03 18:00:00, None, None
None, 3.053, 83.4, None, None, None, None, None, 0.0, None, None, 2020-01-03 19:00:00, None, None
None, 1.718, 89.5, None, None, None, None, None, 0.0, None, None, 2020-01-03 20:00:00, None, None
None, 3.846, 80.1, None, None, None, None, None, 1.0, None, None, 2020-01-03 21:00:00, None, None
None, 3.501, 81.2, None, None, None, None, None, 1.0, None, None, 2020-01-03 22:00:00, None, None
None, 0.895, 91.0, None, None, None, None, None, 0.0, None, None, 2020-01-03 23:00:00, None, None
None, 0.434, 93.0, None, None, None, None, None, 0.0, None, None, 2020-01-04 00:00:00, None, None
None, 1.598, 91.8, None, None, None, None, None, 0.0, None, None, 2020-01-04 01:00:00, None, None
None, 2.095, 93.3, None, None, None, None, None, 1.0, None, None, 2020-01-04 02:00:00, None, None
None, 2.051, 94.2, None, None, None, None, None, 1.0, None, None, 2020-01-04 03:00:00, None, None
None, 3.065, 93.9, None, None, None, None, None, 2.0, None, None, 2020-01-04 04:00:00, None, None
None, 3.351, 79.74, None, None, None, None, None, 0.0, None, None, 2020-01-04 05:00:00, None, None
None, 3.79, 62.82, None, None, None, None, None, -3.0, None, None, 2020-01-04 06:00:00, None, None
None, 1.374, 81.9, None, None, None, None, None, -1.0, None, None, 2020-01-04 07:00:00, None, None
None, -0.346, 89.1, None, None, None, None, None, -2.0, None, None, 2020-01-04 08:00:00, None, None
None, -1.153, 91.7, None, None, None, None, None, -2.0, None, None, 2020-01-04 09:00:00, None, None
None, -1.417, 92.7, None, None, None, None, None, -2.0, None, None, 2020-01-04 10:00:00, None, None
None, 1.698, 67.0, None, None, None, None, None, -4.0, None, None, 2020-01-04 11:00:00, None, None
None, 1.044, 79.08, None, None, None, None, None, -2.0, None, None, 2020-01-04 12:00:00, None, None
None, 1.491, 72.0, None, None, None, None, None, -3.0, None, None, 2020-01-04 13:00:00, None, None
None, 1.258, 75.37, None, None, None, None, None, -3.0, None, None, 2020-01-04 14:00:00, None, None
None, 0.369, 83.4, None, None, None, None, None, -2.0, None, None, 2020-01-04 15:00:00, None, None
None, -0.848, 85.3, None, None, None, None, None, -3.0, None, None, 2020-01-04 16:00:00, None, None
None, -2.229, 89.3, None, None, None, None, None, -3.0, None, None, 2020-01-04 17:00:00, None, None
None, -2.894, 90.9, None, None, None, None, None, -4.0, None, None, 2020-01-04 18:00:00, None, None
None, -3.528, 92.0, None, None, None, None, None, -4.0, None, None, 2020-01-04 19:00:00, None, None
None, -4.01, 93.3, None, None, None, None, None, -5.0, None, None, 2020-01-04 20:00:00, None, None
None, -4.221, 93.4, None, None, None, None, None, -5.0, None, None, 2020-01-04 21:00:00, None, None
None, -4.462, 93.2, None, None, None, None, None, -6.0, None, None, 2020-01-04 22:00:00, None, None
None, -4.371, 92.5, None, None, None, None, None, -5.0, None, None, 2020-01-04 23:00:00, None, None
None, -4.178, 90.4, None, None, None, None, None, -5.0, None, None, 2020-01-05 00:00:00, None, None
None, -4.668, 90.4, None, None, None, None, None, -6.0, None, None, 2020-01-05 01:00:00, None, None
None, -5.158, 90.8, None, None, None, None, None, -6.0, None, None, 2020-01-05 02:00:00, None, None
None, -4.846, 85.5, None, None, None, None, None, -7.0, None, None, 2020-01-05 03:00:00, None, None
None, -5.723, 88.5, None, None, None, None, None, -7.0, None, None, 2020-01-05 04:00:00, None, None
None, -5.608, 86.8, None, None, None, None, None, -7.0, None, None, 2020-01-05 05:00:00, None, None
None, -5.755, 86.1, None, None, None, None, None, -7.0, None, None, 2020-01-05 06:00:00, None, None
None, -5.43, 79.42, None, None, None, None, None, -8.0, None, None, 2020-01-05 07:00:00, None, None
None, -5.808, 81.4, None, None, None, None, None, -8.0, None, None, 2020-01-05 08:00:00, None, None
None, -5.809, 84.1, None, None, None, None, None, -8.0, None, None, 2020-01-05 09:00:00, None, None
None, -4.058, 81.5, None, None, None, None, None, -7.0, None, None, 2020-01-05 10:00:00, None, None
None, -0.181, 70.3, None, None, None, None, None, -4.0, None, None, 2020-01-05 11:00:00, None, None
None, 0.912, 69.49, None, None, None, None, None, -4.0, None, None, 2020-01-05 12:00:00, None, None
None, 2.321, 67.19, None, None, None, None, None, -3.0, None, None, 2020-01-05 13:00:00, None, None
None, 2.944, 67.67, None, None, None, None, None, -2.0, None, None, 2020-01-05 14:00:00, None, None
None, 1.573, 74.38, None, None, None, None, None, -3.0, None, None, 2020-01-05 15:00:00, None, None
None, -0.327, 82.0, None, None, None, None, None, -3.0, None, None, 2020-01-05 16:00:00, None, None
None, -1.976, 88.3, None, None, None, None, None, -3.0, None, None, 2020-01-05 17:00:00, None, None
None, -0.958, 83.6, None, None, None, None, None, -3.0, None, None, 2020-01-05 18:00:00, None, None
None, 1.993, 59.92, None, None, None, None, None, -5.0, None, None, 2020-01-05 19:00:00, None, None
None, 2.005, 55.15, None, None, None, None, None, -6.0, None, None, 2020-01-05 20:00:00, None, None
None, 1.756, 55.06, None, None, None, None, None, -6.0, None, None, 2020-01-05 21:00:00, None, None
None, -1.311, 75.08, None, None, None, None, None, -5.0, None, None, 2020-01-05 22:00:00, None, None
None, -1.587, 78.85, None, None, None, None, None, -4.0, None, None, 2020-01-05 23:00:00, None, None
None, -1.862, 76.75, None, None, None, None, None, -5.0, None, None, 2020-01-06 00:00:00, None, None
None, -1.97, 80.3, None, None, None, None, None, -4.0, None, None, 2020-01-06 01:00:00, None, None
None, -2.018, 81.8, None, None, None, None, None, -4.0, None, None, 2020-01-06 02:00:00, None, None
None, -2.132, 82.8, None, None, None, None, None, -4.0, None, None, 2020-01-06 03:00:00, None, None
None, -1.938, 81.6, None, None, None, None, None, -4.0, None, None, 2020-01-06 04:00:00, None, None
None, -1.915, 82.0, None, None, None, None, None, -4.0, None, None, 2020-01-06 05:00:00, None, None
None, -0.904, 78.09, None, None, None, None, None, -4.0, None, None, 2020-01-06 06:00:00, None, None
None, -1.307, 88.3, None, None, None, None, None, -3.0, None, None, 2020-01-06 07:00:00, None, None
None, -1.41, 92.4, None, None, None, None, None, -2.0, None, None, 2020-01-06 08:00:00, None, None
None, -1.279, 93.3, None, None, None, None, None, -2.0, None, None, 2020-01-06 09:00:00, None, None
None, -1.105, 93.7, None, None, None, None, None, -2.0, None, None, 2020-01-06 10:00:00, None, None
None, -0.75, 93.4, None, None, None, None, None, -2.0, None, None, 2020-01-06 11:00:00, None, None
None, -0.647, 93.7, None, None, None, None, None, -1.0, None, None, 2020-01-06 12:00:00, None, None
None, -0.497, 94.0, None, None, None, None, None, -1.0, None, None, 2020-01-06 13:00:00, None, None
None, -0.536, 94.3, None, None, None, None, None, -1.0, None, None, 2020-01-06 14:00:00, None, None
None, -0.406, 94.6, None, None, None, None, None, -1.0, None, None, 2020-01-06 15:00:00, None, None
None, -0.394, 94.7, None, None, None, None, None, -1.0, None, None, 2020-01-06 16:00:00, None, None
None, -0.426, 95.1, None, None, None, None, None, -1.0, None, None, 2020-01-06 17:00:00, None, None
