station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, time, DEW_POINT
-4.952, 86.7, 2020-01-02 12:00:00, -7.0
-6.483, 86.0, 2020-01-08 11:00:00, -8.0
-5.788, 84.4, 2020-01-08 12:00:00, -8.0
-6.033, 82.2, 2020-01-08 13:00:00, -8.0
-5.579, 77.7, 2020-01-08 14:00:00, -9.0
-6.082, 74.47, 2020-01-08 15:00:00, -9.0
-8.86, 88.6, 2020-01-08 16:00:00, -11.0
-11.72, 88.2, 2020-01-08 17:00:00, -13.0
-14.47, 86.6, 2020-01-08 18:00:00, -16.0
-16.52, 84.9, 2020-01-08 19:00:00, -18.0
-15.5, 86.0, 2020-01-08 20:00:00, -17.0
-15.08, 85.4, 2020-01-08 21:00:00, -17.0
-14.19, 86.0, 2020-01-08 22:00:00, -16.0
-13.55, 87.2, 2020-01-08 23:00:00, -15.0
-12.56, 88.0, 2020-01-09 00:00:00, -14.0
-12.59, 87.6, 2020-01-09 01:00:00, -14.0
-12.38, 87.6, 2020-01-09 02:00:00, -14.0
-12.59, 87.9, 2020-01-09 03:00:00, -14.0
-12.9, 87.5, 2020-01-09 04:00:00, -15.0
-13.47, 87.1, 2020-01-09 05:00:00, -15.0
-12.53, 87.2, 2020-01-09 06:00:00, -14.0
-12.38, 87.6, 2020-01-09 07:00:00, -14.0
-12.64, 88.0, 2020-01-09 08:00:00, -14.0
-13.28, 86.4, 2020-01-09 09:00:00, -15.0
-10.79, 83.0, 2020-01-09 10:00:00, -13.0
-7.16, 85.1, 2020-01-09 11:00:00, -9.0
-6.839, 87.4, 2020-01-09 12:00:00, -8.0
-6.538, 78.11, 2020-01-09 13:00:00, -9.0
-5.848, 65.54, 2020-01-09 14:00:00, -11.0
-6.27, 76.72, 2020-01-09 15:00:00, -9.0
-6.86, 82.9, 2020-01-09 16:00:00, -9.0
-8.38, 86.4, 2020-01-09 17:00:00, -10.0
-10.89, 89.9, 2020-01-09 18:00:00, -12.0
-10.03, 89.8, 2020-01-09 19:00:00, -11.0
-9.81, 88.1, 2020-01-09 20:00:00, -11.0
