station_observations
air_temp, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, min_air_temp_snc_last_reset, time, dwpt_temp
-4.4, None, None, 0.5, 95.0, -4.6, 2020-01-08 11:00:00, -5.0
-4.7, None, None, 0.5, 95.0, -4.8, 2020-01-08 12:00:00, -5.0
-4.5, None, None, 0.5, 95.0, -4.8, 2020-01-08 13:00:00, -5.0
-4.3, None, None, 0.5, 94.0, -4.8, 2020-01-08 14:00:00, -5.0
-4.4, None, None, 0.5, 92.0, -4.8, 2020-01-08 15:00:00, -5.0
-4.7, None, None, 0.5, 93.0, -4.8, 2020-01-08 16:00:00, -6.0
-5.0, None, None, 0.5, 94.0, -5.2, 2020-01-08 17:00:00, -6.0
-5.4, None, None, 0.5, 94.0, -5.5, 2020-01-08 18:00:00, -6.0
-5.6, None, None, -5.2, 93.0, -5.6, 2020-01-08 19:00:00, -6.0
-7.3, None, None, -5.2, 92.0, -7.5, 2020-01-08 20:00:00, -8.0
-8.7, None, None, -5.2, 91.0, -8.9, 2020-01-08 21:00:00, -10.0
-7.8, None, None, -5.2, 90.0, -9.2, 2020-01-08 22:00:00, -9.0
-8.2, None, None, -5.2, 91.0, -9.2, 2020-01-08 23:00:00, -9.0
-8.8, None, None, -5.2, 90.0, -9.2, 2020-01-09 00:00:00, -10.0
-8.3, None, None, -5.2, 91.0, -9.2, 2020-01-09 01:00:00, -9.0
-8.4, None, None, -5.2, 91.0, -9.2, 2020-01-09 02:00:00, -10.0
-8.4, None, None, -5.2, 93.0, -9.2, 2020-01-09 03:00:00, -9.0
-8.6, None, None, -5.2, 92.0, -9.2, 2020-01-09 04:00:00, -9.0
-7.4, None, None, -5.2, 93.0, -9.2, 2020-01-09 05:00:00, -8.0
-7.9, None, None, -5.2, 93.0, -9.2, 2020-01-09 06:00:00, -9.0
-7.9, None, None, -7.8, 92.0, -8.0, 2020-01-09 07:00:00, -9.0
-9.1, None, None, -7.8, 92.0, -9.8, 2020-01-09 08:00:00, -10.0
-9.5, None, None, -7.8, 91.0, -9.8, 2020-01-09 09:00:00, -11.0
-8.3, None, None, -7.8, 88.0, -9.8, 2020-01-09 11:00:00, -10.0
-8.3, None, None, -7.8, 90.0, -9.8, 2020-01-09 12:00:00, -9.0
-7.6, None, None, -7.4, 92.0, -9.8, 2020-01-09 13:00:00, -8.0
