station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, PRECIP_DETECTOR_RATIO, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, time, stn_pres
None, None, None, None, 2.658, 245.7, None, None, None, None, None, None, None, None, None, 82.4, None, 0.281, None, None, None, None, 58.39, None, None, None, None, None, 2020-01-01 00:00:00, None
None, None, None, None, 3.518, 262.3, None, None, None, None, None, None, None, None, None, 82.5, None, 0.073, None, None, None, None, 39.23, None, None, None, None, None, 2020-01-01 01:00:00, None
None, None, None, None, 2.188, 256.1, None, None, None, None, None, None, None, None, None, 82.3, None, 0.705, None, None, None, None, 47.49, None, None, None, None, None, 2020-01-01 02:00:00, None
None, None, None, None, 5.057, 264.9, None, None, None, None, None, None, None, None, None, 82.3, None, 0.385, None, None, None, None, 26.55, None, None, None, None, None, 2020-01-01 03:00:00, None
None, None, None, None, 1.452, 170.3, None, None, None, None, None, None, None, None, None, 81.8, None, -0.03, None, None, None, None, 65.28, None, None, None, None, None, 2020-01-01 04:00:00, None
None, None, None, None, 1.547, 278.7, None, None, None, None, None, None, None, None, None, 79.8, None, -0.068, None, None, None, None, 38.79, None, None, None, None, None, 2020-01-01 05:00:00, None
None, None, None, None, 0.748, 323.1, None, None, None, None, None, None, None, None, None, 83.7, None, -0.106, None, None, None, None, 30.66, None, None, None, None, None, 2020-01-01 06:00:00, None
None, None, None, None, 1.456, 255.8, None, None, None, None, None, None, None, None, None, 83.9, None, 0.291, None, None, None, None, 62.28, None, None, None, None, None, 2020-01-01 07:00:00, None
None, None, None, None, 10.04, 105.3, None, None, None, None, None, None, None, None, None, 82.5, None, -0.897, None, None, None, None, 19.56, None, None, None, None, None, 2020-01-01 08:00:00, None
None, None, None, None, 15.64, 96.2, None, None, None, None, None, None, None, None, None, 80.7, None, -1.472, None, None, None, None, 26.23, None, None, None, None, None, 2020-01-01 09:00:00, None
None, None, None, None, 17.19, 93.0, None, None, None, None, None, None, None, None, None, 86.2, None, -2.238, None, None, None, None, 32.09, None, None, None, None, None, 2020-01-01 10:00:00, None
None, None, None, None, 14.56, 88.4, None, None, None, None, None, None, None, None, None, 84.8, None, -3.602, None, None, None, None, 41.26, None, None, None, None, None, 2020-01-01 11:00:00, None
None, None, None, None, 13.7, 103.8, None, None, None, None, None, None, None, None, None, None, None, -3.489, None, None, None, None, 31.79, None, None, None, None, None, 2020-01-01 12:00:00, None
None, None, None, None, 13.83, 101.8, None, None, None, None, None, None, None, None, None, 85.5, None, -3.337, None, None, None, None, 30.87, None, None, None, None, None, 2020-01-01 13:00:00, None
None, None, None, None, 12.76, 91.6, None, None, None, None, None, None, None, None, None, 85.8, None, -3.918, None, None, None, None, 33.39, None, None, None, None, None, 2020-01-01 14:00:00, None
None, None, None, None, 13.5, 91.1, None, None, None, None, None, None, None, None, None, 85.8, None, -4.357, None, None, None, None, 34.06, None, None, None, None, None, 2020-01-01 15:00:00, None
None, None, None, None, 11.82, 104.4, None, None, None, None, None, None, None, None, None, 85.5, None, -5.373, None, None, None, None, 36.14, None, None, None, None, None, 2020-01-01 16:00:00, None
None, None, None, None, 10.16, 103.2, None, None, None, None, None, None, None, None, None, 84.9, None, -5.43, None, None, None, None, 34.38, None, None, None, None, None, 2020-01-01 17:00:00, None
None, None, None, None, 12.18, 89.4, None, None, None, None, None, None, None, None, None, 84.8, None, -5.44, None, None, None, None, 27.25, None, None, None, None, None, 2020-01-01 18:00:00, None
None, None, None, None, 18.13, 99.6, None, None, None, None, None, None, None, None, None, 85.9, None, -5.469, None, None, None, None, 36.53, None, None, None, None, None, 2020-01-01 19:00:00, None
None, None, None, None, 10.89, 84.2, None, None, None, None, None, None, None, None, None, 85.7, None, -5.662, None, None, None, None, 35.92, None, None, None, None, None, 2020-01-01 20:00:00, None
None, None, None, None, 8.34, 93.9, None, None, None, None, None, None, None, None, None, 85.8, None, -5.73, None, None, None, None, 36.39, None, None, None, None, None, 2020-01-01 21:00:00, None
None, None, None, None, 10.57, 82.3, None, None, None, None, None, None, None, None, None, 85.5, None, -5.508, None, None, None, None, 28.33, None, None, None, None, None, 2020-01-01 22:00:00, None
None, None, None, None, 8.88, 85.3, None, None, None, None, None, None, None, None, None, 85.1, None, -5.498, None, None, None, None, 32.93, None, None, None, None, None, 2020-01-01 23:00:00, None
None, None, None, None, 6.344, 92.0, None, None, None, None, None, None, None, None, None, 84.9, None, -5.701, None, None, None, None, 36.15, None, None, None, None, None, 2020-01-02 00:00:00, None
