station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, rel_hum, time, snw_dpth, stn_pres
None, -3.24, 93.9, None, None, 55.53, 0.502, 330.4, None, None, None, None, -4.0, None, None, None, None, 2020-01-01 00:00:00, None, None
None, -3.698, 93.7, None, None, 70.44, 0.321, 214.9, None, None, None, None, -4.0, None, None, None, None, 2020-01-01 01:00:00, None, None
None, -3.95, 94.1, None, None, 47.95, 0.064, 323.0, None, None, None, None, -4.0, None, None, None, None, 2020-01-01 02:00:00, None, None
None, -3.957, 94.2, None, None, 62.75, 0.0, 354.7, None, None, None, None, -5.0, None, None, None, None, 2020-01-01 03:00:00, None, None
None, -3.832, 94.2, None, None, 78.39, 0.0, 284.9, None, None, None, None, -5.0, None, None, None, None, 2020-01-01 04:00:00, None, None
None, -3.963, 94.2, None, None, 43.15, 0.0, 328.0, None, None, None, None, -5.0, None, None, None, None, 2020-01-01 05:00:00, None, None
None, -3.869, 94.3, None, None, 80.4, 0.0, 62.56, None, None, None, None, -5.0, None, None, None, None, 2020-01-01 06:00:00, None, None
None, -4.007, 94.3, None, None, 70.47, 0.0, 281.6, None, None, None, None, -5.0, None, None, None, None, 2020-01-01 07:00:00, None, None
None, -4.02, 94.4, None, None, 76.22, 0.0, 215.7, None, None, None, None, -5.0, None, None, None, None, 2020-01-01 08:00:00, None, None
None, -3.91, 94.3, None, None, 28.81, 0.0, 336.1, None, None, None, None, -5.0, None, None, None, None, 2020-01-01 09:00:00, None, None
None, -3.407, 93.7, None, None, 45.01, 0.0, 297.8, None, None, None, None, -4.0, None, None, None, None, 2020-01-01 10:00:00, None, None
None, -2.756, 92.7, None, None, 63.36, 0.505, 315.2, None, None, None, None, -4.0, None, None, None, None, 2020-01-01 11:00:00, None, None
None, -2.432, 93.8, None, None, 36.38, 4.108, 336.2, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 12:00:00, None, None
None, -2.198, 92.3, None, None, 43.61, 4.375, 332.1, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 13:00:00, None, None
None, -1.913, 90.4, None, None, 51.02, 3.451, 338.3, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 14:00:00, None, None
None, -1.861, 90.9, None, None, 20.14, 7.439, 333.7, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 15:00:00, None, None
None, -2.125, 91.4, None, None, 37.41, 3.12, 343.3, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 16:00:00, None, None
None, -2.277, 92.0, None, None, 37.11, 5.665, 339.3, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 17:00:00, None, None
None, -2.045, 90.7, None, None, 19.87, 8.97, 336.9, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 18:00:00, None, None
None, -2.104, 90.6, None, None, 36.0, 6.634, 331.1, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 19:00:00, None, None
None, -2.509, 92.7, None, None, 76.97, 3.681, 29.56, None, None, None, None, -4.0, None, None, None, None, 2020-01-01 20:00:00, None, None
None, -2.939, 93.7, None, None, 60.09, 0.786, 325.2, None, None, None, None, -4.0, None, None, None, None, 2020-01-01 21:00:00, None, None
None, -1.835, 93.6, None, None, 77.36, 7.401, 224.7, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 22:00:00, None, None
None, -2.228, 89.6, None, None, 59.86, 5.195, 359.5, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 23:00:00, None, None
None, -2.372, 86.5, None, None, 31.73, 6.986, 2.579, None, None, None, None, -4.0, None, None, None, None, 2020-01-02 00:00:00, None, None
None, -2.307, 71.82, None, None, 38.48, 9.24, 352.8, None, None, None, None, -7.0, None, None, None, None, 2020-01-02 01:00:00, None, None
None, -3.195, 71.02, None, None, 27.3, 12.42, 351.3, None, None, None, None, -8.0, None, None, None, None, 2020-01-02 02:00:00, None, None
None, -5.255, 72.66, None, None, 28.47, 7.341, 6.978, None, None, None, None, -9.0, None, None, None, None, 2020-01-02 07:00:00, None, None
None, -5.834, 73.36, None, None, 32.62, 5.922, 10.06, None, None, None, None, -10.0, None, None, None, None, 2020-01-02 08:00:00, None, None
None, -5.663, 63.92, None, None, 47.15, 4.549, 350.0, None, None, None, None, -11.0, None, None, None, None, 2020-01-02 09:00:00, None, None
None, -5.275, 59.47, None, None, 29.98, 6.16, 337.2, None, None, None, None, -11.0, None, None, None, None, 2020-01-02 10:00:00, None, None
None, -5.017, 52.24, None, None, 25.41, 10.4, 358.4, None, None, None, None, -12.0, None, None, None, None, 2020-01-02 11:00:00, None, None
None, -4.83, 49.39, None, None, 38.44, 8.74, 3.891, None, None, None, None, -13.0, None, None, None, None, 2020-01-02 12:00:00, None, None
None, -5.112, 52.62, None, None, 47.57, 7.386, 19.63, None, None, None, None, -12.0, None, None, None, None, 2020-01-02 13:00:00, None, None
None, -5.056, 54.21, None, None, 29.28, 9.89, 11.22, None, None, None, None, -12.0, None, None, None, None, 2020-01-02 14:00:00, None, None
None, -5.374, 55.78, None, None, 27.99, 10.06, 353.6, None, None, None, None, -12.0, None, None, None, None, 2020-01-02 15:00:00, None, None
None, -6.485, 68.81, None, None, 63.57, 1.99, 337.6, None, None, None, None, -11.0, None, None, None, None, 2020-01-02 16:00:00, None, None
None, -7.23, 68.6, None, None, 51.36, 1.56, 182.4, None, None, None, None, -12.0, None, None, None, None, 2020-01-02 17:00:00, None, None
None, -8.14, 79.37, None, None, 39.93, 1.553, 339.9, None, None, None, None, -10.0, None, None, None, None, 2020-01-02 18:00:00, None, None
None, -8.05, 78.33, None, None, 74.84, 2.008, 291.2, None, None, None, None, -11.0, None, None, None, None, 2020-01-02 19:00:00, None, None
None, -8.33, 82.3, None, None, 60.88, 0.62, 171.4, None, None, None, None, -11.0, None, None, None, None, 2020-01-02 20:00:00, None, None
None, -8.67, 83.4, None, None, 66.43, 0.928, 197.6, None, None, None, None, -10.0, None, None, None, None, 2020-01-02 21:00:00, None, None
None, -8.44, 84.0, None, None, 54.58, 1.705, 158.7, None, None, None, None, -11.0, None, None, None, None, 2020-01-02 22:00:00, None, None
None, -8.57, 88.1, None, None, 33.12, 1.836, 171.9, None, None, None, None, -10.0, None, None, None, None, 2020-01-02 23:00:00, None, None
None, -8.73, 89.2, None, None, 68.04, 0.429, 184.7, None, None, None, None, -10.0, None, None, None, None, 2020-01-03 00:00:00, None, None
None, -8.53, 89.8, None, None, 19.63, 1.565, 181.7, None, None, None, None, -10.0, None, None, None, None, 2020-01-03 01:00:00, None, None
None, -8.57, 90.2, None, None, 27.38, 1.514, 162.7, None, None, None, None, -10.0, None, None, None, None, 2020-01-03 02:00:00, None, None
None, -8.41, 90.6, None, None, 30.57, 0.047, 182.5, None, None, None, None, -9.0, None, None, None, None, 2020-01-03 03:00:00, None, None
None, -8.31, 91.0, None, None, 18.85, 0.0, 168.4, None, None, None, None, -9.0, None, None, None, None, 2020-01-03 04:00:00, None, None
None, -8.19, 91.0, None, None, 44.01, 0.0, 201.3, None, None, None, None, -9.0, None, None, None, None, 2020-01-03 05:00:00, None, None
None, -7.904, 91.2, None, None, 39.49, 0.0, 182.8, None, None, None, None, -9.0, None, None, None, None, 2020-01-03 06:00:00, None, None
None, -7.956, 91.3, None, None, 19.68, 1.254, 174.2, None, None, None, None, -9.0, None, None, None, None, 2020-01-03 08:00:00, None, None
None, -7.809, 91.5, None, None, 41.73, 0.044, 172.9, None, None, None, None, -9.0, None, None, None, None, 2020-01-03 09:00:00, None, None
None, -7.25, 91.7, None, None, 45.68, 0.0, 172.4, None, None, None, None, -8.0, None, None, None, None, 2020-01-03 10:00:00, None, None
None, -6.736, 91.9, None, None, 49.38, 0.0, 169.2, None, None, None, None, -8.0, None, None, None, None, 2020-01-03 11:00:00, None, None
None, -5.993, 91.9, None, None, 52.81, 0.0, 173.6, None, None, None, None, -7.0, None, None, None, None, 2020-01-03 12:00:00, None, None
None, -4.862, 91.1, None, None, 70.39, 0.0, 156.0, None, None, None, None, -6.0, None, None, None, None, 2020-01-03 13:00:00, None, None
None, -1.216, 89.3, None, None, 72.84, 1.647, 216.0, None, None, None, None, -2.0, None, None, None, None, 2020-01-03 14:00:00, None, None
None, -3.766, 89.9, None, None, 63.33, 5.483, 183.9, None, None, None, None, -5.0, None, None, None, None, 2020-01-03 15:00:00, None, None
None, -3.13, 91.1, None, None, 42.28, 4.914, 162.0, None, None, None, None, -4.0, None, None, None, None, 2020-01-03 16:00:00, None, None
None, -0.838, 91.4, None, None, 75.67, 4.768, 311.4, None, None, None, None, -2.0, None, None, None, None, 2020-01-03 17:00:00, None, None
None, 0.936, 90.4, None, None, 77.45, 6.009, 283.2, None, None, None, None, -1.0, None, None, None, None, 2020-01-03 18:00:00, None, None
None, -2.104, 91.3, None, None, 65.25, 4.524, 171.0, None, None, None, None, -3.0, None, None, None, None, 2020-01-03 19:00:00, None, None
None, -2.166, 93.9, None, None, 43.58, 3.744, 169.3, None, None, None, None, -3.0, None, None, None, None, 2020-01-03 20:00:00, None, None
None, -1.758, 94.6, None, None, 70.75, 3.287, 183.7, None, None, None, None, -3.0, None, None, None, None, 2020-01-03 21:00:00, None, None
None, 0.907, 95.0, None, None, 19.05, 8.12, 336.4, None, None, None, None, 0.0, None, None, None, None, 2020-01-03 22:00:00, None, None
None, 0.431, 95.6, None, None, 21.27, 5.03, 332.6, None, None, None, None, 0.0, None, None, None, None, 2020-01-03 23:00:00, None, None
None, 0.491, 94.6, None, None, 16.91, 5.17, 336.0, None, None, None, None, 0.0, None, None, None, None, 2020-01-04 00:00:00, None, None
None, 0.237, 95.8, None, None, 74.8, 1.377, 236.0, None, None, None, None, 0.0, None, None, None, None, 2020-01-04 01:00:00, None, None
None, 0.185, 96.5, None, None, 54.49, 1.725, 181.8, None, None, None, None, 0.0, None, None, None, None, 2020-01-04 02:00:00, None, None
None, 0.185, 96.8, None, None, 58.31, 0.84, 188.5, None, None, None, None, 0.0, None, None, None, None, 2020-01-04 03:00:00, None, None
None, 0.3, 97.1, None, None, 63.69, 0.0, 190.4, None, None, None, None, 0.0, None, None, None, None, 2020-01-04 04:00:00, None, None
None, 0.257, 97.2, None, None, 61.73, 0.0, 172.8, None, None, None, None, 0.0, None, None, None, None, 2020-01-04 05:00:00, None, None
None, -0.79, 96.9, None, None, 27.98, 15.05, 356.6, None, None, None, None, -1.0, None, None, None, None, 2020-01-04 06:00:00, None, None
None, -1.195, 96.8, None, None, 24.32, 4.396, 3.272, None, None, None, None, -2.0, None, None, None, None, 2020-01-04 07:00:00, None, None
None, -1.663, 93.0, None, None, 33.01, 2.863, 323.7, None, None, None, None, -2.0, None, None, None, None, 2020-01-04 08:00:00, None, None
