station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_DIRECTION1, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, None, 0.28, 94.0, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 00:00:00, None, None, 26.77
None, None, 0.148, 94.0, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 01:00:00, None, None, 26.46
None, None, 0.137, 94.0, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 02:00:00, None, None, 26.63
None, None, 0.039, 94.1, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 03:00:00, None, None, 26.98
None, None, -0.204, 94.1, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 04:00:00, None, None, 26.35
None, None, -0.349, 94.1, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 05:00:00, None, None, 26.14
None, None, -0.544, 94.2, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 06:00:00, None, None, 26.5
None, None, -0.605, 94.2, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 08:00:00, None, None, 27.06
None, None, -0.573, 94.3, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 09:00:00, None, None, 26.45
None, None, -0.169, 94.1, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 10:00:00, None, None, 25.92
None, None, 0.038, 94.0, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 11:00:00, None, None, 25.62
None, None, 0.09, 94.0, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 12:00:00, None, None, 26.53
None, None, 0.088, 94.0, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-01 13:00:00, None, None, 27.39
None, None, -0.787, 93.9, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, 2020-01-01 14:00:00, None, None, 25.68
None, None, -1.492, 93.7, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, 2020-01-01 15:00:00, None, None, 25.34
None, None, -1.912, 93.5, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 16:00:00, None, None, 25.57
None, None, -2.343, 93.3, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 17:00:00, None, None, 29.96
None, None, -2.575, 93.2, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, 2020-01-01 18:00:00, None, None, 30.53
None, None, -2.853, 92.7, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, 2020-01-01 19:00:00, None, None, 30.72
None, None, -3.322, 92.3, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, 2020-01-01 20:00:00, None, None, 30.68
None, None, -3.583, 91.9, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, 2020-01-01 21:00:00, None, None, 31.13
None, None, -3.632, 92.5, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, 2020-01-01 22:00:00, None, None, 30.83
None, None, -3.729, 92.4, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, 2020-01-01 23:00:00, None, None, 30.37
None, None, -3.718, 92.4, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, 2020-01-02 00:00:00, None, None, 29.08
None, None, -3.842, 92.2, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, 2020-01-02 01:00:00, None, None, 30.19
None, None, -4.109, 92.2, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, 2020-01-02 02:00:00, None, None, 27.49
None, None, -5.383, 91.1, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, 2020-01-02 07:00:00, None, None, 30.0
None, None, -5.918, 90.8, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, 2020-01-02 08:00:00, None, None, 29.98
None, None, -6.792, 90.2, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None, 2020-01-02 09:00:00, None, None, 29.75
None, None, -7.214, 87.6, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, 2020-01-02 10:00:00, None, None, 29.78
None, None, -7.013, 85.7, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, 2020-01-02 11:00:00, None, None, 29.41
None, None, -6.671, 82.5, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, 2020-01-02 12:00:00, None, None, 29.46
None, None, -5.237, 87.4, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, 2020-01-02 16:00:00, None, None, 30.27
None, None, -5.382, 88.2, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, 2020-01-02 17:00:00, None, None, 30.99
None, None, -5.475, 89.3, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, 2020-01-02 18:00:00, None, None, 31.44
None, None, -5.089, 89.3, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, 2020-01-02 19:00:00, None, None, 31.92
None, None, -5.286, 89.7, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, 2020-01-02 20:00:00, None, None, 33.77
None, None, -5.286, 90.2, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, 2020-01-02 21:00:00, None, None, 35.17
None, None, -5.431, 90.7, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, 2020-01-02 22:00:00, None, None, 36.42
None, None, -5.237, 90.6, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, 2020-01-02 23:00:00, None, None, 40.34
None, None, -5.07, 90.6, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, 2020-01-03 00:00:00, None, None, 45.6
None, None, -4.741, 90.6, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, 2020-01-03 01:00:00, None, None, 50.07
None, None, -4.799, 90.6, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, 2020-01-03 02:00:00, None, None, 51.92
None, None, -4.653, 91.1, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, 2020-01-03 03:00:00, None, None, 54.73
None, None, -3.112, 92.5, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, 2020-01-03 04:00:00, None, None, 57.46
None, None, -2.224, 92.6, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, 2020-01-03 05:00:00, None, None, 59.5
None, None, -1.492, 92.7, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, 2020-01-03 06:00:00, None, None, 61.63
None, None, 0.019, 93.2, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-03 08:00:00, None, None, 65.0
None, None, 0.284, 93.3, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-03 09:00:00, None, None, 64.69
None, None, 0.383, 93.4, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-03 10:00:00, None, None, 64.57
None, None, 0.429, 93.5, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, 2020-01-03 11:00:00, None, None, 64.06
None, None, 0.844, 93.6, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, 2020-01-03 12:00:00, None, None, 63.58
None, None, 0.745, 93.1, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, 2020-01-03 13:00:00, None, None, 62.57
None, None, 1.037, 93.1, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, 2020-01-03 14:00:00, None, None, 62.15
None, None, 1.007, 92.9, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, 2020-01-03 15:00:00, None, None, 61.49
None, None, 1.353, 93.4, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, 2020-01-03 16:00:00, None, None, 61.17
None, None, 1.423, 93.4, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, 2020-01-03 17:00:00, None, None, 60.51
None, None, 1.694, 93.2, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None, 2020-01-03 18:00:00, None, None, 59.94
None, None, 0.763, 93.5, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, 2020-01-03 19:00:00, None, None, 59.68
None, None, 0.232, 93.7, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-03 20:00:00, None, None, 59.19
None, None, -0.593, 93.5, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None, 2020-01-03 21:00:00, None, None, 58.78
None, None, -1.003, 93.1, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, 2020-01-03 22:00:00, None, None, 57.94
None, None, -1.176, 93.3, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, 2020-01-03 23:00:00, None, None, 57.48
None, None, -1.457, 93.5, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None, 2020-01-04 00:00:00, None, None, 57.49
