station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW
None, None, 0.416, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 00:00:00, None, 92.6
None, None, 1.213, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 01:00:00, None, 91.8
None, None, 1.513, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 02:00:00, None, 91.2
None, None, 0.741, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 03:00:00, None, 90.6
None, None, 0.976, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 04:00:00, None, 90.2
None, None, 1.198, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 05:00:00, None, 89.8
None, None, 1.213, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 06:00:00, None, 89.8
None, None, 1.107, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 07:00:00, None, 89.7
None, None, 0.618, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 08:00:00, None, 89.3
None, None, 0.572, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 09:00:00, None, 88.7
None, None, 0.617, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 10:00:00, None, 88.5
None, None, 0.381, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 11:00:00, None, 87.6
