station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, snwfl_amt_pst1hr, time, stn_pres
None, -0.589, 98.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 00:00:00, None
None, -0.989, 98.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 01:00:00, None
None, -1.136, 98.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 02:00:00, None
None, -1.043, 98.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 03:00:00, None
None, -0.385, 98.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 04:00:00, None
None, -0.625, 98.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 05:00:00, None
None, -0.469, 98.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 06:00:00, None
None, -1.285, 98.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 07:00:00, None
None, -0.513, 98.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 08:00:00, None
None, -0.021, 98.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 09:00:00, None
None, 0.012, 98.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 10:00:00, None
None, 0.195, 98.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 11:00:00, None
None, 0.429, 97.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 12:00:00, None
None, 2.047, 89.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 13:00:00, None
None, 2.807, 79.18, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 14:00:00, None
None, 2.672, 78.75, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 15:00:00, None
None, 3.055, 67.14, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 16:00:00, None
None, 1.382, 75.82, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 17:00:00, None
None, 1.212, 76.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 18:00:00, None
None, 2.574, 66.67, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 19:00:00, None
None, 1.1, 82.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 20:00:00, None
None, -1.051, 89.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 21:00:00, None
None, -1.958, 93.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 22:00:00, None
None, -2.191, 89.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 23:00:00, None
None, -2.101, 81.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 00:00:00, None
None, -3.415, 72.86, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 01:00:00, None
None, -4.461, 74.91, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 02:00:00, None
None, -6.932, 89.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 07:00:00, None
None, -6.708, 89.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 08:00:00, None
None, -6.663, 89.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 09:00:00, None
None, -5.154, 86.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 10:00:00, None
None, -4.544, 79.12, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 11:00:00, None
None, -4.315, 83.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 12:00:00, None
None, -3.356, 76.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 13:00:00, None
None, -3.666, 77.51, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 14:00:00, None
None, -3.78, 77.72, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 15:00:00, None
None, -4.607, 83.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 16:00:00, None
