station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW
None, 0.617, 98.6, None, None, None, None, None, 1.0, None, None, 2020-01-01 00:00:00, None, 3.205
None, 0.642, 98.6, None, None, None, None, None, 0.0, None, None, 2020-01-01 01:00:00, None, 3.113
None, 0.591, 98.6, None, None, None, None, None, 0.0, None, None, 2020-01-01 02:00:00, None, 3.108
None, 0.512, 98.5, None, None, None, None, None, 0.0, None, None, 2020-01-01 03:00:00, None, 3.268
None, 0.603, 98.7, None, None, None, None, None, 1.0, None, None, 2020-01-01 04:00:00, None, 3.488
None, 0.654, 98.8, None, None, None, None, None, 0.0, None, None, 2020-01-01 05:00:00, None, 3.469
None, 0.448, 98.7, None, None, None, None, None, 1.0, None, None, 2020-01-01 06:00:00, None, 3.522
None, 0.278, 98.6, None, None, None, None, None, 0.0, None, None, 2020-01-01 07:00:00, None, 3.487
None, 0.417, 98.8, None, None, None, None, None, 1.0, None, None, 2020-01-01 08:00:00, None, 3.486
None, 2.085, 99.0, None, None, None, None, None, 2.0, None, None, 2020-01-01 09:00:00, None, 3.61
None, 3.086, 95.9, None, None, None, None, None, 3.0, None, None, 2020-01-01 10:00:00, None, 3.529
None, 6.086, 64.42, None, None, None, None, None, 0.0, None, None, 2020-01-01 11:00:00, None, 3.458
None, 7.192, 57.15, None, None, None, None, None, -1.0, None, None, 2020-01-01 12:00:00, None, 3.205
None, 8.5, 48.67, None, None, None, None, None, -2.0, None, None, 2020-01-01 13:00:00, None, 3.469
None, 8.22, 52.76, None, None, None, None, None, -1.0, None, None, 2020-01-01 14:00:00, None, 3.441
None, 7.313, 55.19, None, None, None, None, None, -1.0, None, None, 2020-01-01 15:00:00, None, 3.581
None, 6.516, 58.65, None, None, None, None, None, -1.0, None, None, 2020-01-01 16:00:00, None, 3.158
None, 5.389, 68.67, None, None, None, None, None, 0.0, None, None, 2020-01-01 17:00:00, None, 3.095
None, 4.763, 76.68, None, None, None, None, None, 1.0, None, None, 2020-01-01 18:00:00, None, 2.126
None, 3.605, 87.2, None, None, None, None, None, 1.0, None, None, 2020-01-01 19:00:00, None, 2.627
None, 5.367, 52.17, None, None, None, None, None, -4.0, None, None, 2020-01-01 20:00:00, None, 2.75
None, 5.146, 41.4, None, None, None, None, None, -7.0, None, None, 2020-01-01 21:00:00, None, 2.729
None, 4.544, 41.82, None, None, None, None, None, -8.0, None, None, 2020-01-01 22:00:00, None, 2.773
None, 3.507, 43.28, None, None, None, None, None, -8.0, None, None, 2020-01-01 23:00:00, None, 2.854
None, 3.263, 38.57, None, None, None, None, None, -10.0, None, None, 2020-01-02 00:00:00, None, 2.665
None, 2.451, 37.81, None, None, None, None, None, -10.0, None, None, 2020-01-02 01:00:00, None, 2.646
None, 1.488, 47.34, None, None, None, None, None, -8.0, None, None, 2020-01-02 02:00:00, None, 2.676
None, -1.516, 69.76, None, None, None, None, None, -6.0, None, None, 2020-01-02 07:00:00, None, 2.613
None, -1.84, 66.66, None, None, None, None, None, -6.0, None, None, 2020-01-02 08:00:00, None, 2.559
None, -1.722, 68.83, None, None, None, None, None, -6.0, None, None, 2020-01-02 09:00:00, None, 2.494
None, -1.504, 68.67, None, None, None, None, None, -6.0, None, None, 2020-01-02 10:00:00, None, 2.516
None, 0.635, 59.44, None, None, None, None, None, -6.0, None, None, 2020-01-02 11:00:00, None, 2.864
None, 1.433, 52.69, None, None, None, None, None, -7.0, None, None, 2020-01-02 12:00:00, None, 2.564
None, 1.627, 53.39, None, None, None, None, None, -7.0, None, None, 2020-01-02 13:00:00, None, 2.593
None, 0.859, 63.49, None, None, None, None, None, -6.0, None, None, 2020-01-02 14:00:00, None, 2.428
None, -0.009, 69.76, None, None, None, None, None, -4.0, None, None, 2020-01-02 15:00:00, None, 2.485
None, -0.372, 74.67, None, None, None, None, None, -4.0, None, None, 2020-01-02 16:00:00, None, 2.547
None, -1.652, 90.9, None, None, None, None, None, -3.0, None, None, 2020-01-02 17:00:00, None, 2.466
None, -1.773, 94.9, None, None, None, None, None, -3.0, None, None, 2020-01-02 18:00:00, None, 2.417
None, -1.761, 95.6, None, None, None, None, None, -2.0, None, None, 2020-01-02 19:00:00, None, 2.147
None, -2.027, 95.7, None, None, None, None, None, -3.0, None, None, 2020-01-02 20:00:00, None, 4.154
None, -2.007, 96.1, None, None, None, None, None, -3.0, None, None, 2020-01-02 21:00:00, None, 4.948
None, -1.971, 96.1, None, None, None, None, None, -2.0, None, None, 2020-01-02 22:00:00, None, 4.63
None, -1.932, 95.5, None, None, None, None, None, -3.0, None, None, 2020-01-02 23:00:00, None, 4.527
None, -1.999, 94.6, None, None, None, None, None, -2.0, None, None, 2020-01-03 00:00:00, None, 4.743
None, -2.09, 95.1, None, None, None, None, None, -3.0, None, None, 2020-01-03 01:00:00, None, 3.895
None, -2.201, 94.9, None, None, None, None, None, -3.0, None, None, 2020-01-03 02:00:00, None, 3.765
None, -2.209, 94.2, None, None, None, None, None, -3.0, None, None, 2020-01-03 03:00:00, None, 4.798
None, -2.209, 95.2, None, None, None, None, None, -3.0, None, None, 2020-01-03 04:00:00, None, 5.145
None, -1.868, 94.3, None, None, None, None, None, -2.0, None, None, 2020-01-03 05:00:00, None, 5.096
None, -1.218, 95.0, None, None, None, None, None, -2.0, None, None, 2020-01-03 06:00:00, None, 5.667
None, -0.711, 96.5, None, None, None, None, None, -1.0, None, None, 2020-01-03 07:00:00, None, 4.809
None, 0.227, 97.6, None, None, None, None, None, 0.0, None, None, 2020-01-03 08:00:00, None, 4.792
None, 2.743, 95.3, None, None, None, None, None, 2.0, None, None, 2020-01-03 09:00:00, None, 5.067
None, 4.428, 86.7, None, None, None, None, None, 2.0, None, None, 2020-01-03 10:00:00, None, 4.345
None, 5.564, 85.8, None, None, None, None, None, 4.0, None, None, 2020-01-03 11:00:00, None, 4.78
None, 7.319, 72.02, None, None, None, None, None, 2.0, None, None, 2020-01-03 12:00:00, None, 3.408
