station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, None, 0.001, 118.5, None, None, None, 952.0, None, None, None, None, None, 104.1, None, None, -0.285, None, None, None, None, 9.06, None, None, None, None, None, 2020-01-01 00:00:00, None
None, None, None, None, 0.047, 59.97, None, None, None, 952.0, None, None, None, None, None, 103.8, None, None, -0.294, None, None, None, None, 6.526, None, None, None, None, None, 2020-01-01 01:00:00, None
None, None, None, None, 0.32, 95.6, None, None, None, 952.0, None, None, None, None, None, 103.1, None, None, -0.313, None, None, None, None, 9.03, None, None, None, None, None, 2020-01-01 02:00:00, None
None, None, None, None, 1.63, 101.8, None, None, None, 952.0, None, None, None, None, None, 103.0, None, None, -0.256, None, None, None, None, 14.51, None, None, None, None, None, 2020-01-01 03:00:00, None
None, None, None, None, 1.805, 109.8, None, None, None, 952.0, None, None, None, None, None, 102.5, None, None, -0.275, None, None, None, None, 13.81, None, None, None, None, None, 2020-01-01 04:00:00, None
None, None, None, None, 1.105, 98.5, None, None, None, 952.0, None, None, None, None, None, 102.2, None, None, -0.303, None, None, None, None, 15.55, None, None, None, None, None, 2020-01-01 05:00:00, None
None, None, None, None, 0.408, 93.3, None, None, None, 952.0, None, None, None, None, None, 100.7, None, None, -0.351, None, None, None, None, 19.98, None, None, None, None, None, 2020-01-01 06:00:00, None
None, None, None, None, 0.311, 102.3, None, None, None, 951.0, None, None, None, None, None, 97.7, None, None, -0.398, None, None, None, None, 13.04, None, None, None, None, None, 2020-01-01 07:00:00, None
None, None, None, None, 0.043, 104.9, None, None, None, 951.0, None, None, None, None, None, 101.8, None, None, -0.445, None, None, None, None, 4.999, None, None, None, None, None, 2020-01-01 08:00:00, None
None, None, None, None, 0.0, 99.6, None, None, None, 951.0, None, None, None, None, None, 95.4, None, None, -0.426, None, None, None, None, 9.31, None, None, None, None, None, 2020-01-01 09:00:00, None
None, None, None, None, 0.0, 90.1, None, None, None, 951.0, None, None, None, None, None, 97.2, None, None, -0.228, None, None, None, None, 7.05, None, None, None, None, None, 2020-01-01 10:00:00, None
None, None, None, None, 0.0, 172.0, None, None, None, 952.0, None, None, None, None, None, 105.8, None, None, -0.039, None, None, None, None, 70.7, None, None, None, None, None, 2020-01-01 11:00:00, None
None, None, None, None, 0.001, 278.2, None, None, None, 952.0, None, None, None, None, None, 104.6, None, None, 0.065, None, None, None, None, 50.81, None, None, None, None, None, 2020-01-01 12:00:00, None
None, None, None, None, 0.039, 155.0, None, None, None, 955.0, None, None, None, None, None, 102.6, None, None, 0.178, None, None, None, None, 42.66, None, None, None, None, None, 2020-01-01 13:00:00, None
None, None, None, None, 0.615, 215.3, None, None, None, 956.0, None, None, None, None, None, 102.2, None, None, -0.322, None, None, None, None, 64.99, None, None, None, None, None, 2020-01-01 14:00:00, None
None, None, None, None, 0.531, 214.9, None, None, None, 957.0, None, None, None, None, None, 102.3, None, None, -1.078, None, None, None, None, 64.8, None, None, None, None, None, 2020-01-01 15:00:00, None
None, None, None, None, 0.19, 127.7, None, None, None, 959.0, None, None, None, None, None, 101.9, None, None, -1.314, None, None, None, None, 71.8, None, None, None, None, None, 2020-01-01 16:00:00, None
None, None, None, None, 0.222, 97.3, None, None, None, 959.0, None, None, None, None, None, 101.8, None, None, -2.392, None, None, None, None, 35.41, None, None, None, None, None, 2020-01-01 17:00:00, None
None, None, None, None, 0.332, 90.9, None, None, None, 960.0, None, None, None, None, None, 101.0, None, None, -1.815, None, None, None, None, 36.73, None, None, None, None, None, 2020-01-01 18:00:00, None
None, None, None, None, 0.004, 104.5, None, None, None, 961.0, None, None, None, None, None, 97.6, None, None, -2.259, None, None, None, None, 8.91, None, None, None, None, None, 2020-01-01 19:00:00, None
None, None, None, None, 0.17, 85.8, None, None, None, 961.0, None, None, None, None, None, 98.6, None, None, -2.667, None, None, None, None, 14.62, None, None, None, None, None, 2020-01-01 20:00:00, None
None, None, None, None, 1.626, 88.2, None, None, None, 963.0, None, None, None, None, None, 98.2, None, None, -2.525, None, None, None, None, 19.69, None, None, None, None, None, 2020-01-01 21:00:00, None
None, None, None, None, 0.022, 88.8, None, None, None, 964.0, None, None, None, None, None, 100.0, None, None, -2.468, None, None, None, None, 9.85, None, None, None, None, None, 2020-01-01 22:00:00, None
None, None, None, None, 0.0, 88.9, None, None, None, 964.0, None, None, None, None, None, 98.4, None, None, -2.421, None, None, None, None, 4.859, None, None, None, None, None, 2020-01-01 23:00:00, None
None, None, None, None, 0.0, 93.0, None, None, None, 965.0, None, None, None, None, None, 97.0, None, None, -2.819, None, None, None, None, 5.454, None, None, None, None, None, 2020-01-02 00:00:00, None
None, None, None, None, 0.098, 89.6, None, None, None, 967.0, None, None, None, None, None, None, None, None, -2.733, None, None, None, None, 39.81, None, None, None, None, None, 2020-01-02 01:00:00, None
None, None, None, None, 0.015, 156.0, None, None, None, 967.0, None, None, None, None, None, None, None, None, -3.095, None, None, None, None, 49.33, None, None, None, None, None, 2020-01-02 02:00:00, None
None, None, None, None, 0.0, 88.4, None, None, None, 971.0, None, None, None, None, None, 96.6, None, None, -5.072, None, None, None, None, 7.17, None, None, None, None, None, 2020-01-02 07:00:00, None
None, None, None, None, 0.13, 92.8, None, None, None, 971.0, None, None, None, None, None, 100.6, None, None, -5.766, None, None, None, None, 15.82, None, None, None, None, None, 2020-01-02 08:00:00, None
None, None, None, None, 0.003, 99.4, None, None, None, 971.0, None, None, None, None, None, 101.3, None, None, -6.239, None, None, None, None, 5.106, None, None, None, None, None, 2020-01-02 09:00:00, None
None, None, None, None, 0.0, 86.8, None, None, None, 972.0, None, None, None, None, None, 101.5, None, None, -5.938, None, None, None, None, 2.971, None, None, None, None, None, 2020-01-02 10:00:00, None
None, None, None, None, 0.009, 64.36, None, None, None, 972.0, None, None, None, None, None, 101.1, None, None, -6.113, None, None, None, None, 10.53, None, None, None, None, None, 2020-01-02 11:00:00, None
None, None, None, None, 0.0, 88.9, None, None, None, 972.0, None, None, None, None, None, 101.0, None, None, -5.185, None, None, None, None, 5.166, None, None, None, None, None, 2020-01-02 12:00:00, None
None, None, None, None, 0.0, 88.5, None, None, None, 972.0, None, None, None, None, None, 100.8, None, None, -4.851, None, None, None, None, 3.546, None, None, None, None, None, 2020-01-02 13:00:00, None
