station_observations
pcpn_amt_pst24hrs, air_temp, CURRENT_AIR_TEMPERATURE1, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, max_air_temp_snc_last_reset, rel_hum, time, dwpt_temp
None, 4.7, None, 3.5, 0.5, 5.9, -6999.0, 2020-01-08 11:00:00, -6999.0
None, 4.9, None, 3.5, 0.1, 5.9, -6999.0, 2020-01-08 12:00:00, -6999.0
None, 4.9, None, 3.5, -0.3, 5.9, -6999.0, 2020-01-08 13:00:00, -6999.0
None, 4.6, None, 3.5, -0.2, 5.9, -6999.0, 2020-01-08 14:00:00, -6999.0
None, 4.4, None, 3.5, 0.8, 5.9, -6999.0, 2020-01-08 15:00:00, -6999.0
None, 3.5, None, 3.5, -1.1, 5.9, -6999.0, 2020-01-08 16:00:00, -6999.0
None, 2.5, None, 2.5, -0.6, 5.9, -6999.0, 2020-01-08 17:00:00, -6999.0
None, 1.9, None, 1.9, -0.3, 5.9, -6999.0, 2020-01-08 18:00:00, -6999.0
None, 1.2, None, 1.2, -0.4, 1.9, -6999.0, 2020-01-08 19:00:00, -6999.0
None, 0.7, None, 0.7, -0.5, 1.9, -6999.0, 2020-01-08 20:00:00, -6999.0
None, 0.3, None, 0.4, -0.3, 1.9, -6999.0, 2020-01-08 21:00:00, -6999.0
None, 0.1, None, 0.1, -0.2, 1.9, -6999.0, 2020-01-08 22:00:00, -6999.0
None, 0.4, None, -0.2, 0.3, 1.9, -6999.0, 2020-01-08 23:00:00, -6999.0
None, 0.4, None, -0.2, 0.8, 1.9, -6999.0, 2020-01-09 00:00:00, -6999.0
None, 0.7, None, -0.2, 0.3, 1.9, -6999.0, 2020-01-09 01:00:00, -6999.0
None, 0.6, None, -0.2, -1.0, 1.9, -6999.0, 2020-01-09 02:00:00, -6999.0
None, 0.9, None, -0.2, 1.2, 1.9, -6999.0, 2020-01-09 03:00:00, -6999.0
None, 0.9, None, -0.2, 0.1, 1.9, -6999.0, 2020-01-09 04:00:00, -6999.0
None, 0.2, None, -0.2, -1.2, 1.9, -6999.0, 2020-01-09 05:00:00, -6999.0
None, 0.6, None, -0.2, 0.2, 1.9, -6999.0, 2020-01-09 06:00:00, -6999.0
None, 0.0, None, -0.1, -0.8, 0.6, -6999.0, 2020-01-09 07:00:00, -6999.0
None, -0.2, None, -0.1, 0.0, 0.6, -6999.0, 2020-01-09 08:00:00, -6999.0
None, 0.0, None, -0.3, -0.1, 0.6, -6999.0, 2020-01-09 09:00:00, -6999.0
None, 0.5, None, -0.3, 0.6, 0.6, -6999.0, 2020-01-09 11:00:00, -6999.0
None, 1.1, None, -0.3, 0.6, 1.1, -6999.0, 2020-01-09 12:00:00, -6999.0
None, 2.8, None, -0.3, 1.0, 2.7, -6999.0, 2020-01-09 13:00:00, -6999.0
None, 3.2, None, -0.3, 0.4, 3.6, -6999.0, 2020-01-09 14:00:00, -6999.0
None, 2.6, None, -0.3, -1.1, 3.6, -6999.0, 2020-01-09 15:00:00, -6999.0
None, 2.1, None, -0.3, -0.3, 3.6, -6999.0, 2020-01-09 16:00:00, -6999.0
None, 1.7, None, -0.3, -0.1, 3.6, -6999.0, 2020-01-09 17:00:00, -6999.0
None, 1.5, None, -0.3, 0.0, 3.6, -6999.0, 2020-01-09 18:00:00, -6999.0
None, 1.6, None, 1.5, 0.2, 1.6, -6999.0, 2020-01-09 19:00:00, -6999.0
None, 1.4, None, 1.4, 0.2, 1.7, -6999.0, 2020-01-09 20:00:00, -6999.0
None, 1.6, None, 1.4, -0.3, 1.7, -6999.0, 2020-01-09 21:00:00, -6999.0
None, 1.4, None, 1.4, 0.1, 1.7, -6999.0, 2020-01-09 22:00:00, -6999.0
None, 1.5, None, 1.4, -0.2, 1.7, -6999.0, 2020-01-09 23:00:00, -6999.0
None, 1.2, None, 1.2, 0.1, 1.7, -6999.0, 2020-01-10 00:00:00, -6999.0
None, 1.1, None, 1.1, 0.1, 1.7, -6999.0, 2020-01-10 01:00:00, -6999.0
None, 0.9, None, 0.8, 0.4, 1.7, -6999.0, 2020-01-10 02:00:00, -6999.0
None, 0.3, None, 0.3, 1.1, 1.7, -6999.0, 2020-01-10 03:00:00, -6999.0
None, 0.1, None, 0.0, 1.4, 1.7, -6999.0, 2020-01-10 04:00:00, -6999.0
None, 0.0, None, 0.0, 2.3, 1.7, -6999.0, 2020-01-10 05:00:00, -6999.0
None, 0.0, None, 0.0, 1.1, 1.7, -6999.0, 2020-01-10 06:00:00, -6999.0
None, 0.0, None, 0.0, 0.6, 0.1, -6999.0, 2020-01-10 07:00:00, -6999.0
None, 0.1, None, 0.0, 0.7, 0.3, -6999.0, 2020-01-10 08:00:00, -6999.0
None, 0.1, None, 0.0, 1.1, 0.3, -6999.0, 2020-01-10 09:00:00, -6999.0
None, 0.0, None, 0.0, 1.3, 0.3, -6999.0, 2020-01-10 10:00:00, -6999.0
None, 0.1, None, -0.1, 4.0, 0.3, -6999.0, 2020-01-10 11:00:00, -6999.0
None, 0.2, None, -0.1, 3.1, 0.3, -6999.0, 2020-01-10 12:00:00, -6999.0
None, 0.5, None, -0.1, 1.5, 0.5, -6999.0, 2020-01-10 13:00:00, -6999.0
None, 0.7, None, -0.1, 1.3, 0.9, -6999.0, 2020-01-10 14:00:00, -6999.0
None, 0.6, None, -0.1, -0.2, 1.0, -6999.0, 2020-01-10 15:00:00, -6999.0
None, 1.1, None, -0.1, 0.9, 1.1, -6999.0, 2020-01-10 16:00:00, -6999.0
None, 1.0, None, -0.1, 0.6, 1.2, -6999.0, 2020-01-10 17:00:00, -6999.0
None, 1.0, None, -0.1, 0.3, 1.2, -6999.0, 2020-01-10 18:00:00, -6999.0
None, 1.4, None, 0.9, 0.8, 1.3, -6999.0, 2020-01-10 19:00:00, -6999.0
None, 1.2, None, 0.9, 0.7, 1.4, -6999.0, 2020-01-10 20:00:00, -6999.0
None, 1.3, None, 0.9, 1.3, 1.5, -6999.0, 2020-01-10 21:00:00, -6999.0
None, 1.1, None, 0.9, 0.7, 1.5, -6999.0, 2020-01-10 22:00:00, -6999.0
None, 1.2, None, 0.9, 0.0, 1.5, -6999.0, 2020-01-10 23:00:00, -6999.0
None, 1.5, None, 0.9, 0.9, 1.6, -6999.0, 2020-01-11 00:00:00, -6999.0
None, 1.4, None, 0.9, 1.3, 1.6, -6999.0, 2020-01-11 01:00:00, -6999.0
None, 1.3, None, 0.9, 0.8, 1.6, -6999.0, 2020-01-11 02:00:00, -6999.0
None, 1.5, None, 0.9, 0.2, 1.6, -6999.0, 2020-01-11 03:00:00, -6999.0
None, 1.5, None, 0.9, 0.0, 1.7, -6999.0, 2020-01-11 04:00:00, -6999.0
None, 2.0, None, 1.6, 0.2, 2.1, -6999.0, 2020-01-11 07:00:00, -6999.0
None, 1.9, None, 1.6, -0.2, 2.1, -6999.0, 2020-01-11 08:00:00, -6999.0
None, 2.2, None, 1.6, 0.3, 2.2, -6999.0, 2020-01-11 09:00:00, -6999.0
None, 2.4, None, 1.6, 0.1, 2.4, -6999.0, 2020-01-11 10:00:00, -6999.0
None, 3.1, None, 1.6, 0.3, 3.1, -6999.0, 2020-01-11 11:00:00, -6999.0
None, 3.4, None, 1.6, 0.1, 3.5, -6999.0, 2020-01-11 12:00:00, -6999.0
None, 4.2, None, 1.6, 0.3, 4.1, -6999.0, 2020-01-11 13:00:00, -6999.0
None, 4.6, None, 1.6, -1.1, 5.2, -6999.0, 2020-01-11 14:00:00, -6999.0
None, 4.2, None, 1.6, 0.7, 5.2, -6999.0, 2020-01-11 15:00:00, -6999.0
None, 2.7, None, 1.6, -1.0, 5.2, -6999.0, 2020-01-11 16:00:00, -6999.0
None, 2.2, None, 1.6, -0.3, 5.2, -6999.0, 2020-01-11 17:00:00, -6999.0
None, 2.2, None, 1.6, -0.2, 5.2, -6999.0, 2020-01-11 18:00:00, -6999.0
None, 2.0, None, 2.0, -0.1, 2.6, -6999.0, 2020-01-11 19:00:00, -6999.0
None, 1.8, None, 1.8, 0.0, 2.6, -6999.0, 2020-01-11 20:00:00, -6999.0
None, 2.0, None, 1.8, 0.2, 2.6, -6999.0, 2020-01-11 21:00:00, -6999.0
None, 1.7, None, 1.7, -0.2, 2.6, -6999.0, 2020-01-11 22:00:00, -6999.0
None, 0.5, None, 0.5, 0.6, 2.6, -6999.0, 2020-01-11 23:00:00, -6999.0
