station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, stn_pres
None, 1.827, None, None, None, None, 50.88, None, 0.319, 308.6, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 00:00:00, None, None, 62.4, None
None, 1.694, None, None, None, None, 59.18, None, 0.183, 329.2, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 01:00:00, None, None, 62.3, None
None, 1.419, None, None, None, None, 47.34, None, 0.299, 351.8, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 02:00:00, None, None, 62.27, None
None, 1.115, None, None, None, None, 36.06, None, 0.285, 123.6, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 03:00:00, None, None, 62.1, None
None, 0.128, None, None, None, None, 15.39, None, 0.904, 123.6, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 04:00:00, None, None, 61.68, None
None, -0.175, None, None, None, None, 40.22, None, 1.135, 116.2, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 05:00:00, None, None, 61.21, None
None, -0.108, None, None, None, None, 74.0, None, 0.066, 71.7, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 06:00:00, None, None, 61.67, None
None, 0.072, None, None, None, None, 37.44, None, 0.278, 342.9, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 07:00:00, None, None, 61.93, None
None, 0.043, None, None, None, None, 35.0, None, 0.288, 351.0, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 08:00:00, None, None, 61.91, None
None, 0.09, None, None, None, None, 50.1, None, 0.224, 62.64, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 09:00:00, None, None, 61.65, None
None, 0.271, None, None, None, None, 62.52, None, 0.144, 1.601, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 10:00:00, None, None, 64.7, None
None, -0.137, None, None, None, None, 64.66, None, 0.132, 102.7, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 11:00:00, None, None, 61.95, None
None, -1.068, None, None, None, None, 50.56, None, 0.22, 126.0, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 12:00:00, None, None, 64.11, None
None, -1.676, None, None, None, None, 55.42, None, 0.194, 117.8, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 13:00:00, None, None, 65.86, None
None, -2.857, None, None, None, None, 51.68, None, 0.214, 129.6, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 14:00:00, None, None, 67.16, None
None, -2.827, None, None, None, None, 49.98, None, 0.223, 136.1, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 15:00:00, None, None, 67.79, None
None, -3.323, None, None, None, None, 49.39, None, 0.227, 100.4, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 16:00:00, None, None, 66.23, None
None, -3.752, None, None, None, None, 32.07, None, 0.301, 113.3, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 17:00:00, None, None, 68.15, None
None, -3.991, None, None, None, None, 48.84, None, 0.227, 128.2, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 18:00:00, None, None, 68.26, None
None, -4.173, None, None, None, None, 37.59, None, 0.28, 110.2, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 19:00:00, None, None, 67.76, None
None, -4.49, None, None, None, None, 48.24, None, 0.23, 127.6, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 20:00:00, None, None, 67.95, None
None, -4.625, None, None, None, None, 35.69, None, 0.286, 118.6, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 21:00:00, None, None, 72.4, None
None, -4.702, None, None, None, None, 36.56, None, 0.285, 94.9, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 22:00:00, None, None, 73.3, None
None, -4.827, None, None, None, None, 51.98, None, 0.21, 102.8, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 23:00:00, None, None, 73.0, None
None, -5.127, None, None, None, None, 41.33, None, 0.264, 117.8, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 00:00:00, None, None, 74.9, None
None, -5.166, None, None, None, None, 32.21, None, 0.3, 99.9, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 01:00:00, None, None, 75.8, None
None, -5.214, None, None, None, None, 31.27, None, 0.303, 100.3, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 02:00:00, None, None, 77.7, None
None, -6.958, None, None, None, None, 15.52, None, 0.34, 345.5, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 07:00:00, None, None, 78.9, None
None, -7.74, None, None, None, None, 15.71, None, 0.34, 349.0, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 08:00:00, None, None, 78.6, None
None, -7.77, None, None, None, None, 19.48, None, 0.335, 352.3, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 09:00:00, None, None, 78.4, None
None, -7.54, None, None, None, None, 15.55, None, 0.342, 352.0, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 10:00:00, None, None, 77.9, None
None, -6.632, None, None, None, None, 14.52, None, 0.344, 359.0, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 11:00:00, None, None, 77.4, None
None, -6.143, None, None, None, None, 15.46, None, 0.34, 0.29, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 12:00:00, None, None, 77.1, None
None, -5.845, None, None, None, None, 24.81, None, 0.321, 349.9, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 13:00:00, None, None, 77.1, None
None, -5.884, None, None, None, None, 42.52, None, 0.258, 339.4, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 14:00:00, None, None, 76.2, None
None, -5.632, None, None, None, None, 29.24, None, 0.31, 2.73, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 15:00:00, None, None, 75.8, None
None, -5.661, None, None, None, None, 25.88, None, 0.321, 7.87, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 16:00:00, None, None, 75.7, None
None, -5.505, None, None, None, None, 26.73, None, 0.319, 5.811, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 17:00:00, None, None, 75.3, None
None, -5.542, None, None, None, None, 24.66, None, 0.325, 10.07, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 18:00:00, None, None, 75.1, None
None, -5.814, None, None, None, None, 23.22, None, 0.328, 6.034, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 19:00:00, None, None, 74.1, None
None, -5.949, None, None, None, None, 23.61, None, 0.325, 355.8, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 20:00:00, None, None, 75.4, None
None, -6.0, None, None, None, None, 23.59, None, 0.327, 3.176, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 21:00:00, None, None, 76.3, None
None, -6.058, None, None, None, None, 20.39, None, 0.334, 357.0, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 22:00:00, None, None, 78.2, None
None, -6.008, None, None, None, None, 18.19, None, 0.788, 1.981, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 23:00:00, None, None, 82.7, None
None, -5.94, None, None, None, None, 20.57, None, 10.56, 359.7, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 00:00:00, None, None, 84.2, None
