CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,DEW_POINT,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 15.71, 32.18, None,2016-06-17 19:00:00, None, None,49.59, 7.58,217.2, None, None, None, None, None, None,25
None, 14.4, 34.97, None,2016-06-17 20:00:00, None, None,20.01, 11.34,165.9, None, None, None, None, None, None,25
None, 13.65, 36.78, None,2016-06-17 21:00:00, None, None,16.78, 8.56,165.3, None, None, None, None, None, None,25
None, 13.11, 37.26, None,2016-06-17 22:00:00, None, None,21.2, 10.33,150.0, None, None, None, None, None, None,25
None, 11.66, 49.28, None,2016-06-17 23:00:00, None, None,12.59, 12.34,160.1, None, None, None, None, None, None,25
None, 10.83, 56.93, None,2016-06-18 00:00:00, None, None,14.48, 10.15,158.0, None, None, None, None, None, None,25
None, 9.92, 62.64, None,2016-06-18 01:00:00, None, None,14.52, 11.39,168.4, None, None, None, None, None, None,25
None, 8.82, 67.32, None,2016-06-18 02:00:00, None, None,10.92, 10.27,165.1, None, None, None, None, None, None,25
None, 8.53, 64.59, None,2016-06-18 03:00:00, None, None,50.97, 8.93,149.3, None, None, None, None, None, None,25
None, 8.03, 66.65, None,2016-06-18 04:00:00, None, None,64.98, 4.796,32.8, None, None, None, None, None, None,25
None, 7.665, 69.89, None,2016-06-18 05:00:00, None, None,27.39, 4.961,16.79, None, None, None, None, None, None,25
None, 8.28, 66.92, None,2016-06-18 06:00:00, None, None,18.94, 4.547,26.17, None, None, None, None, None, None,25
None, 8.65, 61.96, None,2016-06-18 07:00:00, None, None,12.37, 7.317,6.071, None, None, None, None, None, None,25
None, 8.61, 57.84, None,2016-06-18 08:00:00, None, None,17.32, 10.4,17.42, None, None, None, None, None, None,25
None, 8.87, 56.02, None,2016-06-18 09:00:00, None, None,18.33, 7.748,2.23, None, None, None, None, None, None,25
None, 9.04, 57.42, None,2016-06-18 10:00:00, None, None,23.14, 8.52,3.73, None, None, None, None, None, None,25
None, 10.37, 54.72, None,2016-06-18 11:00:00, None, None,43.52, 3.302,339.2, None, None, None, None, None, None,25
None, 9.71, 64.11, None,2016-06-18 12:00:00, None, None,50.73, 6.183,195.8, None, None, None, None, None, None,25
None, 8.45, 79.48, None,2016-06-18 13:00:00, None, None,16.94, 19.48,162.6, None, None, None, None, None, None,25
None, 9.95, 71.57, None,2016-06-18 14:00:00, None, None,19.19, 18.7,160.1, None, None, None, None, None, None,25
None, 8.56, 79.81, None,2016-06-18 15:00:00, None, None,19.97, 15.62,164.4, None, None, None, None, None, None,25
None, 6.446, 93.3, None,2016-06-18 16:00:00, None, None,14.3, 17.79,155.8, None, None, None, None, None, None,25
None, 5.611, 95.2, None,2016-06-18 17:00:00, None, None,15.86, 20.5,152.8, None, None, None, None, None, None,25
None, 5.174, 96.3, None,2016-06-18 18:00:00, None, None,16.79, 20.21,162.9, None, None, None, None, None, None,25
None, 5.028, 96.6, None,2016-06-18 19:00:00, None, None,19.36, 17.91,157.5, None, None, None, None, None, None,25
None, 4.783, 96.7, None,2016-06-18 20:00:00, None, None,16.59, 17.88,158.1, None, None, None, None, None, None,25
None, 4.65, 96.7, None,2016-06-18 21:00:00, None, None,18.32, 18.65,159.9, None, None, None, None, None, None,25
None, 4.535, 96.8, None,2016-06-18 22:00:00, None, None,17.03, 18.23,157.2, None, None, None, None, None, None,25
None, 4.777, 96.8, None,2016-06-18 23:00:00, None, None,17.67, 17.61,160.2, None, None, None, None, None, None,25
None, 4.645, 96.8, None,2016-06-19 00:00:00, None, None,17.58, 13.59,163.6, None, None, None, None, None, None,25
None, 4.71, 96.7, None,2016-06-19 01:00:00, None, None,18.16, 12.79,157.5, None, None, None, None, None, None,25
None, 5.04, 96.8, None,2016-06-19 02:00:00, None, None,16.26, 13.19,154.5, None, None, None, None, None, None,25
None, 5.136, 96.9, None,2016-06-19 03:00:00, None, None,18.87, 15.0,164.6, None, None, None, None, None, None,25
None, 4.834, 96.9, None,2016-06-19 04:00:00, None, None,18.23, 16.72,166.9, None, None, None, None, None, None,25
None, 4.65, 97.0, None,2016-06-19 05:00:00, None, None,17.25, 17.67,164.7, None, None, None, None, None, None,25
None, 4.614, 97.0, None,2016-06-19 06:00:00, None, None,17.89, 18.35,163.3, None, None, None, None, None, None,25
None, 4.577, 97.0, None,2016-06-19 07:00:00, None, None,17.49, 18.33,161.3, None, None, None, None, None, None,25
None, 4.478, 97.0, None,2016-06-19 08:00:00, None, None,17.1, 18.68,159.2, None, None, None, None, None, None,25
None, 4.588, 96.9, None,2016-06-19 09:00:00, None, None,14.82, 20.02,159.9, None, None, None, None, None, None,25
None, 4.829, 96.6, None,2016-06-19 10:00:00, None, None,14.74, 17.42,159.5, None, None, None, None, None, None,25
None, 4.976, 95.9, None,2016-06-19 11:00:00, None, None,14.96, 15.9,159.5, None, None, None, None, None, None,25
None, 6.225, 94.2, None,2016-06-19 12:00:00, None, None,15.82, 12.66,157.5, None, None, None, None, None, None,25
None, 7.295, 91.8, None,2016-06-19 13:00:00, None, None,30.42, 4.636,185.7, None, None, None, None, None, None,25
None, 8.91, 88.9, None,2016-06-19 14:00:00, None, None,54.07, 3.607,200.4, None, None, None, None, None, None,25
None, 11.86, 79.28, None,2016-06-19 15:00:00, None, None,47.56, 3.772,195.7, None, None, None, None, None, None,25
None, 12.32, 72.69, None,2016-06-19 16:00:00, None, None,53.18, 3.834,181.6, None, None, None, None, None, None,25
None, 11.65, 79.66, None,2016-06-19 17:00:00, None, None,38.71, 3.264,192.6, None, None, None, None, None, None,25
None, 11.27, 80.4, None,2016-06-19 18:00:00, None, None,53.52, 3.852,72.37, None, None, None, None, None, None,25
None, 14.67, 64.31, None,2016-06-19 19:00:00, None, None,26.09, 7.172,1.884, None, None, None, None, None, None,25
None, 15.03, 62.74, None,2016-06-19 20:00:00, None, None,23.44, 5.173,333.7, None, None, None, None, None, None,25
None, 11.49, 74.17, None,2016-06-19 21:00:00, None, None,30.21, 4.82,347.7, None, None, None, None, None, None,25
None, 10.19, 82.6, None,2016-06-19 22:00:00, None, None,14.46, 8.03,36.01, None, None, None, None, None, None,25
None, 10.07, 81.8, None,2016-06-19 23:00:00, None, None,19.96, 7.505,21.82, None, None, None, None, None, None,25
None, 9.8, 82.7, None,2016-06-20 00:00:00, None, None,20.56, 7.947,26.52, None, None, None, None, None, None,25
None, 9.03, 85.7, None,2016-06-20 01:00:00, None, None,15.45, 8.99,34.21, None, None, None, None, None, None,25
None, 8.55, 89.4, None,2016-06-20 02:00:00, None, None,16.51, 7.612,22.86, None, None, None, None, None, None,25
None, 7.947, 91.7, None,2016-06-20 03:00:00, None, None,17.5, 9.12,29.53, None, None, None, None, None, None,25
None, 7.855, 91.6, None,2016-06-20 04:00:00, None, None,14.58, 12.11,28.17, None, None, None, None, None, None,25
None, 7.542, 92.3, None,2016-06-20 05:00:00, None, None,13.18, 13.32,27.91, None, None, None, None, None, None,25
None, 7.412, 93.5, None,2016-06-20 06:00:00, None, None,13.46, 10.6,25.46, None, None, None, None, None, None,25
None, 7.169, 93.4, None,2016-06-20 07:00:00, None, None,14.72, 11.69,20.76, None, None, None, None, None, None,25
None, 11.06, 75.13, None,2016-06-20 08:00:00, None, None,9.89, 12.49,26.73, None, None, None, None, None, None,25
None, 12.49, 69.99, None,2016-06-20 09:00:00, None, None,16.3, 12.25,33.72, None, None, None, None, None, None,25
None, 15.39, 57.92, None,2016-06-20 10:00:00, None, None,19.3, 11.09,33.77, None, None, None, None, None, None,25
None, 16.24, 52.2, None,2016-06-20 11:00:00, None, None,22.31, 7.148,30.38, None, None, None, None, None, None,25
None, 17.67, 57.18, None,2016-06-20 12:00:00, None, None,36.09, 4.573,338.2, None, None, None, None, None, None,25
None, 16.88, 50.08, None,2016-06-20 13:00:00, None, None,27.53, 6.127,318.2, None, None, None, None, None, None,25
None, 18.12, 51.01, None,2016-06-20 14:00:00, None, None,39.48, 2.791,285.1, None, None, None, None, None, None,25
None, 18.44, 44.84, None,2016-06-20 15:00:00, None, None,45.93, 2.652,195.2, None, None, None, None, None, None,25
None, 17.07, 47.94, None,2016-06-20 16:00:00, None, None,44.08, 7.943,190.8, None, None, None, None, None, None,25
None, 14.56, 54.93, None,2016-06-20 17:00:00, None, None,21.73, 14.85,167.9, None, None, None, None, None, None,25
None, 13.8, 53.91, None,2016-06-20 18:00:00, None, None,22.76, 15.86,155.5, None, None, None, None, None, None,25
None, 16.04, 50.19, None,2016-06-20 19:00:00, None, None,40.92, 5.032,179.8, None, None, None, None, None, None,25
None, 14.05, 56.89, None,2016-06-20 20:00:00, None, None,62.12, 4.271,210.7, None, None, None, None, None, None,25
None, 13.58, 55.95, None,2016-06-20 21:00:00, None, None,11.05, 10.92,156.9, None, None, None, None, None, None,25
None, 13.22, 58.63, None,2016-06-20 22:00:00, None, None,13.42, 11.01,161.5, None, None, None, None, None, None,25
None, 12.15, 76.1, None,2016-06-20 23:00:00, None, None,15.84, 13.4,166.6, None, None, None, None, None, None,25
None, 11.18, 84.6, None,2016-06-21 00:00:00, None, None,14.5, 18.94,158.7, None, None, None, None, None, None,25
None, 11.01, 84.0, None,2016-06-21 01:00:00, None, None,15.72, 17.97,162.4, None, None, None, None, None, None,25
None, 10.67, 84.9, None,2016-06-21 02:00:00, None, None,14.85, 17.63,158.6, None, None, None, None, None, None,25
None, 10.34, 83.4, None,2016-06-21 03:00:00, None, None,13.41, 18.45,157.5, None, None, None, None, None, None,25
None, 9.59, 88.7, None,2016-06-21 04:00:00, None, None,13.88, 20.28,156.7, None, None, None, None, None, None,25
None, 9.14, 92.7, None,2016-06-21 05:00:00, None, None,14.54, 21.68,157.9, None, None, None, None, None, None,25
None, 8.61, 95.6, None,2016-06-21 06:00:00, None, None,14.7, 21.43,159.0, None, None, None, None, None, None,25
None, 8.62, 94.4, None,2016-06-21 07:00:00, None, None,15.17, 21.58,162.2, None, None, None, None, None, None,25
None, 9.67, 89.5, None,2016-06-21 08:00:00, None, None,16.46, 18.71,171.3, None, None, None, None, None, None,25
None, 9.51, 89.3, None,2016-06-21 09:00:00, None, None,16.98, 17.9,172.5, None, None, None, None, None, None,25
None, 10.36, 84.0, None,2016-06-21 10:00:00, None, None,19.62, 16.08,172.5, None, None, None, None, None, None,25
None, 10.26, 83.8, None,2016-06-21 11:00:00, None, None,18.21, 16.52,173.3, None, None, None, None, None, None,25
None, 11.41, 78.3, None,2016-06-21 12:00:00, None, None,20.06, 14.17,171.2, None, None, None, None, None, None,25
None, 11.26, 78.29, None,2016-06-21 13:00:00, None, None,27.51, 12.22,174.0, None, None, None, None, None, None,25
None, 13.95, 68.33, None,2016-06-21 14:00:00, None, None,30.12, 11.53,188.2, None, None, None, None, None, None,25
None, 11.9, 72.95, None,2016-06-21 15:00:00, None, None,30.05, 11.22,185.5, None, None, None, None, None, None,25
None, 12.96, 68.74, None,2016-06-21 16:00:00, None, None,38.02, 10.16,179.2, None, None, None, None, None, None,25
None, 13.97, 65.45, None,2016-06-21 17:00:00, None, None,26.91, 12.21,188.6, None, None, None, None, None, None,25
None, 13.24, 64.14, None,2016-06-21 18:00:00, None, None,24.06, 12.94,195.7, None, None, None, None, None, None,25
None, 11.37, 72.71, None,2016-06-21 19:00:00, None, None,30.85, 13.42,184.0, None, None, None, None, None, None,25
None, 10.48, 78.99, None,2016-06-21 20:00:00, None, None,21.18, 15.35,179.8, None, None, None, None, None, None,25
