air_temp,min_air_temp_snc_last_reset,mslp,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,time,avg_wnd_spd_10m_pst10mts,dwpt_temp,stn_pres,week_of_year
6.9,7.0, 992.2, 100.0,11.4,66.0, 5.9,2020-03-18 00:00:00, 3.4,1.0, 985.0,12
6.6,5.9, 992.2, 341.0,11.4,60.0, 9.5,2020-03-18 01:00:00, 4.0,-1.0, 985.0,12
8.1,5.9, 992.1, 51.0,11.4,49.0, 8.8,2020-03-18 02:00:00, 6.6,-2.0, 985.0,12
7.2,5.9, 993.2, 92.0,11.4,52.0, 12.4,2020-03-18 03:00:00, 8.4,-2.0, 986.0,12
3.8,3.9, 993.2, 60.0,11.4,68.0, 9.2,2020-03-18 04:00:00, 5.1,-2.0, 986.0,12
3.7,2.8, 993.2, 34.0,11.4,69.0, 15.5,2020-03-18 05:00:00, 9.7,-1.0, 986.0,12
5.1,2.8, 993.2, 115.0,11.4,64.0, 13.4,2020-03-18 06:00:00, 6.1,-1.0, 986.0,12
4.0,4.0, 993.2, 190.0,5.1,72.0, 9.8,2020-03-18 07:00:00, 3.4,-1.0, 986.0,12
3.4,3.4, 994.2, 186.0,5.1,68.0, 9.2,2020-03-18 08:00:00, 3.2,-2.0, 987.0,12
4.8,3.4, 994.2, 25.0,5.1,64.0, 11.2,2020-03-18 09:00:00, 6.1,-1.0, 987.0,12
7.3,3.4, 994.2, 32.0,7.3,48.0, 6.1,2020-03-18 10:00:00, 3.0,-3.0, 987.0,12
9.2,3.4, 994.2, 206.0,9.3,47.0, 10.7,2020-03-18 11:00:00, 4.2,-2.0, 987.0,12
10.7,3.4, 995.2, 248.0,10.7,44.0, 11.9,2020-03-18 12:00:00, 6.6,-1.0, 988.0,12
11.2,3.4, 994.2, 246.0,11.3,41.0, 18.8,2020-03-18 13:00:00, 8.5,-1.0, 987.0,12
12.3,3.4, 994.1, 235.0,12.4,41.0, 16.9,2020-03-18 14:00:00, 9.6,0.0, 987.0,12
13.1,3.4, 994.1, 270.0,13.2,32.0, 15.4,2020-03-18 15:00:00, 10.5,-3.0, 987.0,12
13.5,3.4, 994.2, 271.0,13.7,26.0, 14.8,2020-03-18 16:00:00, 10.4,-6.0, 987.0,12
13.6,3.4, 993.2, 275.0,13.7,26.0, 15.2,2020-03-18 17:00:00, 11.3,-5.0, 986.0,12
13.2,3.4, 993.1, 267.0,13.7,25.0, 13.3,2020-03-18 18:00:00, 9.6,-7.0, 986.0,12
10.2,10.3, 993.2, 203.0,13.2,56.0, 16.9,2020-03-18 19:00:00, 11.1,1.0, 986.0,12
9.2,9.1, 994.2, 188.0,13.2,64.0, 20.3,2020-03-18 20:00:00, 14.4,3.0, 987.0,12
8.7,8.6, 994.2, 178.0,13.2,64.0, 19.9,2020-03-18 21:00:00, 13.3,2.0, 987.0,12
9.0,8.6, 994.2, 163.0,13.2,61.0, 11.8,2020-03-18 22:00:00, 5.8,2.0, 987.0,12
8.8,8.4, 994.2, 62.0,13.2,60.0, 13.7,2020-03-18 23:00:00, 8.4,1.0, 987.0,12
7.3,7.3, 995.2, 89.0,13.2,57.0, 14.7,2020-03-19 00:00:00, 9.5,-1.0, 988.0,12
7.5,7.1, 995.2, 84.0,13.2,52.0, 21.7,2020-03-19 01:00:00, 15.2,-2.0, 988.0,12
6.6,6.7, 995.2, 82.0,13.2,54.0, 17.6,2020-03-19 02:00:00, 14.2,-2.0, 988.0,12
6.0,6.0, 995.2, 86.0,13.2,56.0, 20.6,2020-03-19 03:00:00, 14.6,-2.0, 988.0,12
4.8,4.8, 995.2, 111.0,13.2,63.0, 10.2,2020-03-19 04:00:00, 4.2,-2.0, 988.0,12
5.4,4.7, 996.2, 106.0,13.2,62.0, 14.0,2020-03-19 05:00:00, 9.9,-1.0, 989.0,12
4.9,4.7, 996.2, 85.0,13.2,64.0, 14.3,2020-03-19 06:00:00, 7.1,-1.0, 989.0,12
4.7,4.4, 997.2, 96.0,5.0,63.0, 22.3,2020-03-19 07:00:00, 11.1,-2.0, 990.0,12
5.0,4.4, 997.2, 91.0,5.0,61.0, 17.7,2020-03-19 08:00:00, 10.6,-2.0, 990.0,12
