air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
-2.3, -2.315, -2.3, 14.2, -6999.0,2020-03-18 00:00:00, -6999.0,12
-2.7, -2.741, -2.7, 14.2, -6999.0,2020-03-18 01:00:00, -6999.0,12
-3.1, -3.127, -3.1, 14.2, -6999.0,2020-03-18 02:00:00, -6999.0,12
-3.1, -3.127, -3.1, 14.2, -6999.0,2020-03-18 03:00:00, -6999.0,12
-3.2, -3.235, -3.3, 14.2, -6999.0,2020-03-18 04:00:00, -6999.0,12
-3.7, -3.745, -3.7, 14.2, -6999.0,2020-03-18 05:00:00, -6999.0,12
-4.6, -4.571, -4.6, 14.2, -6999.0,2020-03-18 06:00:00, -6999.0,12
-4.9, -4.939, -4.9, -4.6, -6999.0,2020-03-18 07:00:00, -6999.0,12
-5.1, -5.07, -5.1, -4.6, -6999.0,2020-03-18 08:00:00, -6999.0,12
-4.5, -4.486, -5.1, -4.5, -6999.0,2020-03-18 09:00:00, -6999.0,12
5.0, 4.964, -5.1, 4.8, -6999.0,2020-03-18 10:00:00, -6999.0,12
10.4, 10.35, -5.1, 10.3, -6999.0,2020-03-18 11:00:00, -6999.0,12
12.1, 12.11, -5.1, 12.1, -6999.0,2020-03-18 12:00:00, -6999.0,12
13.8, 13.84, -5.1, 13.8, -6999.0,2020-03-18 13:00:00, -6999.0,12
14.4, 14.39, -5.1, 14.4, -6999.0,2020-03-18 14:00:00, -6999.0,12
15.8, 15.8, -5.1, 15.8, -6999.0,2020-03-18 15:00:00, -6999.0,12
14.9, 14.88, -5.1, 15.9, -6999.0,2020-03-18 16:00:00, -6999.0,12
14.2, 14.21, -5.1, 15.9, -6999.0,2020-03-18 17:00:00, -6999.0,12
13.4, 13.35, -5.1, 15.9, -6999.0,2020-03-18 18:00:00, -6999.0,12
10.6, 10.6, 10.7, 13.4, -6999.0,2020-03-18 19:00:00, -6999.0,12
3.7, 3.674, 3.8, 13.4, -6999.0,2020-03-18 20:00:00, -6999.0,12
-0.3, -0.291, -0.3, 13.4, -6999.0,2020-03-18 21:00:00, -6999.0,12
-2.0, -2.043, -2.0, 13.4, -6999.0,2020-03-18 22:00:00, -6999.0,12
-3.1, -3.064, -3.1, 13.4, -6999.0,2020-03-18 23:00:00, -6999.0,12
-3.8, -3.794, -3.8, 13.4, -6999.0,2020-03-19 00:00:00, -6999.0,12
-4.5, -4.462, -4.5, 13.4, -6999.0,2020-03-19 01:00:00, -6999.0,12
-5.3, -5.29, -5.3, 13.4, -6999.0,2020-03-19 02:00:00, -6999.0,12
-5.7, -5.657, -5.7, 13.4, -6999.0,2020-03-19 03:00:00, -6999.0,12
-6.2, -6.159, -6.2, 13.4, -6999.0,2020-03-19 04:00:00, -6999.0,12
-6.4, -6.401, -6.4, 13.4, -6999.0,2020-03-19 05:00:00, -6999.0,12
-6.8, -6.776, -6.8, 13.4, -6999.0,2020-03-19 06:00:00, -6999.0,12
-7.2, -7.22, -7.2, -6.8, -6999.0,2020-03-19 07:00:00, -6999.0,12
-7.2, -7.216, -7.3, -6.8, -6999.0,2020-03-19 08:00:00, -6999.0,12
-5.7, -5.739, -7.3, -5.8, -6999.0,2020-03-19 09:00:00, -6999.0,12
3.4, 3.417, -7.3, 3.3, -6999.0,2020-03-19 10:00:00, -6999.0,12
10.3, 10.31, -7.3, 10.2, -6999.0,2020-03-19 11:00:00, -6999.0,12
15.2, 15.21, -7.3, 15.2, -6999.0,2020-03-19 12:00:00, -6999.0,12
17.6, 17.58, -7.3, 17.5, -6999.0,2020-03-19 13:00:00, -6999.0,12
19.9, 19.94, -7.3, 19.9, -6999.0,2020-03-19 14:00:00, -6999.0,12
19.5, 19.46, -7.3, 19.9, -6999.0,2020-03-19 15:00:00, -6999.0,12
15.7, 15.74, -7.3, 19.9, -6999.0,2020-03-19 16:00:00, -6999.0,12
14.3, 14.29, -7.3, 19.9, -6999.0,2020-03-19 17:00:00, -6999.0,12
12.2, 12.15, -7.3, 19.9, -6999.0,2020-03-19 18:00:00, -6999.0,12
8.7, 8.72, 8.8, 12.2, -6999.0,2020-03-19 19:00:00, -6999.0,12
3.1, 3.134, 3.2, 12.2, -6999.0,2020-03-19 20:00:00, -6999.0,12
0.5, 0.455, 0.5, 12.2, -6999.0,2020-03-19 21:00:00, -6999.0,12
-0.9, -0.863, -0.8, 12.2, -6999.0,2020-03-19 22:00:00, -6999.0,12
-1.9, -1.922, -1.9, 12.2, -6999.0,2020-03-19 23:00:00, -6999.0,12
-2.6, -2.592, -2.6, 12.2, -6999.0,2020-03-20 00:00:00, -6999.0,12
-3.1, -3.097, -3.1, 12.2, -6999.0,2020-03-20 01:00:00, -6999.0,12
-3.8, -3.788, -3.8, 12.2, -6999.0,2020-03-20 02:00:00, -6999.0,12
-4.5, -4.505, -4.5, 12.2, -6999.0,2020-03-20 03:00:00, -6999.0,12
-4.9, -4.896, -4.9, 12.2, -6999.0,2020-03-20 04:00:00, -6999.0,12
-5.5, -5.461, -5.5, 12.2, -6999.0,2020-03-20 05:00:00, -6999.0,12
-6.0, -6.0, -6.0, 12.2, -6999.0,2020-03-20 06:00:00, -6999.0,12
-6.7, -6.694, -6.7, -6.0, -6999.0,2020-03-20 07:00:00, -6999.0,12
-6.7, -6.731, -6.8, -6.0, -6999.0,2020-03-20 08:00:00, -6999.0,12
-5.6, -5.648, -6.8, -5.7, -6999.0,2020-03-20 09:00:00, -6999.0,12
5.7, 5.691, -6.8, 5.5, -6999.0,2020-03-20 10:00:00, -6999.0,12
12.9, 12.86, -6.8, 12.8, -6999.0,2020-03-20 11:00:00, -6999.0,12
17.8, 17.83, -6.8, 17.8, -6999.0,2020-03-20 12:00:00, -6999.0,12
18.9, 18.89, -6.8, 18.9, -6999.0,2020-03-20 13:00:00, -6999.0,12
19.3, 19.26, -6.8, 19.3, -6999.0,2020-03-20 14:00:00, -6999.0,12
19.2, 19.23, -6.8, 19.5, -6999.0,2020-03-20 15:00:00, -6999.0,12
18.3, 18.33, -6.8, 19.5, -6999.0,2020-03-20 16:00:00, -6999.0,12
17.7, 17.66, -6.8, 19.5, -6999.0,2020-03-20 17:00:00, -6999.0,12
16.0, 16.03, -6.8, 19.5, -6999.0,2020-03-20 18:00:00, -6999.0,12
