time,ONE_DAY_PRECIPITATION,MAX_TEMP,MIN_TEMP,week_of_year
2017-03-05,1.4,0.8,-3.2,10
2017-03-06,3.8,1.4,-4.1,10
2017-03-07,0.0,1.1,-5.7,10
2017-03-08,0.0,2.1,-8.9,10
2017-03-09,0.0,-4.6,-11.3,10
2017-03-10,0.0,-4.7,-11.6,10
2017-03-11,26.5,2.3,-9.7,10
