AirTemperature,Precipitation,Rain,WindSpeed,time,WindDirection,RelativeHumidity,week_of_year
5.3, 0.0,0.0, 3.6,2019-10-01 00:00:00, 309.0, 60.0,40
5.5, None,0.0, 4.1,2019-10-01 00:15:00, 311.0, 60.0,40
5.5, None,0.0, 4.4,2019-10-01 00:30:00, 303.0, 59.0,40
5.5, None,0.0, 3.9,2019-10-01 00:45:00, 299.0, 59.0,40
5.5, 0.0,0.0, 4.4,2019-10-01 01:00:00, 310.0, 59.0,40
5.4, None,0.0, 4.5,2019-10-01 01:15:00, 306.0, 60.0,40
5.4, None,0.0, 4.2,2019-10-01 01:30:00, 316.0, 61.0,40
5.3, None,0.0, 4.1,2019-10-01 01:45:00, 300.0, 58.0,40
5.4, 0.0,0.0, 4.8,2019-10-01 02:00:00, 299.0, 52.0,40
5.5, None,0.0, 5.2,2019-10-01 02:15:00, 292.0, 51.0,40
5.4, None,0.0, 4.4,2019-10-01 02:30:00, 291.0, 50.0,40
5.6, None,0.0, 4.7,2019-10-01 02:45:00, 300.0, 46.0,40
5.7, 0.0,0.0, 4.6,2019-10-01 03:00:00, 302.0, 46.0,40
5.7, None,0.0, 4.9,2019-10-01 03:15:00, 300.0, 47.0,40
5.8, None,0.0, 4.7,2019-10-01 03:30:00, 294.0, 48.0,40
5.9, None,0.0, 5.2,2019-10-01 03:45:00, 293.0, 48.0,40
5.8, 0.0,0.0, 4.4,2019-10-01 04:00:00, 298.0, 49.0,40
5.8, None,0.0, 4.3,2019-10-01 04:15:00, 289.0, 46.0,40
5.9, None,0.0, 4.2,2019-10-01 04:30:00, 295.0, 46.0,40
5.9, None,0.0, 4.1,2019-10-01 04:45:00, 295.0, 47.0,40
5.9, 0.0,0.0, 4.0,2019-10-01 05:00:00, 284.0, 46.0,40
5.7, None,0.0, 3.2,2019-10-01 05:15:00, 293.0, 47.0,40
5.5, None,0.0, 3.3,2019-10-01 05:30:00, 297.0, 46.0,40
5.5, None,0.0, 4.0,2019-10-01 05:45:00, 303.0, 44.0,40
5.5, 0.0,0.0, 3.1,2019-10-01 06:00:00, 300.0, 45.0,40
5.4, None,0.0, 2.4,2019-10-01 06:15:00, 288.0, 44.0,40
5.6, None,0.0, 2.2,2019-10-01 06:30:00, 285.0, 46.0,40
6.0, None,0.0, 2.4,2019-10-01 06:45:00, 286.0, 44.0,40
6.0, 0.0,0.0, 1.9,2019-10-01 07:00:00, 278.0, 44.0,40
5.9, None,0.0, 2.0,2019-10-01 07:15:00, 265.0, 44.0,40
6.0, None,0.0, 2.4,2019-10-01 07:30:00, 273.0, 43.0,40
6.3, None,0.0, 1.6,2019-10-01 07:45:00, 278.0, 44.0,40
6.9, 0.0,0.0, 2.5,2019-10-01 08:00:00, 168.0, 41.0,40
7.9, None,0.0, 3.2,2019-10-01 08:15:00, 194.0, 39.0,40
8.4, None,0.0, 3.3,2019-10-01 08:30:00, 192.0, 40.0,40
8.8, None,0.0, 4.4,2019-10-01 08:45:00, 189.0, 41.0,40
9.5, 0.0,0.0, 2.8,2019-10-01 09:00:00, 180.0, 40.0,40
10.3, None,0.0, 3.1,2019-10-01 09:15:00, 320.0, 39.0,40
