CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,MEASURED_WIND_DIRECTION1,MEASURED_WIND_SPEED1,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,dwpt_temp,time,week_of_year
-11.07, 89.0, -10.6, 89.0, None, 20.24, None, 236.1, 23.57, -11.1, -11.3, None, None, -12.0,2022-12-17 00:00:00,51
-11.34, 88.9, -10.6, 89.0, None, 18.25, None, 238.6, 20.68, -11.3, -11.5, None, None, -13.0,2022-12-17 01:00:00,51
-11.27, 88.9, -10.6, 89.0, None, 12.36, None, 244.5, 20.17, -11.3, -11.5, None, None, -13.0,2022-12-17 02:00:00,51
-11.56, 88.6, -10.6, 89.0, None, 12.38, None, 246.8, 13.77, -11.6, -11.6, None, None, -13.0,2022-12-17 03:00:00,51
-11.75, 88.4, -10.6, 88.0, None, 12.2, None, 238.7, 12.38, -11.8, -11.9, None, None, -13.0,2022-12-17 04:00:00,51
-11.59, 88.6, -10.6, 89.0, None, 12.31, None, 240.1, 9.68, -11.6, -11.9, None, None, -13.0,2022-12-17 05:00:00,51
-11.76, 88.4, -10.6, 88.0, None, 17.41, None, 235.5, 14.14, -11.8, -11.9, None, None, -13.0,2022-12-17 06:00:00,51
-11.77, 88.5, -11.7, 89.0, None, 17.37, None, 237.0, 12.66, -11.8, -12.1, None, None, -13.0,2022-12-17 07:00:00,51
-12.34, 87.9, -11.7, 88.0, None, 13.2, None, 239.2, 10.43, -12.3, -12.4, None, None, -14.0,2022-12-17 08:00:00,51
-12.86, 87.3, -11.7, 87.0, None, 14.54, None, 237.7, 10.5, -12.9, -12.9, None, None, -14.0,2022-12-17 09:00:00,51
-13.81, 86.4, -11.7, 86.0, None, 24.44, None, 259.5, 11.06, -13.8, -13.9, None, None, -15.0,2022-12-17 10:00:00,51
-13.91, 86.1, -11.7, 86.0, None, 16.31, None, 247.0, 10.29, -13.9, -14.0, None, None, -15.0,2022-12-17 11:00:00,51
-13.74, 85.9, -11.7, 86.0, None, 15.18, None, 247.5, 7.249, -13.7, -14.0, None, None, -16.0,2022-12-17 12:00:00,51
-13.32, 86.1, -11.7, 86.0, None, 12.58, None, 242.6, 7.449, -13.3, -14.0, None, None, -15.0,2022-12-17 13:00:00,51
-14.38, 85.6, -11.7, 86.0, None, 11.28, None, 240.3, 7.088, -14.4, -14.4, None, None, -16.0,2022-12-17 14:00:00,51
-15.45, 85.0, -11.7, 85.0, None, 9.91, None, 238.7, 7.868, -15.5, -15.4, None, None, -17.0,2022-12-17 15:00:00,51
-15.44, 85.1, -11.7, 85.0, None, 5.943, None, 237.4, 6.077, -15.4, -15.5, None, None, -17.0,2022-12-17 16:00:00,51
-15.94, 84.7, -11.7, 85.0, None, 7.089, None, 235.6, 6.314, -15.9, -16.0, None, None, -18.0,2022-12-17 17:00:00,51
-16.09, 84.6, -11.7, 85.0, None, 7.836, None, 231.3, 6.303, -16.1, -16.1, None, None, -18.0,2022-12-17 18:00:00,51
-16.06, 84.5, -15.9, 85.0, None, 6.895, None, 232.1, 6.206, -16.1, -16.1, None, None, -18.0,2022-12-17 19:00:00,51
-16.25, 84.4, -15.9, 84.0, None, 11.0, None, 234.3, 6.354, -16.3, -16.3, None, None, -18.0,2022-12-17 20:00:00,51
-16.64, 84.1, -15.9, 84.0, None, 16.12, None, 233.0, 8.54, -16.6, -16.6, None, None, -19.0,2022-12-17 21:00:00,51
-17.37, 83.5, -15.9, 84.0, None, 18.46, None, 232.0, 11.61, -17.4, -17.4, None, None, -19.0,2022-12-17 22:00:00,51
-17.98, 83.0, -15.9, 83.0, None, 20.05, None, 230.4, 12.78, -18.0, -18.0, None, None, -20.0,2022-12-17 23:00:00,51
-18.38, 82.6, -15.9, 83.0, None, 15.07, None, 232.4, 10.41, -18.4, -18.4, None, None, -20.0,2022-12-18 00:00:00,51
-18.69, 82.4, -15.9, 82.0, None, 16.87, None, 229.9, 11.79, -18.7, -18.8, None, None, -21.0,2022-12-18 01:00:00,51
-19.06, 82.0, -15.9, 82.0, None, 15.19, None, 231.1, 10.96, -19.1, -19.1, None, None, -21.0,2022-12-18 02:00:00,51
-19.21, 82.0, -15.9, 82.0, None, 10.54, None, 233.3, 8.52, -19.2, -19.4, None, None, -21.0,2022-12-18 03:00:00,51
-19.09, 82.1, -15.9, 82.0, None, 15.9, None, 232.1, 9.35, -19.1, -19.4, None, None, -21.0,2022-12-18 04:00:00,51
-19.15, 81.9, -15.9, 82.0, None, 13.04, None, 223.8, 3.639, -19.2, -19.4, None, None, -21.0,2022-12-18 05:00:00,51
-19.26, 81.6, -15.9, 82.0, None, 32.57, None, 155.1, 4.714, -19.3, -19.4, None, None, -21.0,2022-12-18 06:00:00,51
-18.99, 82.1, -18.9, 82.0, None, 9.3, None, 122.8, 7.474, -19.0, -19.4, None, None, -21.0,2022-12-18 07:00:00,51
-18.85, 82.2, -18.9, 82.0, None, 22.1, None, 158.5, 8.63, -18.9, -19.4, None, None, -21.0,2022-12-18 08:00:00,51
-18.71, 82.1, None, None, None, 18.83, None, 141.0, 8.18, None, None, None, None, None,2022-12-18 09:00:00,51
-18.26, 82.0, None, None, None, 12.52, None, 129.5, 7.428, None, None, None, None, None,2022-12-18 10:00:00,51
-17.88, 82.1, None, None, None, 11.21, None, 121.0, 9.12, None, None, None, None, None,2022-12-18 11:00:00,51
-17.43, 83.0, None, None, None, 25.64, None, 176.7, 6.134, None, None, None, None, None,2022-12-18 12:00:00,51
-17.9, 82.2, None, None, None, 14.24, None, 125.6, 5.623, None, None, None, None, None,2022-12-18 13:00:00,51
-17.67, 82.3, None, None, None, 16.88, None, 128.8, 7.539, None, None, None, None, None,2022-12-18 14:00:00,51
-18.17, 82.4, -17.2, 82.0, None, 21.14, None, 137.0, 8.3, -18.2, -19.4, None, None, -20.0,2022-12-18 15:00:00,51
-18.22, 82.6, -17.2, 83.0, None, 26.89, None, 169.4, 8.28, -18.2, -19.4, None, None, -20.0,2022-12-18 16:00:00,51
-18.54, 82.5, -17.2, 83.0, None, 35.09, None, 174.5, 9.15, -18.5, -19.4, None, None, -20.0,2022-12-18 17:00:00,51
-18.99, 82.0, -17.2, 82.0, None, 21.89, None, 204.6, 14.64, -19.0, -19.4, None, None, -21.0,2022-12-18 18:00:00,51
-19.39, 81.7, -19.0, 82.0, None, 20.99, None, 226.8, 13.14, -19.4, -19.4, None, None, -21.0,2022-12-18 19:00:00,51
-19.74, 81.4, -19.0, 81.0, None, 23.21, None, 229.0, 15.42, -19.7, -19.8, None, None, -22.0,2022-12-18 20:00:00,51
-21.63, 79.59, -19.0, 80.0, None, 22.46, None, 226.0, 16.35, -21.6, -21.6, None, None, -24.0,2022-12-18 21:00:00,51
-23.22, 78.52, -19.0, 79.0, None, 25.92, None, 225.6, 14.9, -23.2, -23.2, None, None, -26.0,2022-12-18 22:00:00,51
-23.9, 78.03, -19.0, 78.0, None, 23.47, None, 226.0, 19.45, -23.9, -23.9, None, None, -26.0,2022-12-18 23:00:00,51
-23.83, 78.04, -19.0, 78.0, None, 22.93, None, 235.0, 12.87, -23.8, -24.1, None, None, -26.0,2022-12-19 00:00:00,51
-24.32, 77.84, -19.0, 78.0, None, 19.09, None, 246.0, 11.15, -24.3, -24.4, None, None, -27.0,2022-12-19 01:00:00,51
-24.74, 77.43, -19.0, 77.0, None, 22.52, None, 233.5, 9.67, -24.7, -24.8, None, None, -27.0,2022-12-19 02:00:00,51
-25.36, 76.9, -19.0, 77.0, None, 20.06, None, 221.6, 12.93, -25.4, -25.4, None, None, -28.0,2022-12-19 03:00:00,51
