AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
14.4, None, None, 620.5,2023-05-14 22:15:00, 119.0, None,20
14.3, None, None, 697.0,2023-05-14 22:30:00, 119.0, None,20
14.2, None, None, 696.5,2023-05-14 22:45:00, 119.0, None,20
14.1, None, None, 619.6,2023-05-14 23:00:00, 119.0, None,20
14.5, None, None, 695.8,2023-05-14 23:15:00, 119.0, None,20
13.7, None, None, 695.3,2023-05-14 23:30:00, 118.0, None,20
14.0, None, None, 695.0,2023-05-14 23:45:00, 119.0, None,20
13.5, 4.9, 11.3, 618.4,2023-05-15 00:00:00, 119.0, 19.5,20
13.2, None, None, 618.1,2023-05-15 00:15:00, 118.0, None,20
13.8, None, None, 694.0,2023-05-15 00:30:00, 119.0, None,20
13.1, None, None, 693.7,2023-05-15 00:45:00, 119.0, None,20
12.9, None, None, 693.3,2023-05-15 01:00:00, 119.0, None,20
13.3, None, None, 693.1,2023-05-15 01:15:00, 119.0, None,20
13.1, None, None, 616.6,2023-05-15 01:30:00, 119.0, None,20
13.1, None, None, 616.4,2023-05-15 01:45:00, 118.0, None,20
13.4, None, None, 692.2,2023-05-15 02:00:00, 119.0, None,20
13.0, None, None, 616.0,2023-05-15 02:15:00, 119.0, None,20
12.3, None, None, 615.5,2023-05-15 02:30:00, 119.0, None,20
12.6, None, None, 691.1,2023-05-15 02:45:00, 119.0, None,20
12.3, None, None, 690.9,2023-05-15 03:00:00, 120.0, None,20
12.3, None, None, 690.7,2023-05-15 03:15:00, 119.0, None,20
11.3, None, None, 690.2,2023-05-15 03:30:00, 119.0, None,20
11.9, None, None, 690.1,2023-05-15 03:45:00, 119.0, None,20
11.5, None, None, 614.3,2023-05-15 04:00:00, 119.0, None,20
11.5, None, None, 614.1,2023-05-15 04:15:00, 119.0, None,20
11.8, None, None, 613.8,2023-05-15 04:30:00, 119.0, None,20
