wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1
155.0, None, None,0.0, None,21.5, None,-1.6, None, None, None,100.0,2016-11-25 00:00:00,48,,,,,,,,,,,
147.0, None, None,0.0, None,14.1, None,-1.8, None, None, None,100.0,2016-11-25 01:00:00,48,,,,,,,,,,,
164.0, None, None,0.0, None,14.9, None,-1.8, None, None, None,100.0,2016-11-25 02:00:00,48,,,,,,,,,,,
198.0, None, None,0.0, None,10.9, None,-1.8, None, None, None,100.0,2016-11-25 03:00:00,48,,,,,,,,,,,
228.0, None, None,0.0, None,9.7, None,-2.5, None, None, None,100.0,2016-11-25 04:00:00,48,,,,,,,,,,,
234.0, None, None,0.0, None,14.1, None,-2.7, None, None, None,91.0,2016-11-25 05:00:00,48,,,,,,,,,,,
258.0, None, None,0.0, None,11.8, None,-3.0, None, None, None,91.0,2016-11-25 06:00:00,48,,,,,,,,,,,
262.0, None, None,0.0, None,8.3, None,-3.0, None, None, None,90.0,2016-11-25 07:00:00,48,,,,,,,,,,,
116.0, None, None,0.0, None,2.7, None,-4.8, None, None, None,96.0,2016-11-25 08:00:00,48,,,,,,,,,,,
356.0, None, None,0.0, None,3.2, None,-4.6, None, None, None,96.0,2016-11-25 09:00:00,48,,,,,,,,,,,
200.0, None, None,0.0, None,9.5, None,-1.3, None, None, None,85.0,2016-11-25 10:00:00,48,,,,,,,,,,,
197.0, None, None,0.0, None,8.7, None,0.4, None, None, None,77.0,2016-11-25 11:00:00,48,,,,,,,,,,,
298.0, None, None,0.4, None,5.5, None,2.3, None, None, None,69.0,2016-11-25 12:00:00,48,,,,,,,,,,,
195.0, None, None,0.4, None,5.4, None,3.2, None, None, None,65.0,2016-11-25 13:00:00,48,,,,,,,,,,,
164.0, None, None,0.2, None,7.2, None,1.1, None, None, None,74.0,2016-11-25 14:00:00,48,,,,,,,,,,,
97.0, None, None,0.4, None,5.6, None,-0.3, None, None, None,86.0,2016-11-25 15:00:00,48,,,,,,,,,,,
94.0, None, None,0.0, None,5.2, None,-2.3, None, None, None,98.0,2016-11-25 16:00:00,48,,,,,,,,,,,
153.0, None, None,0.0, None,3.0, None,-3.1, None, None, None,99.0,2016-11-25 17:00:00,48,,,,,,,,,,,
70.0, None, None,0.0, None,4.0, None,-3.0, None, None, None,99.0,2016-11-25 18:00:00,48,,,,,,,,,,,
34.0, None, None,0.0, None,4.1, None,-2.7, None, None, None,97.0,2016-11-25 19:00:00,48,,,,,,,,,,,
86.0, None, None,0.0, None,4.7, None,-2.7, None, None, None,99.0,2016-11-25 20:00:00,48,,,,,,,,,,,
128.0, None, None,0.0, None,5.5, None,-2.6, None, None, None,98.0,2016-11-25 21:00:00,48,,,,,,,,,,,
112.0, None, None,0.0, None,2.7, None,-2.4, None, None, None,100.0,2016-11-25 22:00:00,48,,,,,,,,,,,
90.0, None, None,0.0, None,2.1, None,-2.3, None, None, None,100.0,2016-11-25 23:00:00,48,,,,,,,,,,,
146.0, None, None,0.0, None,3.4, None,-2.2, None, None, None,100.0,2016-11-26 00:00:00,48,,,,,,,,,,,
118.0, None, None,0.0, None,4.3, None,-2.2, None, None, None,100.0,2016-11-26 01:00:00,48,,,,,,,,,,,
172.0, None, None,0.0, None,4.7, None,-2.0, None, None, None,100.0,2016-11-26 02:00:00,48,,,,,,,,,,,
159.0, None, None,0.0, None,6.5, None,-1.9, None, None, None,100.0,2016-11-26 03:00:00,48,,,,,,,,,,,
131.0, None, None,0.0, None,6.9, None,-1.4, None, None, None,100.0,2016-11-26 04:00:00,48,,,,,,,,,,,
155.0, None, None,0.0, None,9.5, None,-1.1, None, None, None,100.0,2016-11-26 05:00:00,48,,,,,,,,,,,
152.0, None, None,0.0, None,11.1, None,-0.9, None, None, None,100.0,2016-11-26 06:00:00,48,,,,,,,,,,,
