air_temp,min_air_temp_snc_last_reset,time,max_air_temp_snc_last_reset,week_of_year
12.3,11.9,2021-10-22 00:00:00,17.1,43
12.2,11.9,2021-10-22 01:00:00,17.1,43
12.5,11.9,2021-10-22 02:00:00,17.1,43
12.4,11.9,2021-10-22 03:00:00,17.1,43
12.3,11.9,2021-10-22 04:00:00,17.1,43
12.3,11.9,2021-10-22 05:00:00,17.1,43
11.9,11.9,2021-10-22 06:00:00,17.1,43
11.8,11.7,2021-10-22 07:00:00,11.9,43
11.6,11.5,2021-10-22 08:00:00,11.9,43
11.6,11.5,2021-10-22 09:00:00,11.9,43
11.5,11.5,2021-10-22 10:00:00,11.9,43
11.3,11.3,2021-10-22 11:00:00,11.9,43
10.9,10.9,2021-10-22 12:00:00,11.9,43
11.1,10.8,2021-10-22 13:00:00,11.9,43
11.0,10.8,2021-10-22 14:00:00,11.9,43
11.2,10.8,2021-10-22 15:00:00,11.9,43
11.5,10.8,2021-10-22 16:00:00,11.9,43
11.5,10.8,2021-10-22 17:00:00,11.9,43
11.1,10.8,2021-10-22 18:00:00,11.9,43
10.7,10.6,2021-10-22 19:00:00,11.1,43
10.5,10.5,2021-10-22 20:00:00,11.1,43
10.6,10.4,2021-10-22 21:00:00,11.1,43
10.5,10.4,2021-10-22 22:00:00,11.1,43
10.6,10.3,2021-10-22 23:00:00,11.1,43
10.6,10.3,2021-10-23 00:00:00,11.1,43
10.1,10.1,2021-10-23 01:00:00,11.1,43
10.9,10.0,2021-10-23 02:00:00,11.1,43
9.9,9.9,2021-10-23 03:00:00,11.1,43
10.1,9.9,2021-10-23 04:00:00,11.1,43
10.5,9.9,2021-10-23 05:00:00,11.1,43
9.5,9.5,2021-10-23 06:00:00,11.1,43
9.7,9.3,2021-10-23 07:00:00,9.7,43
9.8,9.3,2021-10-23 08:00:00,9.8,43
9.7,9.3,2021-10-23 09:00:00,9.9,43
9.4,9.3,2021-10-23 10:00:00,9.9,43
9.6,9.2,2021-10-23 11:00:00,9.9,43
10.3,9.2,2021-10-23 12:00:00,10.4,43
10.5,9.2,2021-10-23 13:00:00,10.8,43
10.2,9.2,2021-10-23 14:00:00,10.8,43
9.9,9.2,2021-10-23 15:00:00,10.8,43
9.9,9.2,2021-10-23 16:00:00,10.8,43
10.3,9.2,2021-10-23 17:00:00,10.8,43
10.4,9.2,2021-10-23 18:00:00,10.8,43
10.3,10.2,2021-10-23 19:00:00,10.5,43
9.7,9.7,2021-10-23 20:00:00,10.5,43
10.1,9.5,2021-10-23 21:00:00,10.5,43
10.4,9.5,2021-10-23 22:00:00,10.7,43
11.6,9.5,2021-10-23 23:00:00,11.8,43
10.3,9.5,2021-10-24 00:00:00,11.8,43
10.9,9.5,2021-10-24 01:00:00,12.1,43
10.9,9.5,2021-10-24 02:00:00,12.1,43
10.9,9.5,2021-10-24 03:00:00,12.1,43
11.0,9.5,2021-10-24 04:00:00,12.1,43
12.1,9.5,2021-10-24 05:00:00,12.6,43
11.6,9.5,2021-10-24 06:00:00,12.6,43
12.5,11.0,2021-10-24 07:00:00,13.6,43
12.3,11.0,2021-10-24 08:00:00,13.6,43
13.3,11.0,2021-10-24 09:00:00,13.7,43
12.3,11.0,2021-10-24 10:00:00,14.8,43
12.2,11.0,2021-10-24 11:00:00,14.8,43
12.6,11.0,2021-10-24 12:00:00,14.8,43
12.4,11.0,2021-10-24 13:00:00,14.8,43
12.1,11.0,2021-10-24 14:00:00,14.8,43
12.0,11.0,2021-10-24 15:00:00,14.8,43
11.6,11.0,2021-10-24 16:00:00,14.8,43
10.9,10.9,2021-10-24 17:00:00,14.8,43
10.6,10.6,2021-10-24 18:00:00,14.8,43
10.9,9.8,2021-10-24 19:00:00,10.9,43
11.6,9.8,2021-10-24 20:00:00,11.6,43
11.8,9.8,2021-10-24 21:00:00,12.0,43
12.0,9.8,2021-10-24 22:00:00,12.1,43
12.1,9.8,2021-10-24 23:00:00,12.1,43
11.7,9.8,2021-10-25 00:00:00,12.1,43
11.4,9.8,2021-10-25 01:00:00,12.1,43
11.2,9.8,2021-10-25 02:00:00,12.1,43
11.5,9.8,2021-10-25 03:00:00,12.1,43
11.9,9.8,2021-10-25 04:00:00,12.1,43
12.2,9.8,2021-10-25 05:00:00,12.7,43
11.4,9.8,2021-10-25 06:00:00,12.7,43
11.3,10.8,2021-10-25 07:00:00,12.8,43
11.9,10.8,2021-10-25 08:00:00,12.8,43
12.0,10.8,2021-10-25 09:00:00,12.8,43
12.1,10.8,2021-10-25 10:00:00,12.8,43
12.1,10.8,2021-10-25 11:00:00,12.8,43
12.5,10.8,2021-10-25 12:00:00,12.8,43
12.3,10.8,2021-10-25 13:00:00,12.8,43
12.5,10.8,2021-10-25 14:00:00,12.8,43
12.3,10.8,2021-10-25 15:00:00,12.8,43
10.9,10.7,2021-10-25 16:00:00,12.8,43
11.1,10.6,2021-10-25 17:00:00,12.8,43
10.2,10.2,2021-10-25 18:00:00,12.8,43
10.4,10.2,2021-10-25 19:00:00,10.5,43
10.7,10.2,2021-10-25 20:00:00,10.7,43
11.2,10.2,2021-10-25 21:00:00,11.2,43
11.2,10.2,2021-10-25 22:00:00,11.2,43
10.7,10.2,2021-10-25 23:00:00,11.3,43
10.3,10.2,2021-10-26 00:00:00,11.3,43
10.2,10.1,2021-10-26 01:00:00,11.3,43
10.2,10.0,2021-10-26 02:00:00,11.3,43
10.2,10.0,2021-10-26 03:00:00,11.3,43
10.3,10.0,2021-10-26 04:00:00,11.3,43
9.7,9.7,2021-10-26 05:00:00,11.3,43
9.7,9.7,2021-10-26 06:00:00,11.3,43
9.8,9.7,2021-10-26 07:00:00,9.9,43
9.7,9.7,2021-10-26 08:00:00,9.9,43
9.9,9.6,2021-10-26 09:00:00,9.9,43
10.2,9.6,2021-10-26 10:00:00,10.2,43
10.5,9.6,2021-10-26 11:00:00,10.5,43
10.5,9.6,2021-10-26 12:00:00,10.6,43
10.0,9.6,2021-10-26 13:00:00,10.6,43
9.6,9.4,2021-10-26 14:00:00,10.6,43
9.7,9.4,2021-10-26 15:00:00,10.6,43
11.1,9.4,2021-10-26 16:00:00,11.1,43
10.8,9.4,2021-10-26 17:00:00,11.1,43
11.4,9.4,2021-10-26 18:00:00,11.8,43
11.4,10.9,2021-10-26 19:00:00,11.6,43
10.4,10.3,2021-10-26 20:00:00,11.6,43
10.8,10.1,2021-10-26 21:00:00,11.6,43
10.2,10.1,2021-10-26 22:00:00,11.6,43
9.9,9.9,2021-10-26 23:00:00,11.6,43
9.6,9.4,2021-10-27 00:00:00,11.6,43
9.7,9.4,2021-10-27 01:00:00,11.6,43
9.0,9.0,2021-10-27 02:00:00,11.6,43
9.5,9.0,2021-10-27 03:00:00,11.6,43
9.6,9.0,2021-10-27 04:00:00,11.6,43
9.4,9.0,2021-10-27 05:00:00,11.6,43
9.2,9.0,2021-10-27 06:00:00,11.6,43
9.2,9.2,2021-10-27 07:00:00,9.4,43
9.5,9.0,2021-10-27 08:00:00,9.5,43
9.8,9.0,2021-10-27 09:00:00,9.8,43
9.9,9.0,2021-10-27 10:00:00,9.9,43
10.0,9.0,2021-10-27 11:00:00,10.1,43
10.2,9.0,2021-10-27 12:00:00,10.5,43
10.3,9.0,2021-10-27 13:00:00,10.5,43
10.7,9.0,2021-10-27 14:00:00,10.9,43
10.8,9.0,2021-10-27 15:00:00,10.9,43
10.9,9.0,2021-10-27 16:00:00,11.0,43
10.9,9.0,2021-10-27 17:00:00,11.0,43
10.7,9.0,2021-10-27 18:00:00,11.0,43
10.6,10.5,2021-10-27 19:00:00,10.8,43
10.4,10.4,2021-10-27 20:00:00,10.8,43
10.2,10.2,2021-10-27 21:00:00,10.8,43
10.1,10.1,2021-10-27 22:00:00,10.8,43
9.7,9.7,2021-10-27 23:00:00,10.8,43
9.4,9.4,2021-10-28 00:00:00,10.8,43
9.0,8.9,2021-10-28 01:00:00,10.8,43
8.6,8.6,2021-10-28 02:00:00,10.8,43
8.5,8.5,2021-10-28 03:00:00,10.8,43
8.1,8.1,2021-10-28 04:00:00,10.8,43
7.7,7.7,2021-10-28 05:00:00,10.8,43
7.3,7.3,2021-10-28 06:00:00,10.8,43
7.4,7.2,2021-10-28 07:00:00,7.5,43
7.5,7.2,2021-10-28 08:00:00,7.5,43
7.1,7.1,2021-10-28 09:00:00,7.5,43
7.3,7.1,2021-10-28 10:00:00,7.5,43
7.4,7.1,2021-10-28 11:00:00,7.6,43
7.4,7.1,2021-10-28 12:00:00,7.6,43
7.6,7.1,2021-10-28 13:00:00,7.6,43
8.1,7.1,2021-10-28 14:00:00,8.1,43
8.2,7.1,2021-10-28 15:00:00,8.5,43
8.1,7.1,2021-10-28 16:00:00,8.5,43
7.8,7.1,2021-10-28 17:00:00,8.5,43
7.7,7.1,2021-10-28 18:00:00,8.5,43
7.8,7.5,2021-10-28 19:00:00,7.8,43
7.9,7.5,2021-10-28 20:00:00,7.9,43
8.2,7.5,2021-10-28 21:00:00,8.2,43
8.3,7.5,2021-10-28 22:00:00,8.3,43
8.3,7.5,2021-10-28 23:00:00,8.4,43
