CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None, 3.079, 19.53, None, None, None, None, 31.79, 11.92, 99.0, -18.0, None, 3.1, 3.1, 0.0, -18.0, None, None, 3.9, None, None, 20.0, None,2021-10-22 00:00:00, None, None, None, None,43
None, 3.012, 19.55, None, None, None, None, 32.85, 16.64, 95.7, -18.0, None, 3.0, 2.9, 0.0, -18.0, None, None, 3.9, None, None, 20.0, None,2021-10-22 01:00:00, None, None, None, None,43
None, 3.219, 19.48, None, None, None, None, 30.94, 19.42, 99.7, -18.0, None, 3.2, 2.9, 0.0, -18.0, None, None, 3.9, None, None, 19.0, None,2021-10-22 02:00:00, None, None, None, None,43
None, 3.069, 19.53, None, None, None, None, 44.73, 8.35, 97.5, -18.0, None, 3.1, 2.9, 0.0, -18.0, None, None, 3.9, None, None, 20.0, None,2021-10-22 03:00:00, None, None, None, None,43
None, 3.387, 19.43, None, None, None, None, 45.01, 9.25, 80.6, -18.0, None, 3.4, 2.9, 0.0, -18.0, None, None, 3.9, None, None, 19.0, None,2021-10-22 04:00:00, None, None, None, None,43
None, 3.8, 19.31, None, None, None, None, 42.93, 9.52, 89.5, -17.0, None, 3.8, 2.9, 0.0, -17.0, None, None, 3.9, None, None, 19.0, None,2021-10-22 05:00:00, None, None, None, None,43
None, 4.204, 19.19, None, None, None, None, 35.64, 15.23, 94.8, -17.0, None, 4.2, 2.9, 0.0, -17.0, None, None, 4.2, None, None, 19.0, None,2021-10-22 06:00:00, None, None, None, None,43
None, 3.808, 19.31, None, None, None, None, 42.55, 9.69, 100.3, -17.0, None, 3.8, 3.8, 0.0, -17.0, None, None, 4.3, None, None, 19.0, None,2021-10-22 07:00:00, None, None, None, None,43
None, 1.861, 19.89, None, None, None, None, 31.35, 15.73, 131.4, -19.0, None, 1.9, 1.9, 0.0, -19.0, None, None, 4.3, None, None, 20.0, None,2021-10-22 08:00:00, None, None, None, None,43
None, 2.197, 19.92, None, None, None, None, 28.15, 15.53, 133.7, -18.0, None, 2.2, 1.4, 0.0, -18.0, None, None, 4.3, None, None, 20.0, None,2021-10-22 09:00:00, None, None, None, None,43
