TempC,time,RH,week_of_year
-0.367,2019-10-27 17:00:00,96.9,43
-0.479,2019-10-27 18:00:00,97.9,43
-0.62,2019-10-27 19:00:00,98.5,43
-0.648,2019-10-27 20:00:00,98.7,43
-0.93,2019-10-27 21:00:00,98.0,43
-1.213,2019-10-27 22:00:00,97.7,43
-1.384,2019-10-27 23:00:00,97.9,43
-1.584,2019-10-28 00:00:00,97.0,43
-1.584,2019-10-28 01:00:00,96.9,43
-1.727,2019-10-28 02:00:00,97.4,43
-1.842,2019-10-28 03:00:00,97.6,43
-1.958,2019-10-28 04:00:00,97.5,43
-2.8,2019-10-28 05:00:00,97.6,43
-2.654,2019-10-28 06:00:00,95.1,43
-2.976,2019-10-28 07:00:00,87.7,43
-3.301,2019-10-28 08:00:00,82.5,43
-2.918,2019-10-28 09:00:00,78.2,43
-2.102,2019-10-28 10:00:00,73.6,43
-1.1,2019-10-28 11:00:00,66.9,43
-1.242,2019-10-28 12:00:00,59.9,43
-1.498,2019-10-28 13:00:00,58.4,43
-1.47,2019-10-28 14:00:00,55.5,43
-1.556,2019-10-28 15:00:00,52.6,43
-2.508,2019-10-28 16:00:00,54.9,43
-4.257,2019-10-28 17:00:00,67.0,43
-6.136,2019-10-28 18:00:00,79.0,43
-7.575,2019-10-28 19:00:00,87.3,43
-8.53,2019-10-28 20:00:00,90.7,43
-9.269,2019-10-28 21:00:00,91.6,43
-9.269,2019-10-28 22:00:00,92.1,43
-8.697,2019-10-28 23:00:00,92.2,43
