station_observations
AirTemperature, Rain, WindSpeed, time, WindDirection, RelativeHumidity
-1.0, 0.0, 13.3, 2012-01-01 00:00:00, 50.0, 95.0
-1.0, 0.0, 10.9, 2012-01-01 00:15:00, 54.0, 94.0
-1.0, 0.0, 11.6, 2012-01-01 00:30:00, 54.0, 93.0
-1.0, 0.0, 9.2, 2012-01-01 00:45:00, 56.0, 92.0
-1.0, 0.0, 10.4, 2012-01-01 01:00:00, 39.0, 91.0
-1.0, 0.0, 10.7, 2012-01-01 01:15:00, 38.0, 91.0
-1.1, 0.0, 14.1, 2012-01-01 01:30:00, 50.0, 92.0
-1.2, 0.0, 14.6, 2012-01-01 01:45:00, 48.0, 94.0
-1.3, 0.0, 13.2, 2012-01-01 02:00:00, 50.0, 95.0
-1.3, 0.0, 12.3, 2012-01-01 02:15:00, 50.0, 96.0
-1.2, 0.0, 12.6, 2012-01-01 02:30:00, 47.0, 96.0
-1.2, 0.0, 13.9, 2012-01-01 02:45:00, 57.0, 96.0
-1.2, 0.0, 14.1, 2012-01-01 03:00:00, 55.0, 96.0
-1.2, 0.0, 15.5, 2012-01-01 03:15:00, 58.0, 97.0
-1.1, 0.0, 17.4, 2012-01-01 03:30:00, 62.0, 97.0
-1.1, 0.0, 15.9, 2012-01-01 03:45:00, 59.0, 97.0
-1.0, 0.0, 14.7, 2012-01-01 04:00:00, 55.0, 97.0
-1.0, 0.0, 18.1, 2012-01-01 04:15:00, 57.0, 97.0
-1.0, 0.0, 19.1, 2012-01-01 04:30:00, 56.0, 97.0
-1.0, 0.0, 17.3, 2012-01-01 04:45:00, 58.0, 97.0
-0.9, 0.0, 19.3, 2012-01-01 05:00:00, 55.0, 97.0
-0.8, 0.0, 19.6, 2012-01-01 05:15:00, 57.0, 97.0
-0.8, 0.0, 20.0, 2012-01-01 05:30:00, 55.0, 97.0
-0.8, 0.0, 17.8, 2012-01-01 05:45:00, 51.0, 97.0
-0.9, 0.0, 17.4, 2012-01-01 06:00:00, 49.0, 97.0
