ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,snw_dpth
, None,-3.0, None,2021-11-26,81.0, None,48,,,,,,,,,,,,,
, None,-7.5, None,2021-11-27,81.0, None,48,,,,,,,,,,,,,
0.0, 0.0,-1.0, 0.0,2021-11-28,91.0, 1.0,48,,,,,,,,,,,,,
, None,-1.0, None,2021-11-29,89.0, None,48,,,,,,,,,,,,,
, None,-2.0, None,2021-11-30,96.0, None,48,,,,,,,,,,,,,
, None,-1.0, None,2021-12-01,93.0, None,48,,,,,,,,,,,,,
, None,-2.5, None,2021-12-02,86.0, None,48,,,,,,,,,,,,,
, None,0.0, None,2021-11-26,28.0, None,48,,,,,,,,,,,,,
, None,-5.0, None,2021-11-27,26.0, None,48,,,,,,,,,,,,,
0.0, 0.0,-1.0, 0.0,2021-11-28,35.0, 2.0,48,,,,,,,,,,,,,
, None,0.0, None,2021-11-29,0.0, None,48,,,,,,,,,,,,,
, None,1.0, None,2021-11-30,28.0, None,48,,,,,,,,,,,,,
, None,2.0, None,2021-12-01,25.0, None,48,,,,,,,,,,,,,
, None,1.0, None,2021-12-02,17.0, None,48,,,,,,,,,,,,,
0.0, 0.0,-4.0, 0.0,2021-11-26,92.0, -4.0,48,,,,,,,,,,,,,
, None,-7.0, None,2021-11-27,90.0, None,48,,,,,,,,,,,,,
0.0, 0.0,-4.0, 0.0,2021-11-28,96.0, 1.0,48,,,,,,,,,,,,,
, None,-3.0, None,2021-11-29,96.0, None,48,,,,,,,,,,,,,
, None,-3.0, None,2021-11-30,101.0, None,48,,,,,,,,,,,,,
, None,-2.0, None,2021-12-01,102.0, None,48,,,,,,,,,,,,,
, None,-5.0, None,2021-12-02,97.0, None,48,,,,,,,,,,,,,
,,,,2021-11-26 00:00:00,,,48,241.0, 100.0, 3.3, 0.0, -1.5, 4.3, -1.5, -0.7, 78.0, 0.0, 0.0, 100.0,
,,,,2021-11-26 01:00:00,,,48,286.0, 100.0, 4.3, 0.0, -0.7, 4.0, -0.7, -0.2, 241.0, 0.0, 0.0, 100.0,
,,,,2021-11-26 02:00:00,,,48,292.0, 100.0, 4.0, 0.0, -0.2, 3.4, -0.2, -0.3, 286.0, 0.0, 0.0, 100.0,
,,,,2021-11-26 03:00:00,,,48,274.0, 100.0, 3.4, 0.0, -0.3, 4.5, -0.3, -0.4, 292.0, 0.0, 0.0, 100.0,
,,,,2021-11-26 04:00:00,,,48,244.0, 100.0, 4.5, 0.0, -0.4, 6.0, -0.4, -0.2, 274.0, 0.0, 0.0, 100.0,
,,,,2021-11-26 05:00:00,,,48,245.0, 100.0, 6.0, 0.0, -0.2, 5.9, -0.2, 0.1, 244.0, 0.0, 0.0, 100.0,
