X,Y,Name,CAUSE GENERAL,CURRENTSIZE,FIRENUMBER,FIRETYPE,FIREYEAR,Field_1,LATITUDE,LONGITUDE
-121.840064969283,49.3767070638568,V10024,Person,4.3,V10024,Fire,2016,2016,49.376701,-121.84005
-123.831802712942,49.4872071338551,V50346,Lightning,0.1,V50346,Fire,2016,2016,49.487202,-123.831787
-123.845749003973,48.7137391041632,V60474,Person,0.009,V60474,Fire,2016,2016,48.713734,-123.845734
-124.666931550909,49.5157066414408,V70418,Lightning,0.009,V70418,Fire,2016,2016,49.515701,-124.666916
-124.074684373669,49.2174889926964,V70434,Lightning,0.8,V70434,Fire,2016,2016,49.217484,-124.074669
-127.536599362749,50.5593389248637,V90363,Person,0.009,V90363,Fire,2016,2016,50.559334,-127.536583
-127.561884874462,55.2738203099769,R40022,Person,0.06,R40022,Fire,2016,2016,55.273815,-127.561867
-127.898265003714,55.4670880694047,R40107,Lightning,0.009,R40107,Fire,2016,2016,55.467083,-127.898247
-128.535753949803,54.4140713723567,R50099,Person,0.009,R50099,Fire,2016,2016,54.414066,-128.535736
-128.902590316611,53.7051060063889,R50103,Person,0.009,R50103,Fire,2016,2016,53.705101,-128.902573
-128.500661258688,59.5530217013887,R90045,Lightning,160,R90045,Fire,2016,2016,59.553017,-128.500641
-121.103249815862,53.7500899403584,G10265,Lightning,0.009,G10265,Fire,2016,2016,53.750084,-121.103233
-123.683786192435,53.839139904695,G40014,Person,1,G40014,Fire,2016,2016,53.839134,-123.683769
-124.14232050174,53.9261378456718,G40032,Person,7,G40032,Fire,2016,2016,53.926132,-124.142303
-124.833566669754,54.0735566632333,G40396,Person,0.1,G40396,Fire,2016,2016,54.073551,-124.833549
-122.787700663593,55.1755725596015,G60158,Person,0.009,G60158,Fire,2016,2016,55.175567,-122.787683
-121.999300918172,56.1030559952469,G70073,Person,510,G70073,Fire,2016,2016,56.10305,-121.999283
-121.663851104648,55.991072037488,G70117,Person,13,G70117,Fire,2016,2016,55.991066,-121.663834
-121.65230112733,56.72010605688,G80084,Person,4.2,G80084,Fire,2016,2016,56.7201,-121.652283
-121.483188345235,58.8733390312312,G90352,Lightning,19.9,G90352,Fire,2016,2016,58.873333,-121.48317
-119.738167035807,51.5911888191298,K10233,Lightning,0.009,K10233,Fire,2016,2016,51.591183,-119.738152
-119.112999431509,52.5483384396903,K10330,Lightning,0.009,K10330,Fire,2016,2016,52.548332,-119.112984
-120.018646312299,51.0288374530138,K20040,Person,0.009,K20040,Fire,2016,2016,51.028831,-120.018631
-121.285148791572,50.5295239840205,K20099,Person,1.5,K20099,Fire,2016,2016,50.529518,-121.285133
-119.962532028675,50.7567732490192,K20100,Person,0.3,K20100,Fire,2016,2016,50.756767,-119.962517
-119.165065132273,50.5642228296955,K30209,Person,1.2,K30209,Fire,2016,2016,50.564217,-119.16505
-118.942565889489,51.2751220948224,K30332,Lightning,0.009,K30332,Fire,2016,2016,51.275116,-118.942551
-118.918665046722,50.4216061561493,K40051,Person,0.5,K40051,Fire,2016,2016,50.4216,-118.91865
-121.939231858857,49.3014049424505,V10004,Person,0.009,V10004,Fire,2016,2016,49.301399,-121.939217
-122.256797817221,49.3062724124197,V10249,Person,0.5,V10249,Fire,2016,2016,49.306267,-122.256783
-123.804779017938,48.410154086849,V60016,Person,1.3,V60016,Fire,2016,2016,48.410149,-123.804764
-123.858215492821,49.0004060102988,V60194,Person,0.1,V60194,Fire,2016,2016,49.0004,-123.8582
-124.923615008257,49.5740067143009,V80053,Person,0.2,V80053,Fire,2016,2016,49.574001,-124.923599
-126.042115018583,50.1022734955278,V80422,Lightning,0.1,V80422,Fire,2016,2016,50.102268,-126.042099
