X,Y,Name,CAUSE GENERAL,CURRENTSIZE,FIRENUMBER,FIRETYPE,FIREYEAR,Field_1,LATITUDE,LONGITUDE
-123.143533912145,54.648005797792,G10881,Lightning,1.1,G10881,Fire,2017,2017,54.648,-123.143517
-119.174332214539,52.7849717366281,G31128,Lightning,0.009,G31128,Fire,2017,2017,52.784965,-119.174316
-124.934467728555,55.175022270361,G50904,Person,6.5,G50904,Fire,2017,2017,55.175017,-124.93445
-122.700517752481,55.1758404699114,G61580,Lightning,0.009,G61580,Fire,2017,2017,55.175835,-122.7005
-121.596150702968,55.7862893354155,G71377,Person,0.009,G71377,Fire,2017,2017,55.786283,-121.596133
-121.850985368721,58.392972763028,G90205,Lightning,0.02,G90205,Fire,2017,2017,58.392967,-121.850967
-119.410198695071,51.337972846551,K11811,Lightning,0.1,K11811,Fire,2017,2017,51.337967,-119.410183
-120.468115400502,50.6820559896593,K20538,Person,3,K20538,Fire,2017,2017,50.68205,-120.4681
-120.218818812855,50.8740713254789,K20945,Person,0.1,K20945,Fire,2017,2017,50.874065,-120.218803
-119.501464873193,51.1947044218399,K21230,Lightning,0.009,K21230,Fire,2017,2017,51.194698,-119.50145
-120.001350471526,50.8763220524882,K21360,Lightning,1.77,K21360,Fire,2017,2017,50.876316,-120.001335
-119.596351565102,50.7531721917034,K31387,Lightning,0.8,K31387,Fire,2017,2017,50.753166,-119.596336
-118.967429894,50.5667060534832,K31828,Person,0.1,K31828,Fire,2017,2017,50.5667,-118.967415
-118.970031734665,51.3779891989297,K31897,Lightning,0.25,K31897,Fire,2017,2017,51.377983,-118.970016
-122.968082236447,49.7196889493431,V31922,Person,3.5,V31922,Fire,2017,2017,49.719683,-122.968067
-123.138931642118,49.9902552369999,V32036,Person,0.1,V32036,Fire,2017,2017,49.99025,-123.138916
-124.026649567595,48.4490067651071,V60567,Person,0.009,V60567,Fire,2017,2017,48.449001,-124.026634
-124.047828949432,49.1075569941398,V71589,Person,0.98,V71589,Fire,2017,2017,49.107552,-124.047813
-126.922333827285,50.4017880942547,V92236,Person,4,V92236,Fire,2017,2017,50.401783,-126.922318
-127.244234623272,54.8034719488286,R30213,Lightning,0.009,R30213,Fire,2017,2017,54.803467,-127.244217
-131.10933381146,57.9240884143562,R90172,Person,0.2,R90172,Fire,2017,2017,57.924084,-131.109314
-130.840336537092,57.8693380572199,R92148,Lightning,0.5,R92148,Fire,2017,2017,57.869333,-130.840317
-122.510283662923,54.2886558688066,G10275,Lightning,0.2,G10275,Fire,2017,2017,54.28865,-122.510267
-123.045766875126,53.7883724910631,G10847,Lightning,8.9,G10847,Fire,2017,2017,53.788367,-123.04575
-123.40266676633,53.3626724285552,G11511,Lightning,0.5,G11511,Fire,2017,2017,53.362667,-123.40265
-121.701516572429,53.6230059592079,G11539,Lightning,0.5,G11539,Fire,2017,2017,53.623,-121.7015
-119.262596717332,53.0259728419756,G30255,Person,0.009,G30255,Fire,2017,2017,53.025967,-119.262581
-124.610017809439,54.0260217852602,G40677,Lightning,0.04,G40677,Fire,2017,2017,54.026016,-124.610001
-124.546350258311,53.355722282405,G40702,Lightning,1.5,G40702,Fire,2017,2017,53.355717,-124.546333
-124.506983926023,54.1074723005757,G40923,Lightning,0,G40923,Fire,2017,2017,54.107467,-124.506967
-123.645334666583,55.5294894583563,G60610,Lightning,11,G60610,Fire,2017,2017,55.529484,-123.645317
-124.619021460406,56.536340539714,G60846,Lightning,0.7,G60846,Fire,2017,2017,56.536335,-124.619003
-121.405400488948,55.3594227511952,G71760,Person,0.009,G71760,Fire,2017,2017,55.359417,-121.405383
-122.078066708778,56.9531882042059,G80176,Person,1.5,G80176,Fire,2017,2017,56.953182,-122.078049
-121.187017705338,56.6410561180967,G81706,Person,0.009,G81706,Fire,2017,2017,56.64105,-121.187
