WDIR_VECT,time,HUMIDITY,week_of_year
57.8,2021-01-08 00:00:00,95.5,2
63.8,2021-01-08 01:00:00,97.0,2
48.9,2021-01-08 02:00:00,91.9,2
54.2,2021-01-08 03:00:00,86.4,2
60.8,2021-01-08 04:00:00,81.9,2
64.2,2021-01-08 05:00:00,81.9,2
67.9,2021-01-08 06:00:00,84.8,2
64.0,2021-01-08 07:00:00,84.1,2
69.1,2021-01-08 08:00:00,81.6,2
66.5,2021-01-08 09:00:00,81.4,2
73.8,2021-01-08 10:00:00,76.6,2
95.2,2021-01-08 11:00:00,72.3,2
86.7,2021-01-08 12:00:00,68.7,2
103.4,2021-01-08 13:00:00,65.5,2
101.0,2021-01-08 14:00:00,64.1,2
87.1,2021-01-08 15:00:00,64.8,2
84.6,2021-01-08 16:00:00,68.0,2
87.4,2021-01-08 17:00:00,71.5,2
93.3,2021-01-08 18:00:00,75.3,2
64.4,2021-01-08 19:00:00,86.1,2
69.3,2021-01-08 20:00:00,86.0,2
55.0,2021-01-08 21:00:00,88.0,2
59.3,2021-01-08 22:00:00,86.6,2
70.1,2021-01-08 23:00:00,81.1,2
64.2,2021-01-09 00:00:00,82.5,2
75.0,2021-01-09 01:00:00,83.3,2
67.3,2021-01-09 02:00:00,82.0,2
89.5,2021-01-09 03:00:00,79.4,2
78.2,2021-01-09 04:00:00,79.5,2
84.8,2021-01-09 05:00:00,80.4,2
84.0,2021-01-09 06:00:00,79.4,2
69.2,2021-01-09 07:00:00,83.7,2
66.2,2021-01-09 08:00:00,86.0,2
66.6,2021-01-09 09:00:00,83.6,2
78.2,2021-01-09 10:00:00,80.7,2
67.7,2021-01-09 11:00:00,79.1,2
71.2,2021-01-09 12:00:00,76.8,2
80.7,2021-01-09 13:00:00,74.5,2
75.4,2021-01-09 14:00:00,74.6,2
87.2,2021-01-09 15:00:00,74.8,2
75.3,2021-01-09 16:00:00,77.3,2
226.6,2021-01-09 17:00:00,81.2,2
117.5,2021-01-09 18:00:00,84.0,2
113.3,2021-01-09 19:00:00,85.4,2
273.1,2021-01-09 20:00:00,87.2,2
132.3,2021-01-09 21:00:00,88.8,2
84.5,2021-01-09 22:00:00,89.1,2
97.0,2021-01-09 23:00:00,90.4,2
70.1,2021-01-10 00:00:00,90.9,2
89.5,2021-01-10 01:00:00,90.0,2
90.4,2021-01-10 02:00:00,88.0,2
64.4,2021-01-10 03:00:00,86.3,2
84.2,2021-01-10 04:00:00,89.6,2
67.8,2021-01-10 05:00:00,90.2,2
73.0,2021-01-10 06:00:00,92.8,2
73.3,2021-01-10 07:00:00,93.3,2
294.5,2021-01-10 08:00:00,91.9,2
67.7,2021-01-10 09:00:00,91.3,2
55.1,2021-01-10 10:00:00,85.9,2
63.4,2021-01-10 11:00:00,83.9,2
62.4,2021-01-10 12:00:00,80.6,2
63.0,2021-01-10 13:00:00,77.8,2
66.8,2021-01-10 14:00:00,74.5,2
89.8,2021-01-10 15:00:00,74.3,2
97.1,2021-01-10 16:00:00,77.9,2
57.8,2021-01-10 17:00:00,82.8,2
219.6,2021-01-10 18:00:00,85.0,2
71.0,2021-01-10 19:00:00,86.9,2
85.6,2021-01-10 20:00:00,88.4,2
149.8,2021-01-10 21:00:00,91.7,2
76.6,2021-01-10 22:00:00,92.2,2
143.9,2021-01-10 23:00:00,92.6,2
276.3,2021-01-11 00:00:00,93.5,2
257.6,2021-01-11 01:00:00,94.9,2
280.1,2021-01-11 02:00:00,95.9,2
138.5,2021-01-11 03:00:00,96.8,2
157.8,2021-01-11 04:00:00,97.4,2
110.6,2021-01-11 05:00:00,98.0,2
281.8,2021-01-11 06:00:00,98.1,2
164.1,2021-01-11 07:00:00,98.3,2
173.9,2021-01-11 08:00:00,98.4,2
1.0,2021-01-11 09:00:00,98.5,2
242.0,2021-01-11 10:00:00,98.1,2
257.4,2021-01-11 11:00:00,97.0,2
263.6,2021-01-11 12:00:00,96.4,2
256.1,2021-01-11 13:00:00,96.4,2
259.3,2021-01-11 14:00:00,96.9,2
287.0,2021-01-11 15:00:00,97.0,2
241.2,2021-01-11 16:00:00,97.3,2
256.6,2021-01-11 17:00:00,97.2,2
236.6,2021-01-11 18:00:00,97.2,2
169.2,2021-01-11 19:00:00,97.8,2
273.7,2021-01-11 20:00:00,98.3,2
118.8,2021-01-11 21:00:00,98.5,2
99.7,2021-01-11 22:00:00,98.6,2
101.5,2021-01-11 23:00:00,98.5,2
88.9,2021-01-12 00:00:00,98.1,2
81.3,2021-01-12 01:00:00,98.4,2
287.5,2021-01-12 02:00:00,98.6,2
80.9,2021-01-12 03:00:00,98.7,2
104.6,2021-01-12 04:00:00,98.7,2
64.3,2021-01-12 05:00:00,98.8,2
85.6,2021-01-12 06:00:00,98.9,2
84.5,2021-01-12 07:00:00,98.9,2
62.4,2021-01-12 08:00:00,98.9,2
60.2,2021-01-12 09:00:00,98.9,2
64.4,2021-01-12 10:00:00,98.8,2
85.8,2021-01-12 11:00:00,98.7,2
81.5,2021-01-12 12:00:00,98.6,2
291.0,2021-01-12 13:00:00,98.4,2
89.1,2021-01-12 14:00:00,98.3,2
70.0,2021-01-12 15:00:00,98.2,2
97.2,2021-01-12 16:00:00,98.2,2
75.6,2021-01-12 17:00:00,98.4,2
102.8,2021-01-12 18:00:00,98.6,2
94.3,2021-01-12 19:00:00,98.8,2
86.1,2021-01-12 20:00:00,98.8,2
95.8,2021-01-12 21:00:00,98.8,2
89.3,2021-01-12 22:00:00,98.8,2
91.2,2021-01-12 23:00:00,98.9,2
98.1,2021-01-13 00:00:00,98.9,2
185.7,2021-01-13 01:00:00,98.9,2
