pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 0.201,96.0, None, None,10.25,8.29,315.1, None, None, None, None, None, None, 0.0,886.0, None, None, None,2018-10-01 00:00:00, None, 1.283, None,40
None, -0.039,96.3, None, None,9.82,6.509,321.3, None, None, None, None, None, None, 0.0,886.0, None, None, None,2018-10-01 01:00:00, None, 2.726, None,40
None, 0.009,94.8, None, None,16.92,1.427,321.0, None, None, None, None, None, None, -1.0,887.0, None, None, None,2018-10-01 02:00:00, None, 0.043, None,40
None, 0.009,95.8, None, None,72.5,0.07,250.7, None, None, None, None, None, None, -1.0,887.0, None, None, None,2018-10-01 04:00:00, None, 1.842, None,40
None, -0.087,96.3, None, None,8.96,0.349,320.4, None, None, None, None, None, None, -1.0,887.0, None, None, None,2018-10-01 05:00:00, None, -0.44, None,40
None, -0.135,96.2, None, None,18.2,0.335,345.1, None, None, None, None, None, None, -1.0,887.0, None, None, None,2018-10-01 06:00:00, None, 1.519, None,40
None, -0.231,96.2, None, None,6.526,0.351,328.0, None, None, None, None, None, None, -1.0,887.0, None, None, None,2018-10-01 07:00:00, None, 1.953, None,40
None, -0.47,97.1, None, None,10.8,0.347,330.5, None, None, None, None, None, None, -1.0,887.0, None, None, None,2018-10-01 08:00:00, None, 0.924, None,40
None, -0.374,96.1, None, None,11.5,0.346,337.5, None, None, None, None, None, None, -1.0,888.0, None, None, None,2018-10-01 09:00:00, None, 3.796, None,40
None, 0.009,94.2, None, None,13.98,0.343,334.3, None, None, None, None, None, None, -1.0,888.0, None, None, None,2018-10-01 10:00:00, None, 6.778, None,40
None, 0.381,97.5, None, None,14.13,0.341,325.1, None, None, None, None, None, None, 0.0,888.0, None, None, None,2018-10-01 11:00:00, None, 3.476, None,40
None, 0.752,96.7, None, None,20.01,1.076,340.3, None, None, None, None, None, None, 0.0,888.0, None, None, None,2018-10-01 12:00:00, None, 1.171, None,40
None, 0.607,95.0, None, None,14.28,3.546,322.1, None, None, None, None, None, None, 0.0,888.0, None, None, None,2018-10-01 13:00:00, None, 1.779, None,40
