pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, None,6.581, 26.51, None, None, None, None,26.12, None,9.34,40.42, None, None, None, None, None, -11.0, None, None, None, None, None, None,2016-05-06 00:00:00, None, None, 28.74,19
None, None,6.109, 25.1, None, None, None, None,34.8, None,7.1,31.07, None, None, None, None, None, -12.0, None, None, None, None, None, None,2016-05-06 01:00:00, None, None, 28.86,19
None, None,5.803, 24.5, None, None, None, None,27.72, None,9.78,33.03, None, None, None, None, None, -13.0, None, None, None, None, None, None,2016-05-06 02:00:00, None, None, 28.91,19
None, None,5.399, 24.62, None, None, None, None,32.55, None,8.19,33.26, None, None, None, None, None, -13.0, None, None, None, None, None, None,2016-05-06 03:00:00, None, None, 29.01,19
None, None,5.494, 24.59, None, None, None, None,22.11, None,15.1,56.09, None, None, None, None, None, -13.0, None, None, None, None, None, None,2016-05-06 04:00:00, None, None, 29.09,19
None, None,5.169, 24.58, None, None, None, None,22.11, None,15.65,49.27, None, None, None, None, None, -13.0, None, None, None, None, None, None,2016-05-06 05:00:00, None, None, 28.8,19
None, None,5.419, 24.29, None, None, None, None,41.24, None,5.785,23.94, None, None, None, None, None, -13.0, None, None, None, None, None, None,2016-05-06 06:00:00, None, None, 29.65,19
None, None,6.575, 24.27, None, None, None, None,49.58, None,3.874,22.74, None, None, None, None, None, -12.0, None, None, None, None, None, None,2016-05-06 07:00:00, None, None, 28.07,19
None, None,8.21, 23.89, None, None, None, None,44.91, None,5.366,72.8, None, None, None, None, None, -11.0, None, None, None, None, None, None,2016-05-06 08:00:00, None, None, 27.65,19
None, None,9.11, 25.4, None, None, None, None,25.14, None,9.17,90.9, None, None, None, None, None, -10.0, None, None, None, None, None, None,2016-05-06 09:00:00, None, None, 28.7,19
None, None,11.35, 22.29, None, None, None, None,27.04, None,9.91,108.8, None, None, None, None, None, -9.0, None, None, None, None, None, None,2016-05-06 10:00:00, None, None, 27.43,19
None, None,13.05, 21.11, None, None, None, None,37.16, None,6.39,117.5, None, None, None, None, None, -9.0, None, None, None, None, None, None,2016-05-06 11:00:00, None, None, 27.2,19
None, None,15.57, 20.64, None, None, None, None,36.9, None,5.386,157.8, None, None, None, None, None, -7.0, None, None, None, None, None, None,2016-05-06 12:00:00, None, None, 27.37,19
None, None,18.45, 19.44, None, None, None, None,36.92, None,5.317,149.4, None, None, None, None, None, -5.0, None, None, None, None, None, None,2016-05-06 13:00:00, None, None, 23.03,19
None, None,19.39, 18.02, None, None, None, None,45.36, None,4.062,147.8, None, None, None, None, None, -5.0, None, None, None, None, None, None,2016-05-06 14:00:00, None, None, 24.79,19
None, None,20.53, 17.33, None, None, None, None,51.97, None,3.342,103.6, None, None, None, None, None, -5.0, None, None, None, None, None, None,2016-05-06 15:00:00, None, None, 24.15,19
None, None,21.35, 16.31, None, None, None, None,63.52, None,1.628,145.9, None, None, None, None, None, -5.0, None, None, None, None, None, None,2016-05-06 16:00:00, None, None, 22.34,19
None, None,20.65, 16.28, None, None, None, None,60.82, None,1.944,126.5, None, None, None, None, None, -6.0, None, None, None, None, None, None,2016-05-06 17:00:00, None, None, 24.27,19
None, None,19.62, 16.29, None, None, None, None,75.2, None,0.674,204.3, None, None, None, None, None, -7.0, None, None, None, None, None, None,2016-05-06 18:00:00, None, None, 23.63,19
None, None,18.22, 17.01, None, None, None, None,70.0, None,1.045,233.0, None, None, None, None, None, -7.0, None, None, None, None, None, None,2016-05-06 19:00:00, None, None, 23.27,19
None, None,16.11, 17.77, None, None, None, None,59.69, None,2.136,285.2, None, None, None, None, None, -8.0, None, None, None, None, None, None,2016-05-06 20:00:00, None, None, 23.21,19
None, None,14.05, 16.86, None, None, None, None,45.7, None,4.235,12.22, None, None, None, None, None, -11.0, None, None, None, None, None, None,2016-05-06 21:00:00, None, None, 21.81,19
None, None,13.55, 16.82, None, None, None, None,31.21, None,5.208,29.91, None, None, None, None, None, -11.0, None, None, None, None, None, None,2016-05-06 22:00:00, None, None, 23.34,19
None, None,12.82, 17.36, None, None, None, None,23.1, None,10.41,61.31, None, None, None, None, None, -11.0, None, None, None, None, None, None,2016-05-06 23:00:00, None, None, 20.86,19
None, None,12.4, 18.88, None, None, None, None,9.98, None,9.96,88.1, None, None, None, None, None, -11.0, None, None, None, None, None, None,2016-05-07 00:00:00, None, None, 21.55,19
None, None,12.37, 20.64, None, None, None, None,14.3, None,7.78,75.1, None, None, None, None, None, -10.0, None, None, None, None, None, None,2016-05-07 01:00:00, None, None, 22.38,19
None, None,11.61, 21.99, None, None, None, None,66.11, None,1.325,11.66, None, None, None, None, None, -9.0, None, None, None, None, None, None,2016-05-07 02:00:00, None, None, 22.62,19
None, None,11.84, 24.06, None, None, None, None,10.81, None,5.281,80.9, None, None, None, None, None, -8.0, None, None, None, None, None, None,2016-05-07 03:00:00, None, None, 22.14,19
None, None,10.87, 26.64, None, None, None, None,20.91, None,3.356,89.1, None, None, None, None, None, -8.0, None, None, None, None, None, None,2016-05-07 04:00:00, None, None, 23.47,19
None, None,9.95, 30.79, None, None, None, None,54.6, None,0.972,102.4, None, None, None, None, None, -6.0, None, None, None, None, None, None,2016-05-07 05:00:00, None, None, 23.29,19
None, None,8.76, 27.94, None, None, None, None,54.15, None,0.696,80.0, None, None, None, None, None, -9.0, None, None, None, None, None, None,2016-05-07 06:00:00, None, None, 24.06,19
None, None,11.51, 26.16, None, None, None, None,10.48, None,5.936,72.4, None, None, None, None, None, -7.0, None, None, None, None, None, None,2016-05-07 07:00:00, None, None, 21.38,19
None, None,13.38, 27.06, None, None, None, None,11.58, None,6.549,67.52, None, None, None, None, None, -5.0, None, None, None, None, None, None,2016-05-07 08:00:00, None, None, 21.57,19
None, None,14.65, 22.54, None, None, None, None,19.39, None,5.797,87.8, None, None, None, None, None, -6.0, None, None, None, None, None, None,2016-05-07 09:00:00, None, None, 21.64,19
None, None,15.91, 20.81, None, None, None, None,27.76, None,3.627,148.4, None, None, None, None, None, -6.0, None, None, None, None, None, None,2016-05-07 10:00:00, None, None, 21.05,19
None, None,17.49, 17.59, None, None, None, None,24.32, None,3.705,171.6, None, None, None, None, None, -7.0, None, None, None, None, None, None,2016-05-07 11:00:00, None, None, 21.96,19
None, None,18.33, 16.26, None, None, None, None,23.04, None,5.914,180.3, None, None, None, None, None, -8.0, None, None, None, None, None, None,2016-05-07 12:00:00, None, None, 20.53,19
None, None,18.11, 16.81, None, None, None, None,28.79, None,10.24,241.9, None, None, None, None, None, -7.0, None, None, None, None, None, None,2016-05-07 13:00:00, None, None, 18.14,19
None, None,19.79, 15.39, None, None, None, None,16.68, None,15.96,269.1, None, None, None, None, None, -7.0, None, None, None, None, None, None,2016-05-07 14:00:00, None, None, 18.39,19
None, None,20.06, 15.86, None, None, None, None,26.94, None,11.71,284.7, None, None, None, None, None, -7.0, None, None, None, None, None, None,2016-05-07 15:00:00, None, None, 16.42,19
None, None,19.71, 15.1, None, None, None, None,33.43, None,10.09,286.4, None, None, None, None, None, -8.0, None, None, None, None, None, None,2016-05-07 16:00:00, None, None, 14.04,19
None, None,18.68, 15.41, None, None, None, None,25.43, None,14.37,280.7, None, None, None, None, None, -8.0, None, None, None, None, None, None,2016-05-07 17:00:00, None, None, 14.36,19
None, None,17.67, 15.84, None, None, None, None,18.47, None,20.5,280.3, None, None, None, None, None, -9.0, None, None, None, None, None, None,2016-05-07 18:00:00, None, None, 15.07,19
None, None,16.15, 16.11, None, None, None, None,25.57, None,13.58,282.7, None, None, None, None, None, -10.0, None, None, None, None, None, None,2016-05-07 19:00:00, None, None, 12.22,19
None, None,13.68, 17.22, None, None, None, None,25.16, None,18.58,286.2, None, None, None, None, None, -11.0, None, None, None, None, None, None,2016-05-07 20:00:00, None, None, 12.96,19
None, None,12.73, 18.3, None, None, None, None,16.89, None,23.52,281.3, None, None, None, None, None, -11.0, None, None, None, None, None, None,2016-05-07 21:00:00, None, None, 12.32,19
None, None,12.31, 19.09, None, None, None, None,21.5, None,16.95,277.0, None, None, None, None, None, -11.0, None, None, None, None, None, None,2016-05-07 22:00:00, None, None, 13.61,19
None, None,11.07, 23.19, None, None, None, None,17.46, None,16.76,277.2, None, None, None, None, None, -9.0, None, None, None, None, None, None,2016-05-07 23:00:00, None, None, 13.54,19
None, None,9.2, 42.07, None, None, None, None,36.21, None,9.92,291.7, None, None, None, None, None, -3.0, None, None, None, None, None, None,2016-05-08 00:00:00, None, None, 15.49,19
