pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, -8.73, 90.2, -5.6, 90.0, -10.0, -8.7, -9.0, -10.0, 0.0, 0.0,2021-12-24 00:00:00, 44.0, 43.64,52
None, -8.1, 91.7, -5.6, 92.0, -10.0, -8.1, -9.0, -10.0, 0.0, 0.0,2021-12-24 01:00:00, 43.0, 43.47,52
None, -8.76, 91.4, -5.6, 91.0, -10.0, -8.8, -9.0, -10.0, 0.0, 0.0,2021-12-24 02:00:00, 44.0, 43.55,52
None, -8.48, 91.2, -5.6, 91.0, -9.0, -8.5, -9.0, -9.0, 0.0, 0.0,2021-12-24 03:00:00, 43.0, 43.23,52
None, -8.3, 90.2, -5.6, 90.0, -10.0, -8.3, -9.0, -10.0, 0.0, 0.0,2021-12-24 04:00:00, 43.0, 43.05,52
None, -9.13, 87.4, -5.6, 87.0, -11.0, -9.1, -9.4, -11.0, 0.0, 0.0,2021-12-24 05:00:00, 43.0, 42.81,52
None, -9.67, 86.2, -5.6, 86.0, -11.0, -9.7, -9.7, -11.0, 0.2, 0.0,2021-12-24 06:00:00, 43.0, 42.64,52
None, -9.82, 83.6, -8.9, 84.0, -12.0, -9.8, -10.0, -12.0, 0.2, 0.0,2021-12-24 07:00:00, 42.0, 42.46,52
None, -9.87, 85.6, -8.9, 86.0, -12.0, -9.9, -10.4, -12.0, 0.5, 0.0,2021-12-24 08:00:00, 42.0, 42.2,52
None, -9.3, 70.58, -8.9, 71.0, -13.0, -9.3, -10.4, -13.0, 0.0, 0.0,2021-12-24 09:00:00, 42.0, 42.1,52
None, -8.75, 68.32, -8.6, 68.0, -13.0, -8.8, -10.4, -13.0, -0.8, 0.0,2021-12-24 10:00:00, 42.0, 41.97,52
None, -7.977, 68.26, -7.5, 68.0, -12.0, -8.0, -10.4, -12.0, 0.0, 0.0,2021-12-24 11:00:00, 42.0, 41.72,52
None, -7.772, 61.67, -7.5, 62.0, -13.0, -7.8, -10.4, -13.0, 0.0, 0.0,2021-12-24 12:00:00, 42.0, 41.66,52
