air_temp,min_air_temp_snc_last_reset,time,max_air_temp_snc_last_reset,week_of_year
0.9,0.9,2021-12-24 00:00:00,3.4,52
0.6,0.6,2021-12-24 01:00:00,3.4,52
0.7,0.6,2021-12-24 02:00:00,3.4,52
0.5,0.5,2021-12-24 03:00:00,3.4,52
0.7,0.4,2021-12-24 04:00:00,3.4,52
0.5,0.4,2021-12-24 05:00:00,3.4,52
0.5,0.4,2021-12-24 06:00:00,3.4,52
0.9,0.5,2021-12-24 07:00:00,1.1,52
0.9,0.5,2021-12-24 08:00:00,1.1,52
0.6,0.5,2021-12-24 09:00:00,1.1,52
0.7,0.5,2021-12-24 10:00:00,1.1,52
1.5,0.5,2021-12-24 11:00:00,1.5,52
1.7,0.5,2021-12-24 12:00:00,2.0,52
2.0,0.5,2021-12-24 13:00:00,2.1,52
2.1,0.5,2021-12-24 14:00:00,2.2,52
1.9,0.5,2021-12-24 15:00:00,2.3,52
1.5,0.5,2021-12-24 16:00:00,2.3,52
0.9,0.5,2021-12-24 17:00:00,2.3,52
0.8,0.5,2021-12-24 18:00:00,2.3,52
1.1,0.5,2021-12-24 19:00:00,1.3,52
0.4,0.1,2021-12-24 20:00:00,1.3,52
-0.3,-0.3,2021-12-24 21:00:00,1.3,52
-0.2,-0.4,2021-12-24 22:00:00,1.3,52
-0.3,-0.4,2021-12-24 23:00:00,1.3,52
-0.6,-0.7,2021-12-25 00:00:00,1.3,52
-0.3,-0.7,2021-12-25 01:00:00,1.3,52
-0.1,-0.7,2021-12-25 02:00:00,1.3,52
-1.1,-1.2,2021-12-25 03:00:00,1.3,52
-1.3,-1.3,2021-12-25 04:00:00,1.3,52
-1.7,-1.7,2021-12-25 05:00:00,1.3,52
-1.7,-1.8,2021-12-25 06:00:00,1.3,52
-3.0,-3.2,2021-12-25 07:00:00,-1.7,52
-3.0,-3.4,2021-12-25 08:00:00,-1.7,52
-2.6,-3.4,2021-12-25 09:00:00,-1.7,52
-2.9,-3.4,2021-12-25 10:00:00,-1.7,52
-3.3,-3.4,2021-12-25 11:00:00,-1.7,52
-3.5,-3.5,2021-12-25 12:00:00,-1.7,52
-3.4,-3.9,2021-12-25 13:00:00,-1.7,52
-3.7,-3.9,2021-12-25 14:00:00,-1.7,52
-3.8,-4.0,2021-12-25 15:00:00,-1.7,52
-4.7,-4.8,2021-12-25 16:00:00,-1.7,52
-5.0,-5.0,2021-12-25 17:00:00,-1.7,52
-5.4,-5.4,2021-12-25 18:00:00,-1.7,52
-5.1,-5.6,2021-12-25 19:00:00,-5.0,52
-5.7,-5.8,2021-12-25 20:00:00,-4.8,52
-6.3,-6.4,2021-12-25 21:00:00,-4.8,52
