pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,week_of_year
0.0,4.5,4.2, 0.0, 0.0,8.1, None,2022-03-05 00:00:00, None, None,10
0.0,4.0,4.1, 0.0, 0.0,8.1, None,2022-03-05 01:00:00, None, None,10
0.0,3.3,3.2, 0.0, 0.0,8.1, None,2022-03-05 02:00:00, None, None,10
0.0,3.0,3.1, 0.0, 0.0,8.1, None,2022-03-05 03:00:00, None, None,10
0.0,3.1,2.6, 0.0, 0.0,8.1, None,2022-03-05 04:00:00, None, None,10
0.0,2.5,2.5, 0.0, 0.0,8.1, None,2022-03-05 05:00:00, None, None,10
0.0,2.8,2.3, 0.0, 0.0,8.1, None,2022-03-05 06:00:00, None, None,10
0.0,2.6,2.2, 0.0, 0.0,3.2, None,2022-03-05 07:00:00, None, None,10
0.0,4.5,2.2, 0.0, 0.0,4.4, None,2022-03-05 08:00:00, None, None,10
0.0,7.2,2.2, 0.1, 0.0,7.5, None,2022-03-05 09:00:00, None, None,10
0.0,8.6,2.2, 0.0, 0.0,8.7, None,2022-03-05 10:00:00, None, None,10
0.0,9.3,2.2, 0.0, 0.0,9.4, None,2022-03-05 11:00:00, None, None,10
0.0,10.2,2.2, 0.0, 0.0,10.3, None,2022-03-05 12:00:00, None, None,10
0.0,9.8,2.2, 0.0, 0.0,10.6, None,2022-03-05 13:00:00, None, None,10
0.0,10.5,2.2, 0.0, 0.0,10.9, None,2022-03-05 14:00:00, None, None,10
0.0,10.2,2.2, 0.0, 0.0,11.1, None,2022-03-05 15:00:00, None, None,10
0.0,10.0,2.2, 0.0, 0.0,11.1, None,2022-03-05 16:00:00, None, None,10
0.0,10.2,2.2, 0.0, 0.0,11.1, None,2022-03-05 17:00:00, None, None,10
0.0,8.6,2.2, 0.0, 0.0,11.1, None,2022-03-05 18:00:00, None, None,10
0.0,7.5,7.5, 0.0, 0.0,8.6, None,2022-03-05 19:00:00, None, None,10
0.0,6.3,6.4, 0.0, 0.0,8.6, None,2022-03-05 20:00:00, None, None,10
0.0,5.8,5.8, 0.0, 0.0,8.6, None,2022-03-05 21:00:00, None, None,10
0.0,5.3,5.0, 0.0, 0.0,8.6, None,2022-03-05 22:00:00, None, None,10
0.0,5.2,5.0, 0.0, 0.0,8.6, None,2022-03-05 23:00:00, None, None,10
0.0,4.3,4.1, 0.0, 0.0,8.6, None,2022-03-06 00:00:00, None, None,10
0.0,3.8,3.8, 0.0, 0.0,8.6, None,2022-03-06 01:00:00, None, None,10
0.0,2.8,2.9, 0.0, 0.0,8.6, None,2022-03-06 02:00:00, None, None,10
0.0,2.3,2.3, 0.0, 0.0,8.6, None,2022-03-06 03:00:00, None, None,10
0.0,2.3,2.0, 0.0, 0.0,8.6, None,2022-03-06 04:00:00, None, None,10
0.0,1.8,1.7, 0.0, 0.0,8.6, None,2022-03-06 05:00:00, None, None,10
0.0,1.8,1.5, 0.0, 0.0,8.6, None,2022-03-06 06:00:00, None, None,10
0.0,1.8,1.6, 0.0, 0.0,1.9, None,2022-03-06 07:00:00, None, None,10
0.0,4.0,1.6, 0.0, 0.0,4.0, None,2022-03-06 08:00:00, None, None,10
0.0,7.3,1.6, 0.0, 0.0,7.4, None,2022-03-06 09:00:00, None, None,10
0.0,8.0,1.6, 0.0, 0.0,8.2, None,2022-03-06 10:00:00, None, None,10
0.0,9.6,1.6, 0.0, 0.0,10.0, None,2022-03-06 11:00:00, None, None,10
0.0,10.1,1.6, 0.0, 0.0,11.0, None,2022-03-06 12:00:00, None, None,10
0.0,11.3,1.6, 0.0, 0.0,11.2, None,2022-03-06 13:00:00, None, None,10
0.0,11.1,1.6, 0.0, 0.0,12.0, None,2022-03-06 14:00:00, None, None,10
0.0,12.6,1.6, 0.0, 0.0,12.5, None,2022-03-06 15:00:00, None, None,10
0.0,10.9,1.6, 0.0, 0.0,12.6, None,2022-03-06 16:00:00, None, None,10
0.0,9.6,1.6, 0.0, 0.0,12.6, None,2022-03-06 17:00:00, None, None,10
0.0,9.0,1.6, 0.0, 0.0,12.6, None,2022-03-06 18:00:00, None, None,10
0.0,7.9,7.9, 0.0, 0.0,9.0, None,2022-03-06 19:00:00, None, None,10
0.0,6.8,6.8, 0.0, 0.0,9.0, None,2022-03-06 20:00:00, None, None,10
0.0,6.0,6.0, 0.0, 0.0,9.0, None,2022-03-06 21:00:00, None, None,10
0.0,5.3,5.3, 0.0, 0.0,9.0, None,2022-03-06 22:00:00, None, None,10
0.0,4.6,4.6, 0.0, 0.0,9.0, None,2022-03-06 23:00:00, None, None,10
0.0,4.3,3.9, 0.0, 0.0,9.0, None,2022-03-07 00:00:00, None, None,10
0.0,4.9,3.9, 0.0, 0.0,9.0, None,2022-03-07 01:00:00, None, None,10
0.0,5.0,3.9, 0.0, 0.0,9.0, None,2022-03-07 02:00:00, None, None,10
0.0,5.3,3.9, 0.0, 0.0,9.0, None,2022-03-07 03:00:00, None, None,10
0.0,5.5,3.9, 0.0, 0.0,9.0, None,2022-03-07 04:00:00, None, None,10
0.0,5.3,3.9, 0.0, 0.0,9.0, None,2022-03-07 05:00:00, None, None,10
0.0,5.6,3.9, 0.0, 0.0,9.0, None,2022-03-07 06:00:00, None, None,10
0.0,5.5,5.4, 0.0, 0.0,5.6, None,2022-03-07 07:00:00, None, None,10
0.0,5.9,5.4, 0.0, 0.0,5.9, None,2022-03-07 08:00:00, None, None,10
0.0,6.2,5.4, 0.0, 0.0,6.3, None,2022-03-07 09:00:00, None, None,10
0.0,6.0,5.4, 0.0, 0.0,6.4, None,2022-03-07 10:00:00, None, None,10
0.0,7.1,5.4, 0.0, 0.0,7.1, None,2022-03-07 11:00:00, None, None,10
