wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,snw_dpth,week_of_year
79.0, None, None, 0.0, None, 10.4, None, 5.0, None, None, None, 76.0,2021-09-17 00:00:00, None,38
75.0, None, None, 0.0, None, 9.1, None, 4.5, None, None, None, 82.0,2021-09-17 01:00:00, None,38
71.0, 76.0, 10.4, 0.0, 1.1, 8.2, 5.0, 4.4, 79.0, 0.0, 0.0, 81.0,2021-09-17 02:00:00, None,38
82.0, 82.0, 9.1, 0.0, 1.7, 5.3, 4.5, 4.0, 75.0, 0.0, 0.0, 82.0,2021-09-17 03:00:00, None,38
64.0, 81.0, 8.2, 0.0, 1.4, 6.6, 4.4, 4.2, 71.0, 0.0, 0.0, 79.0,2021-09-17 04:00:00, None,38
67.0, 82.0, 5.3, 0.0, 1.2, 6.3, 4.0, 4.3, 82.0, 0.0, 0.0, 78.0,2021-09-17 05:00:00, None,38
98.0, 79.0, 6.6, 0.0, 0.9, 8.4, 4.2, 5.0, 64.0, 0.0, 0.0, 70.0,2021-09-17 06:00:00, None,38
128.0, None, None, 0.0, None, 6.1, None, 7.1, None, None, None, 65.0,2021-09-17 07:00:00, None,38
153.0, None, None, 0.0, None, 9.9, None, 7.3, None, None, None, 62.0,2021-09-17 08:00:00, None,38
152.0, 65.0, 6.1, 0.0, 1.0, 8.6, 7.1, 7.5, 128.0, 0.0, None, 61.0,2021-09-17 09:00:00, None,38
149.0, None, None, 0.0, None, 12.2, None, 7.9, None, None, None, 57.0,2021-09-17 10:00:00, None,38
141.0, None, None, 0.0, None, 10.6, None, 6.9, None, None, None, 67.0,2021-09-17 11:00:00, None,38
133.0, None, None, 0.2, None, 11.1, None, 5.8, None, None, None, 81.0,2021-09-17 12:00:00, None,38
138.0, None, None, 1.2, None, 10.9, None, 5.4, None, None, None, 90.0,2021-09-17 13:00:00, None,38
