station_observations
time, tasmin, tasmax, pcp
2014-01-01 00:00:00, -2.7, 0.9, 3.4
2014-01-02 00:00:00, -6.5, -0.4, 10.3
2014-01-03 00:00:00, -7.9, -4.1, 5.5
2014-01-04 00:00:00, -8.2, -1.8, 0.4
2014-01-05 00:00:00, -9.9, -0.2, 1.4
2014-01-06 00:00:00, -4.3, 3.1, 1.7
2014-01-07 00:00:00, -3.5, 2.1, 1.2
2014-01-08 00:00:00, -3.5, 0.0, 3.3
2014-01-09 00:00:00, -6.5, -3.5, 2.1
2014-01-10 00:00:00, -7.8, -4.4, 1.9
2014-01-11 00:00:00, -8.3, -3.8, 19.6
2014-01-12 00:00:00, -8.2, -1.2, 0.2
2014-01-13 00:00:00, -5.6, -0.4, 12.2
2014-01-14 00:00:00, -2.8, 1.3, 7.9
2014-01-15 00:00:00, -2.9, 0.7, 6.1
2014-01-16 00:00:00, 0.0, 1.8, 5.9
2014-01-17 00:00:00, -1.7, 9.1, 1.3
2014-01-18 00:00:00, -2.5, 5.2, 2.3
2014-01-19 00:00:00, -9.2, 1.9, 0.1
2014-01-20 00:00:00, -9.6, 2.1, 0.0
2014-01-21 00:00:00, -0.6, 4.6, 2.8
2014-01-22 00:00:00, -2.3, 3.0, 0.0
2014-01-23 00:00:00, -1.7, 8.1, 0.0
2014-01-24 00:00:00, 1.6, 14.3, 1.6
2014-01-25 00:00:00, 2.9, 12.8, 1.5
2014-01-26 00:00:00, -3.7, 6.0, 2.0
2014-01-27 00:00:00, -8.2, -0.4, 1.0
2014-01-28 00:00:00, -8.4, 2.0, 0.0
2014-01-29 00:00:00, -10.1, -1.8, 5.5
2014-01-30 00:00:00, -19.5, -9.0, 1.1
2014-01-31 00:00:00, -18.7, -3.7, 0.4
2014-02-01 00:00:00, -19.2, -6.3, 0.0
2014-02-02 00:00:00, -17.6, -9.2, 0.0
2014-02-03 00:00:00, -21.5, -13.9, 0.0
2014-02-04 00:00:00, -27.0, -21.1, 1.3
2014-02-05 00:00:00, -27.9, -18.2, 2.1
2014-02-06 00:00:00, -25.0, -12.4, 9.9
2014-02-07 00:00:00, -23.7, -11.3, 0.0
2014-02-08 00:00:00, -24.1, -14.1, 0.0
2014-02-09 00:00:00, -25.2, -12.1, 4.5
2014-02-10 00:00:00, -14.3, -5.9, 1.6
2014-02-11 00:00:00, -7.7, -3.9, 2.2
2014-02-12 00:00:00, -7.1, -2.2, 5.6
2014-02-13 00:00:00, -8.2, -1.8, 0.0
2014-02-14 00:00:00, -8.1, -0.2, 4.1
2014-02-15 00:00:00, -8.8, -1.1, 4.1
2014-02-16 00:00:00, -9.3, -4.1, 3.6
2014-02-17 00:00:00, -8.1, -4.0, 0.0
2014-02-18 00:00:00, -9.9, -1.1, 5.1
2014-02-19 00:00:00, -10.7, -2.2, 0.0
2014-02-20 00:00:00, -10.5, -5.7, 2.5
2014-02-21 00:00:00, -10.9, -5.3, 0.0
2014-02-22 00:00:00, -18.4, -9.1, 6.4
2014-02-23 00:00:00, -26.4, -15.5, 4.3
2014-02-24 00:00:00, -21.7, -10.1, 0.0
2014-02-25 00:00:00, -16.1, -4.6, 1.1
2014-02-26 00:00:00, -13.9, 0.9, 8.2
2014-02-27 00:00:00, -11.4, -2.4, 0.0
2014-02-28 00:00:00, -22.1, -12.4, 0.0
2014-03-01 00:00:00, -28.8, -17.5, 6.5
2014-03-02 00:00:00, -27.9, -20.7, 4.7
2014-03-03 00:00:00, -25.0, -16.2, 0.0
2014-03-04 00:00:00, -27.3, -13.6, 0.0
2014-03-05 00:00:00, -22.6, -15.9, 6.8
2014-03-06 00:00:00, -16.9, -3.9, 0.1
