wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
35.0, 59.0, 5.3, 0.0, -0.1, 1.6, 7.4, 4.0, 85.0, 0.0, 0.0, 73.0,2020-09-09 00:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0, 66.0, 4.2, 0.0, -0.4, 0.0, 5.4, 2.9, 349.0, 0.0, 0.0, 80.0,2020-09-09 01:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
269.0, 73.0, 1.6, 0.0, -0.4, 0.0, 4.0, 2.6, 35.0, 0.0, 0.0, 84.0,2020-09-09 02:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
215.0, 80.0, 0.0, 0.0, -0.2, 3.1, 2.9, 1.4, 6.0, 0.0, 0.0, 89.0,2020-09-09 03:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
294.0, 84.0, 0.0, 0.0, 0.2, 1.8, 2.6, 1.6, 269.0, 0.0, 0.0, 81.0,2020-09-09 04:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
278.0, 89.0, 3.1, 0.0, -0.2, 2.0, 1.4, 2.3, 215.0, 0.0, 0.0, 89.0,2020-09-09 05:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
138.0, 81.0, 1.8, 0.0, -1.3, 2.3, 1.6, 4.1, 294.0, 0.0, 0.0, 83.0,2020-09-09 06:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
191.0, 89.0, 2.0, 0.0, 0.7, 2.2, 2.3, 11.8, 278.0, 0.0, 0.0, 53.0,2020-09-09 07:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
265.0, 83.0, 2.3, 0.0, 1.5, 3.8, 4.1, 16.4, 138.0, 0.0, 0.0, 37.0,2020-09-09 08:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
227.0, 53.0, 2.2, 0.0, 2.5, 5.3, 11.8, 20.2, 191.0, 0.0, 0.0, 30.0,2020-09-09 09:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0, 37.0, 3.8, 0.0, 1.7, 4.0, 16.4, 22.9, 265.0, 0.0, 0.0, 28.0,2020-09-09 10:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
301.0, 30.0, 5.3, 0.0, 2.1, 6.4, 20.2, 23.4, 227.0, 0.0, 0.0, 27.0,2020-09-09 11:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
326.0, 28.0, 4.0, 0.0, 3.4, 7.6, 22.9, 24.8, 35.0, 0.0, 0.0, 26.0,2020-09-09 12:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
343.0, 27.0, 6.4, 0.0, 3.4, 7.1, 23.4, 24.9, 301.0, 0.0, 0.0, 25.0,2020-09-09 13:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
320.0, 26.0, 7.6, 0.0, 4.0, 7.4, 24.8, 25.0, 326.0, 0.0, 0.0, 25.0,2020-09-09 14:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
336.0, 25.0, 7.1, 0.0, 3.5, 6.8, 24.9, 24.1, 343.0, 0.0, 0.0, 27.0,2020-09-09 15:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
314.0, 25.0, 7.4, 0.0, 3.6, 6.3, 25.0, 22.9, 320.0, 0.0, 0.0, 29.0,2020-09-09 16:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
340.0, 27.0, 6.8, 0.0, 3.9, 2.7, 24.1, 18.5, 336.0, 0.0, 0.0, 40.0,2020-09-09 17:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
357.0, 29.0, 6.3, 0.0, 3.9, 2.5, 22.9, 13.8, 314.0, 0.0, 0.0, 55.0,2020-09-09 18:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0, 40.0, 2.7, 0.0, 4.7, 1.6, 18.5, 10.5, 340.0, 0.0, 0.0, 67.0,2020-09-09 19:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0, 55.0, 2.5, 0.0, 4.9, 6.7, 13.8, 10.8, 357.0, 0.0, 0.0, 65.0,2020-09-09 20:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0, 67.0, 1.6, 0.0, 4.6, 4.4, 10.5, 10.6, 33.0, 0.0, 0.0, 61.0,2020-09-09 21:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
291.0, 65.0, 6.7, 0.0, 4.5, 2.3, 10.8, 8.0, 90.0, 0.0, 0.0, 72.0,2020-09-09 22:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
318.0, 61.0, 4.4, 0.0, 3.4, 4.8, 10.6, 8.7, 6.0, 0.0, 0.0, 66.0,2020-09-09 23:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
324.0, 72.0, 2.3, 0.0, 3.3, 4.4, 8.0, 7.7, 291.0, 0.0, 0.0, 69.0,2020-09-10 00:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
265.0, 66.0, 4.8, 0.0, 2.7, 2.9, 8.7, 6.0, 318.0, 0.0, 0.0, 76.0,2020-09-10 01:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
318.0, 69.0, 4.4, 0.0, 2.4, 5.1, 7.7, 5.7, 324.0, 0.0, 0.0, 72.0,2020-09-10 02:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
247.0, 76.0, 2.9, 0.0, 2.1, 3.9, 6.0, 3.5, 265.0, 0.0, 0.0, 81.0,2020-09-10 03:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
339.0, 72.0, 5.1, 0.0, 1.1, 2.2, 5.7, 4.0, 318.0, 0.0, 0.0, 86.0,2020-09-10 04:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
294.0, 81.0, 3.9, 0.0, 0.6, 2.0, 3.5, 2.4, 247.0, 0.0, 0.0, 90.0,2020-09-10 05:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
244.0, 86.0, 2.2, 0.0, 1.9, 2.5, 4.0, 6.3, 339.0, 0.0, 0.0, 85.0,2020-09-10 06:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
322.0, 90.0, 2.0, 0.0, 0.9, 1.7, 2.4, 12.3, 294.0, 0.0, 0.0, 64.0,2020-09-10 07:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
269.0, 85.0, 2.5, 0.0, 4.0, 1.6, 6.3, 19.2, 244.0, 0.0, 0.0, 37.0,2020-09-10 08:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
228.0, 64.0, 1.7, 0.0, 5.7, 2.5, 12.3, 23.0, 322.0, 0.0, 0.0, 29.0,2020-09-10 09:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
351.0, 37.0, 1.6, 0.0, 4.2, 4.5, 19.2, 24.7, 269.0, 0.0, 0.0, 25.0,2020-09-10 10:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,
