pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
334.0, 878.0, None, None,2020-05-27 00:00:00,1.1, None, None,22
333.0, 878.0, None, None,2020-05-27 01:00:00,0.6, None, None,22
333.0, 877.0, None, None,2020-05-27 02:00:00,1.2, None, None,22
333.0, 877.0, None, None,2020-05-27 03:00:00,0.2, None, None,22
334.0, 877.0, None, None,2020-05-27 04:00:00,-0.1, None, None,22
334.0, 877.0, None, None,2020-05-27 05:00:00,-0.7, None, None,22
334.0, 877.0, None, None,2020-05-27 06:00:00,-0.3, None, None,22
334.0, 877.0, None, None,2020-05-27 07:00:00,-0.7, None, None,22
334.0, 877.0, None, None,2020-05-27 08:00:00,-1.2, None, None,22
334.0, 877.0, None, None,2020-05-27 09:00:00,-1.5, None, None,22
333.0, 877.0, None, None,2020-05-27 10:00:00,-1.7, None, None,22
334.0, 877.0, None, None,2020-05-27 11:00:00,-2.7, None, None,22
334.0, 877.0, None, None,2020-05-27 12:00:00,-2.7, None, None,22
334.0, 877.0, None, None,2020-05-27 13:00:00,-0.9, None, None,22
333.0, 875.0, None, None,2020-05-27 14:00:00,1.2, None, None,22
333.0, 874.0, None, None,2020-05-27 15:00:00,1.6, None, None,22
333.0, 873.0, None, None,2020-05-27 16:00:00,2.4, None, None,22
333.0, 873.0, None, None,2020-05-27 17:00:00,4.4, None, None,22
333.0, 874.0, None, None,2020-05-27 18:00:00,5.6, None, None,22
334.0, 874.0, None, None,2020-05-27 19:00:00,5.3, None, None,22
333.0, 874.0, None, None,2020-05-27 20:00:00,4.5, None, None,22
333.0, 875.0, None, None,2020-05-27 21:00:00,4.2, None, None,22
334.0, 874.0, None, None,2020-05-27 22:00:00,6.4, None, None,22
334.0, 874.0, None, None,2020-05-27 23:00:00,6.6, None, None,22
334.0, 874.0, None, None,2020-05-28 00:00:00,6.3, None, None,22
334.0, 874.0, None, None,2020-05-28 01:00:00,7.9, None, None,22
334.0, 874.0, None, None,2020-05-28 02:00:00,5.4, None, None,22
334.0, 874.0, None, None,2020-05-28 03:00:00,2.6, None, None,22
333.0, 874.0, None, None,2020-05-28 04:00:00,2.0, None, None,22
334.0, 873.0, None, None,2020-05-28 05:00:00,1.5, None, None,22
333.0, 873.0, None, None,2020-05-28 06:00:00,1.5, None, None,22
334.0, 873.0, None, None,2020-05-28 07:00:00,1.1, None, None,22
333.0, 873.0, None, None,2020-05-28 08:00:00,1.1, None, None,22
334.0, 873.0, None, None,2020-05-28 09:00:00,1.0, None, None,22
334.0, 873.0, None, None,2020-05-28 10:00:00,0.9, None, None,22
334.0, 873.0, None, None,2020-05-28 11:00:00,0.4, None, None,22
333.0, 873.0, None, None,2020-05-28 12:00:00,0.8, None, None,22
334.0, 873.0, None, None,2020-05-28 13:00:00,2.6, None, None,22
333.0, 871.0, None, None,2020-05-28 14:00:00,4.2, None, None,22
333.0, 869.0, None, None,2020-05-28 15:00:00,6.4, None, None,22
333.0, 869.0, None, None,2020-05-28 16:00:00,6.6, None, None,22
333.0, 870.0, None, None,2020-05-28 17:00:00,7.8, None, None,22
334.0, 871.0, None, None,2020-05-28 18:00:00,6.2, None, None,22
333.0, 871.0, None, None,2020-05-28 19:00:00,7.0, None, None,22
333.0, 871.0, None, None,2020-05-28 20:00:00,8.1, None, None,22
334.0, 871.0, None, None,2020-05-28 21:00:00,6.8, None, None,22
333.0, 871.0, None, None,2020-05-28 22:00:00,8.2, None, None,22
333.0, 871.0, None, None,2020-05-28 23:00:00,5.6, None, None,22
334.0, 871.0, None, None,2020-05-29 00:00:00,6.9, None, None,22
333.0, 871.0, None, None,2020-05-29 01:00:00,6.6, None, None,22
333.0, 870.0, None, None,2020-05-29 02:00:00,5.3, None, None,22
333.0, 870.0, None, None,2020-05-29 03:00:00,5.0, None, None,22
334.0, 870.0, None, None,2020-05-29 04:00:00,3.4, None, None,22
333.0, 869.0, None, None,2020-05-29 05:00:00,3.4, None, None,22
334.0, 869.0, None, None,2020-05-29 06:00:00,2.9, None, None,22
334.0, 869.0, None, None,2020-05-29 07:00:00,3.1, None, None,22
334.0, 868.0, None, None,2020-05-29 08:00:00,4.2, None, None,22
334.0, 868.0, None, None,2020-05-29 09:00:00,4.7, None, None,22
334.0, 868.0, None, None,2020-05-29 10:00:00,4.2, None, None,22
334.0, 868.0, None, None,2020-05-29 11:00:00,3.8, None, None,22
334.0, 868.0, None, None,2020-05-29 12:00:00,4.4, None, None,22
334.0, 868.0, None, None,2020-05-29 13:00:00,6.2, None, None,22
334.0, 866.0, None, None,2020-05-29 14:00:00,11.5, None, None,22
334.0, 866.0, None, None,2020-05-29 15:00:00,10.4, None, None,22
333.0, 866.0, None, None,2020-05-29 16:00:00,11.5, None, None,22
333.0, 866.0, None, None,2020-05-29 17:00:00,10.9, None, None,22
334.0, 866.0, None, None,2020-05-29 18:00:00,11.0, None, None,22
333.0, 866.0, None, None,2020-05-29 19:00:00,11.8, None, None,22
333.0, 866.0, None, None,2020-05-29 20:00:00,12.2, None, None,22
334.0, 866.0, None, None,2020-05-29 21:00:00,12.6, None, None,22
334.0, 866.0, None, None,2020-05-29 22:00:00,14.0, None, None,22
334.0, 866.0, None, None,2020-05-29 23:00:00,11.8, None, None,22
334.0, 865.0, None, None,2020-05-30 00:00:00,11.9, None, None,22
334.0, 863.0, None, None,2020-05-30 01:00:00,10.5, None, None,22
334.0, 863.0, None, None,2020-05-30 02:00:00,9.8, None, None,22
334.0, 863.0, None, None,2020-05-30 03:00:00,8.6, None, None,22
334.0, 863.0, None, None,2020-05-30 04:00:00,8.2, None, None,22
334.0, 862.0, None, None,2020-05-30 05:00:00,7.2, None, None,22
334.0, 862.0, None, None,2020-05-30 06:00:00,7.8, None, None,22
334.0, 861.0, None, None,2020-05-30 07:00:00,7.7, None, None,22
334.0, 860.0, None, None,2020-05-30 08:00:00,7.7, None, None,22
334.0, 859.0, None, None,2020-05-30 09:00:00,7.6, None, None,22
334.0, 858.0, None, None,2020-05-30 10:00:00,7.7, None, None,22
334.0, 857.0, None, None,2020-05-30 11:00:00,7.6, None, None,22
334.0, 856.0, None, None,2020-05-30 12:00:00,7.8, None, None,22
334.0, 856.0, None, None,2020-05-30 13:00:00,10.1, None, None,22
334.0, 855.0, None, None,2020-05-30 14:00:00,10.9, None, None,22
334.0, 855.0, None, None,2020-05-30 15:00:00,11.5, None, None,22
334.0, 854.0, None, None,2020-05-30 16:00:00,13.2, None, None,22
334.0, 855.0, None, None,2020-05-30 17:00:00,12.7, None, None,22
334.0, 854.0, None, None,2020-05-30 18:00:00,14.0, None, None,22
334.0, 854.0, None, None,2020-05-30 19:00:00,11.4, None, None,22
334.0, 853.0, None, None,2020-05-30 20:00:00,11.8, None, None,22
334.0, 852.0, None, None,2020-05-30 21:00:00,13.3, None, None,22
334.0, 851.0, None, None,2020-05-30 22:00:00,14.3, None, None,22
334.0, 850.0, None, None,2020-05-30 23:00:00,13.9, None, None,22
334.0, 850.0, None, None,2020-05-31 00:00:00,11.2, None, None,22
334.0, 848.0, None, None,2020-05-31 01:00:00,12.3, None, None,22
334.0, 847.0, None, None,2020-05-31 02:00:00,11.6, None, None,22
334.0, 845.0, None, None,2020-05-31 03:00:00,10.8, None, None,22
334.0, 843.0, None, None,2020-05-31 04:00:00,10.2, None, None,22
334.0, 842.0, None, None,2020-05-31 05:00:00,10.1, None, None,22
334.0, 841.0, None, None,2020-05-31 06:00:00,10.1, None, None,22
334.0, 840.0, None, None,2020-05-31 07:00:00,10.4, None, None,22
338.0, 839.0, None, None,2020-05-31 08:00:00,7.5, None, None,22
338.0, 838.0, None, None,2020-05-31 09:00:00,6.2, None, None,22
338.0, 837.0, None, None,2020-05-31 10:00:00,6.0, None, None,22
339.0, 837.0, None, None,2020-05-31 11:00:00,6.4, None, None,22
338.0, 836.0, None, None,2020-05-31 12:00:00,6.7, None, None,22
339.0, 833.0, None, None,2020-05-31 13:00:00,6.8, None, None,22
339.0, 832.0, None, None,2020-05-31 14:00:00,8.8, None, None,22
339.0, 832.0, None, None,2020-05-31 15:00:00,8.4, None, None,22
339.0, 830.0, None, None,2020-05-31 16:00:00,7.7, None, None,22
339.0, 829.0, None, None,2020-05-31 17:00:00,7.1, None, None,22
339.0, 828.0, None, None,2020-05-31 18:00:00,7.7, None, None,22
339.0, 826.0, None, None,2020-05-31 19:00:00,6.3, None, None,22
339.0, 826.0, None, None,2020-05-31 20:00:00,6.1, None, None,22
340.0, 825.0, None, None,2020-05-31 21:00:00,5.1, None, None,22
341.0, 824.0, None, None,2020-05-31 22:00:00,5.4, None, None,22
341.0, 823.0, None, None,2020-05-31 23:00:00,5.1, None, None,22
341.0, 821.0, None, None,2020-06-01 00:00:00,5.0, None, None,22
341.0, 819.0, None, None,2020-06-01 01:00:00,3.9, None, None,22
341.0, 817.0, None, None,2020-06-01 02:00:00,3.3, None, None,22
341.0, 816.0, None, None,2020-06-01 03:00:00,2.9, None, None,22
341.0, 814.0, None, None,2020-06-01 04:00:00,2.3, None, None,22
341.0, 813.0, None, None,2020-06-01 05:00:00,2.3, None, None,22
341.0, 811.0, None, None,2020-06-01 06:00:00,1.9, None, None,22
341.0, 810.0, None, None,2020-06-01 07:00:00,1.6, None, None,22
341.0, 809.0, None, None,2020-06-01 08:00:00,1.9, None, None,22
341.0, 809.0, None, None,2020-06-01 09:00:00,1.8, None, None,22
341.0, 808.0, None, None,2020-06-01 10:00:00,1.6, None, None,22
341.0, 808.0, None, None,2020-06-01 11:00:00,1.6, None, None,22
341.0, 807.0, None, None,2020-06-01 12:00:00,1.1, None, None,22
341.0, 806.0, None, None,2020-06-01 13:00:00,2.3, None, None,22
341.0, 806.0, None, None,2020-06-01 14:00:00,4.7, None, None,22
341.0, 805.0, None, None,2020-06-01 15:00:00,3.6, None, None,22
341.0, 804.0, None, None,2020-06-01 16:00:00,4.8, None, None,22
341.0, 803.0, None, None,2020-06-01 17:00:00,5.5, None, None,22
341.0, 803.0, None, None,2020-06-01 18:00:00,4.6, None, None,22
