CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,PRECIP_DETECTOR_RATIO,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None, None, 93.9, None, None, None, 14.25, 11.57, None, 162.5, -39.0, None, -38.1, -38.3, 0.0, -39.0, None, None, -38.0, None, None, 94.0, None,2022-03-26 00:00:00, None, None, None, None,13
None, None, 93.9, None, None, None, 17.77, 9.51, None, 161.5, -39.0, None, -38.0, -38.3, 0.0, -39.0, None, None, -38.0, None, None, 94.0, None,2022-03-26 01:00:00, None, None, None, None,13
None, None, 93.9, None, None, None, 15.4, 9.79, None, 165.6, -39.0, None, -38.1, -38.3, 0.0, -39.0, None, None, -38.0, None, None, 94.0, None,2022-03-26 02:00:00, None, None, None, None,13
None, None, 93.9, None, None, None, 6.337, 11.27, None, 150.4, -39.0, None, -38.1, -38.3, 0.0, -39.0, None, None, -38.0, None, None, 94.0, None,2022-03-26 03:00:00, None, None, None, None,13
None, None, 94.0, None, None, None, 5.706, 16.44, None, 148.2, -39.0, None, -38.2, -38.3, 0.0, -39.0, None, None, -38.0, None, None, 94.0, None,2022-03-26 04:00:00, None, None, None, None,13
None, None, 94.2, None, None, None, 6.371, 18.56, None, 146.7, -39.0, None, -38.1, -38.3, 0.0, -39.0, None, None, -38.0, None, None, 94.0, None,2022-03-26 05:00:00, None, None, None, None,13
None, None, 94.2, None, None, None, 7.32, 16.81, None, 141.9, -38.0, None, -37.9, -38.3, 0.0, -38.0, None, None, -37.9, None, None, 94.0, None,2022-03-26 06:00:00, None, None, None, None,13
None, None, 94.1, None, None, None, 6.949, 14.39, None, 143.4, -38.0, None, -37.9, -38.0, 0.0, -38.0, None, None, -37.9, None, None, 94.0, None,2022-03-26 07:00:00, None, None, None, None,13
None, None, 94.1, None, None, None, 14.97, 9.58, None, 159.0, -39.0, None, -38.0, -38.0, 0.0, -39.0, None, None, -37.9, None, None, 94.0, None,2022-03-26 08:00:00, None, None, None, None,13
None, None, 93.9, None, None, None, 11.24, 10.89, None, 183.8, -39.0, None, -38.0, -38.0, 0.0, -39.0, None, None, -37.9, None, None, 94.0, None,2022-03-26 09:00:00, None, None, None, None,13
