CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -4.231, 92.8, None, None, None, None, 53.05, 0.0, 0.103, 102.9, -5.0, None, -4.2, -4.3, None, None, None, None, -1.0, None, None, 93.0, None,2022-03-26 00:00:00, 144.0, None, 144.2,13
None, -3.982, 91.1, None, None, None, None, 35.48, 0.0, 0.148, 131.5, -5.0, None, -4.0, -4.3, None, None, None, None, -1.0, None, None, 91.0, None,2022-03-26 01:00:00, 144.0, None, 143.9,13
None, -4.128, 89.7, None, None, None, None, 22.97, 0.0, 2.012, 146.8, -5.0, None, -4.1, -4.5, None, None, None, None, -1.0, None, None, 90.0, None,2022-03-26 02:00:00, 144.0, None, 143.7,13
None, -3.543, 86.6, None, None, None, None, 52.83, 0.0, 0.519, 108.2, -5.0, None, -3.5, -4.5, None, None, None, None, -1.0, None, None, 87.0, None,2022-03-26 03:00:00, 144.0, None, 143.7,13
None, -3.74, 86.7, None, None, None, None, 51.03, 0.0, 0.185, 148.9, -5.0, None, -3.7, -4.5, None, None, None, None, -1.0, None, None, 87.0, None,2022-03-26 04:00:00, 144.0, None, 143.5,13
None, -3.568, 86.3, None, None, None, None, 31.76, 0.0, 2.378, 135.5, -5.0, None, -3.6, -4.5, None, None, None, None, -1.0, None, None, 86.0, None,2022-03-26 05:00:00, 143.0, None, 143.4,13
None, -2.908, 86.2, None, None, None, None, 45.48, 0.0, 1.085, 131.0, -5.0, None, -2.9, -4.5, None, None, None, None, -1.0, None, None, 86.0, None,2022-03-26 06:00:00, 144.0, None, 143.6,13
None, -2.781, 86.1, None, None, None, None, 55.37, 0.0, 0.758, 161.8, -5.0, None, -2.8, -3.4, None, None, None, None, -2.8, None, None, 86.0, None,2022-03-26 07:00:00, 143.0, None, 143.3,13
None, -1.696, 82.7, None, None, None, None, 68.26, 0.0, 0.839, 117.7, -4.0, None, -1.7, -3.4, None, None, None, None, -1.7, None, None, 83.0, None,2022-03-26 08:00:00, 143.0, None, 143.4,13
None, -1.079, 80.9, None, None, None, None, 76.92, 0.0, 0.956, 323.8, -3.0, None, -1.1, -3.4, None, None, None, None, -1.1, None, None, 81.0, None,2022-03-26 09:00:00, 143.0, None, 143.3,13
None, -0.815, 89.0, None, None, None, None, 30.0, 0.0, 2.285, 356.5, -2.0, None, -0.8, -3.4, None, None, None, None, -0.6, None, None, 89.0, None,2022-03-26 11:00:00, 143.0, None, 142.9,13
None, 0.278, 87.4, None, None, None, None, 49.15, -3.0, 2.099, 337.7, -2.0, None, 0.3, -3.4, None, None, None, None, 0.3, None, None, 87.0, None,2022-03-26 12:00:00, 140.0, None, 140.1,13
None, 0.635, 87.9, None, None, None, None, 50.4, 2.0, 2.79, 346.0, -1.0, None, 0.6, -3.4, None, None, None, None, 0.7, None, None, 88.0, None,2022-03-26 13:00:00, 141.0, None, 141.2,13
None, 0.263, 91.0, None, None, None, None, 55.5, 4.0, 1.044, 298.6, -1.0, None, 0.3, -3.4, None, None, None, None, 0.7, None, None, 91.0, None,2022-03-26 14:00:00, 145.0, None, 144.5,13
None, -0.27, 93.1, None, None, None, None, 59.85, 1.0, 1.482, 255.6, -1.0, None, -0.3, -3.4, None, None, None, None, 0.7, None, None, 93.0, None,2022-03-26 15:00:00, 145.0, None, 145.1,13
None, -0.505, 96.5, None, None, None, None, 32.12, 1.0, 4.264, 233.7, -1.0, None, -0.5, -3.4, None, None, None, None, 0.7, None, None, 97.0, None,2022-03-26 16:00:00, 146.0, None, 146.0,13
None, -0.307, 95.8, None, None, None, None, 35.09, 0.0, 4.539, 229.0, -1.0, None, -0.3, -3.4, None, None, None, None, 0.7, None, None, 96.0, None,2022-03-26 17:00:00, 146.0, None, 145.9,13
None, 1.749, 85.1, None, None, None, None, 37.1, -1.0, 5.341, 235.2, 0.0, None, 1.7, -3.4, None, None, None, None, 1.9, None, None, 85.0, None,2022-03-26 18:00:00, 145.0, None, 145.3,13
None, -0.78, 94.9, None, None, None, None, 36.18, 0.0, 3.649, 241.0, -1.0, None, -0.8, -0.7, None, None, None, None, 1.8, None, None, 95.0, None,2022-03-26 19:00:00, 145.0, None, 145.3,13
None, -2.006, 94.5, None, None, None, None, 28.72, 0.0, 3.159, 201.2, -3.0, None, -2.0, -2.0, None, None, None, None, 1.8, None, None, 95.0, None,2022-03-26 20:00:00, 145.0, None, 145.4,13
None, -2.441, 93.7, None, None, None, None, 29.57, 0.0, 2.797, 178.3, -3.0, None, -2.4, -2.4, None, None, None, None, 1.8, None, None, 94.0, None,2022-03-26 21:00:00, 145.0, None, 145.4,13
None, -2.182, 93.6, None, None, None, None, 23.71, 0.0, 2.466, 134.6, -3.0, None, -2.2, -2.5, None, None, None, None, 1.8, None, None, 94.0, None,2022-03-26 22:00:00, 145.0, None, 145.3,13
None, -1.841, 92.4, None, None, None, None, 36.01, 0.0, 1.698, 141.0, -3.0, None, -1.8, -2.5, None, None, None, None, 1.8, None, None, 92.0, None,2022-03-26 23:00:00, 145.0, None, 145.3,13
None, -2.138, 89.6, None, None, None, None, 13.11, 0.0, 1.545, 86.2, -3.0, None, -2.1, -2.5, None, None, None, None, 1.8, None, None, 90.0, None,2022-03-27 00:00:00, 145.0, None, 145.1,13
None, -2.757, 92.6, None, None, None, None, 14.55, 0.0, 2.886, 81.1, -4.0, None, -2.8, -2.7, None, None, None, None, 1.8, None, None, 93.0, None,2022-03-27 01:00:00, 145.0, None, 145.2,13
