CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -6.763, None, None, None, None, 19.4, 48.04, 1.0, 5.318, 241.0, -6999.0, 5.3, -6.8, -6.8, None, None, None, 241.0, -6.0, None, None, -6999.0, None,2021-02-26 00:00:00, 154.0, None, 154.3,9
None, -6.959, None, None, None, None, 27.9, 52.72, 2.0, 5.843, 237.1, -6999.0, 5.8, -7.0, -7.0, None, None, None, 237.0, -6.0, None, None, -6999.0, None,2021-02-26 01:00:00, 156.0, None, 155.5,9
None, -7.203, None, None, None, None, 20.3, 52.36, -1.0, 4.511, 236.4, -6999.0, 4.5, -7.2, -7.2, None, None, None, 236.0, -6.0, None, None, -6999.0, None,2021-02-26 02:00:00, 154.0, None, 154.0,9
None, -7.398, None, None, None, None, None, 52.28, None, 4.141, 242.1, -6999.0, None, -7.4, -7.4, None, None, None, None, -6.0, None, None, -6999.0, None,2021-02-26 03:00:00, None, None, 155.6,9
None, -7.642, None, None, None, None, 16.8, 52.06, 1.0, 3.989, 234.0, -6999.0, 4.0, -7.6, -7.6, None, None, None, 234.0, -6.0, None, None, -6999.0, None,2021-02-26 04:00:00, 156.0, None, 156.1,9
None, -7.995, None, None, None, None, 16.1, 48.89, -2.0, 3.648, 239.7, -6999.0, 3.6, -8.0, -8.0, None, None, None, 240.0, -6.0, None, None, -6999.0, None,2021-02-26 05:00:00, 154.0, None, 154.2,9
None, -8.52, None, None, None, None, 12.9, 52.08, 2.0, 3.146, 239.9, -6999.0, 3.1, -8.5, -8.5, None, None, None, 240.0, -6.0, None, None, -6999.0, None,2021-02-26 06:00:00, 155.0, None, 155.3,9
None, -8.74, None, None, None, None, 21.4, 44.13, -1.0, 2.742, 247.0, -6999.0, 2.7, -8.7, -8.7, None, None, None, 247.0, -8.5, None, None, -6999.0, None,2021-02-26 07:00:00, 154.0, None, 154.2,9
None, -8.86, None, None, None, None, 16.9, 48.22, 3.0, 3.661, 248.9, -6999.0, 3.7, -8.9, -9.0, None, None, None, 249.0, -8.5, None, None, -6999.0, None,2021-02-26 08:00:00, 156.0, None, 156.3,9
None, -8.67, None, None, None, None, 19.8, 43.51, 1.0, 3.872, 244.5, -6999.0, 3.9, -8.7, -9.0, None, None, None, 245.0, -8.5, None, None, -6999.0, None,2021-02-26 09:00:00, 157.0, None, 156.8,9
