WDIR_VECT,time,TEMP_MEAN,HUMIDITY,week_of_year
328.1,2018-11-22 00:00:00,-0.9,95.1,47
209.0,2018-11-22 01:00:00,-1.1,96.6,47
346.9,2018-11-22 02:00:00,-1.4,96.9,47
234.1,2018-11-22 03:00:00,-1.9,97.4,47
230.3,2018-11-22 04:00:00,-2.5,97.8,47
169.9,2018-11-22 05:00:00,-3.0,97.8,47
157.9,2018-11-22 06:00:00,-3.5,97.7,47
12.9,2018-11-22 07:00:00,-3.6,97.5,47
336.1,2018-11-22 08:00:00,-3.8,97.1,47
349.1,2018-11-22 09:00:00,-3.8,96.8,47
17.6,2018-11-22 10:00:00,-3.0,96.2,47
323.2,2018-11-22 11:00:00,-2.1,95.5,47
54.5,2018-11-22 12:00:00,-1.2,94.2,47
150.8,2018-11-22 13:00:00,-0.2,91.2,47
155.5,2018-11-22 14:00:00,0.7,88.3,47
147.7,2018-11-22 15:00:00,1.1,87.0,47
220.4,2018-11-22 16:00:00,0.7,89.9,47
333.0,2018-11-22 17:00:00,-0.4,94.2,47
330.2,2018-11-22 18:00:00,-0.8,95.9,47
83.5,2018-11-22 19:00:00,-1.0,96.3,47
150.9,2018-11-22 20:00:00,-1.3,96.6,47
169.8,2018-11-22 21:00:00,-0.8,95.1,47
187.2,2018-11-22 22:00:00,0.9,85.1,47
274.3,2018-11-22 23:00:00,1.4,83.9,47
120.5,2018-11-23 00:00:00,1.2,83.8,47
359.8,2018-11-23 01:00:00,0.9,87.3,47
72.0,2018-11-23 02:00:00,0.7,89.7,47
175.8,2018-11-23 03:00:00,0.3,93.6,47
171.7,2018-11-23 04:00:00,0.2,95.9,47
25.6,2018-11-23 05:00:00,0.1,96.6,47
146.9,2018-11-23 06:00:00,0.1,97.0,47
85.5,2018-11-23 07:00:00,0.0,97.4,47
155.4,2018-11-23 08:00:00,0.2,97.6,47
160.0,2018-11-23 09:00:00,0.5,97.0,47
142.6,2018-11-23 10:00:00,0.7,95.9,47
155.6,2018-11-23 11:00:00,1.1,95.0,47
156.2,2018-11-23 12:00:00,1.4,94.7,47
320.6,2018-11-23 13:00:00,1.8,93.7,47
160.4,2018-11-23 14:00:00,1.8,94.4,47
148.9,2018-11-23 15:00:00,2.0,95.1,47
209.1,2018-11-23 16:00:00,2.0,95.0,47
314.2,2018-11-23 17:00:00,1.8,95.9,47
211.8,2018-11-23 18:00:00,1.5,96.6,47
228.9,2018-11-23 19:00:00,1.2,97.1,47
298.6,2018-11-23 20:00:00,1.1,97.5,47
324.9,2018-11-23 21:00:00,1.1,97.7,47
90.1,2018-11-23 22:00:00,1.0,97.9,47
191.9,2018-11-23 23:00:00,1.0,98.1,47
164.6,2018-11-24 00:00:00,0.8,98.4,47
147.5,2018-11-24 01:00:00,0.7,98.6,47
157.0,2018-11-24 02:00:00,0.6,98.7,47
154.4,2018-11-24 03:00:00,0.4,98.8,47
155.0,2018-11-24 04:00:00,0.2,98.9,47
157.4,2018-11-24 05:00:00,0.0,98.6,47
140.7,2018-11-24 06:00:00,-0.1,97.6,47
148.3,2018-11-24 07:00:00,-0.1,97.4,47
157.9,2018-11-24 08:00:00,0.0,97.3,47
200.7,2018-11-24 09:00:00,-0.2,97.3,47
141.7,2018-11-24 10:00:00,0.1,97.2,47
130.0,2018-11-24 11:00:00,0.8,94.9,47
132.7,2018-11-24 12:00:00,1.3,93.6,47
156.5,2018-11-24 13:00:00,1.8,90.8,47
155.4,2018-11-24 14:00:00,2.2,91.2,47
156.4,2018-11-24 15:00:00,2.2,90.4,47
165.5,2018-11-24 16:00:00,2.4,88.0,47
188.4,2018-11-24 17:00:00,2.9,85.0,47
197.3,2018-11-24 18:00:00,2.5,90.4,47
191.3,2018-11-24 19:00:00,2.7,90.8,47
189.3,2018-11-24 20:00:00,2.8,89.6,47
175.7,2018-11-24 21:00:00,2.9,88.4,47
193.6,2018-11-24 22:00:00,3.0,87.5,47
183.4,2018-11-24 23:00:00,2.9,88.0,47
182.4,2018-11-25 00:00:00,2.9,86.8,47
167.2,2018-11-25 01:00:00,2.6,89.1,47
169.9,2018-11-25 02:00:00,2.6,88.7,47
170.3,2018-11-25 03:00:00,2.5,89.3,47
166.9,2018-11-25 04:00:00,2.7,87.3,47
169.3,2018-11-25 05:00:00,2.4,89.2,47
174.8,2018-11-25 06:00:00,2.5,87.9,47
173.3,2018-11-25 07:00:00,3.0,85.4,47
186.0,2018-11-25 08:00:00,3.1,84.3,47
179.3,2018-11-25 09:00:00,3.2,83.5,47
163.9,2018-11-25 10:00:00,2.7,87.1,47
183.6,2018-11-25 11:00:00,3.7,81.1,47
180.0,2018-11-25 12:00:00,3.9,80.9,47
175.1,2018-11-25 13:00:00,4.5,77.3,47
172.3,2018-11-25 14:00:00,4.5,79.2,47
165.8,2018-11-25 15:00:00,4.5,80.0,47
171.3,2018-11-25 16:00:00,5.0,76.3,47
164.1,2018-11-25 17:00:00,4.7,78.3,47
187.5,2018-11-25 18:00:00,4.7,80.6,47
197.8,2018-11-25 19:00:00,4.6,83.1,47
200.9,2018-11-25 20:00:00,4.8,82.3,47
205.8,2018-11-25 21:00:00,5.1,80.2,47
203.6,2018-11-25 22:00:00,5.2,79.6,47
204.7,2018-11-25 23:00:00,5.4,78.2,47
