station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, time, avg_air_temp_pst1hr
163.3, 1.8, 0.759, 2019-01-01 00:00:00, 1.84
180.4, 2.0, 0.911, 2019-01-01 01:00:00, 2.034
142.6, 1.8, 1.583, 2019-01-01 02:00:00, 1.834
169.1, 2.1, 1.369, 2019-01-01 03:00:00, 2.101
178.7, 1.8, 1.555, 2019-01-01 04:00:00, 1.813
169.8, 1.4, 1.085, 2019-01-01 05:00:00, 1.353
148.1, 1.7, 1.182, 2019-01-01 06:00:00, 1.713
131.3, 1.7, 0.734, 2019-01-01 07:00:00, 1.727
176.4, 1.9, 0.782998, 2019-01-01 08:00:00, 1.942
189.9, 1.9, 1.356, 2019-01-01 09:00:00, 1.924
173.0, 2.3, 1.503, 2019-01-01 10:00:00, 2.256
152.0, 4.0, 1.202, 2019-01-01 11:00:00, 3.981
99.9, 4.1, 3.183, 2019-01-01 12:00:00, 4.123
104.7, 4.0, 3.404, 2019-01-01 13:00:00, 3.99
106.8, 4.3, 2.537, 2019-01-01 14:00:00, 4.281
106.5, 4.4, 2.43, 2019-01-01 15:00:00, 4.419
113.5, 4.3, 2.262, 2019-01-01 16:00:00, 4.276
109.7, 4.2, 1.994, 2019-01-01 17:00:00, 4.198
120.6, 4.1, 1.872, 2019-01-01 18:00:00, 4.129
118.7, 4.2, 1.613, 2019-01-01 19:00:00, 4.151
122.2, 4.4, 1.995, 2019-01-01 20:00:00, 4.356
123.1, 4.4, 1.898, 2019-01-01 21:00:00, 4.365
140.0, 4.3, 1.608, 2019-01-01 22:00:00, 4.253
114.6, 4.4, 2.221, 2019-01-01 23:00:00, 4.353
110.5, 4.3, 3.267, 2019-01-02 00:00:00, 4.254
112.5, 4.3, 2.487, 2019-01-02 01:00:00, 4.305
109.1, 4.4, 2.785, 2019-01-02 02:00:00, 4.38
124.5, 4.5, 2.653, 2019-01-02 03:00:00, 4.474
111.3, 4.6, 2.991, 2019-01-02 04:00:00, 4.612
111.2, 4.6, 3.916, 2019-01-02 05:00:00, 4.6
100.3, 4.5, 3.569, 2019-01-02 06:00:00, 4.49
113.9, 4.7, 4.416, 2019-01-02 07:00:00, 4.659
113.3, 4.7, 3.462, 2019-01-02 08:00:00, 4.719
111.9, 4.5, 4.161, 2019-01-02 09:00:00, 4.48
117.7, 4.7, 4.803, 2019-01-02 10:00:00, 4.691
121.9, 4.8, 5.131, 2019-01-02 11:00:00, 4.753
118.1, 4.7, 4.164, 2019-01-02 12:00:00, 4.719
111.6, 4.4, 4.273, 2019-01-02 13:00:00, 4.362
110.4, 4.1, 4.504, 2019-01-02 14:00:00, 4.066
120.2, 3.8, 3.63, 2019-01-02 15:00:00, 3.818
115.2, 3.3, 4.634, 2019-01-02 16:00:00, 3.339
115.4, 3.3, 4.099, 2019-01-02 17:00:00, 3.28
111.4, 3.7, 5.177, 2019-01-02 18:00:00, 3.733
107.7, 3.7, 5.512, 2019-01-02 19:00:00, 3.72
104.8, 3.5, 5.682, 2019-01-02 20:00:00, 3.545
105.4, 3.9, 5.557, 2019-01-02 21:00:00, 3.896
104.1, 4.2, 5.626, 2019-01-02 22:00:00, 4.218
103.7, 4.4, 5.28, 2019-01-02 23:00:00, 4.351
102.5, 4.6, 5.591, 2019-01-03 00:00:00, 4.605
100.5, 5.0, 5.076, 2019-01-03 01:00:00, 4.991
110.3, 5.7, 5.527, 2019-01-03 02:00:00, 5.67
109.7, 6.0, 6.258, 2019-01-03 03:00:00, 5.957
111.8, 6.1, 7.44, 2019-01-03 04:00:00, 6.077
117.0, 6.4, 7.43, 2019-01-03 05:00:00, 6.4
113.8, 6.7, 7.08, 2019-01-03 06:00:00, 6.727
112.9, 6.9, 7.17, 2019-01-03 07:00:00, 6.905
109.8, 7.0, 7.05, 2019-01-03 08:00:00, 7.01
109.4, 7.2, 7.49, 2019-01-03 09:00:00, 7.19
106.4, 7.5, 7.14, 2019-01-03 10:00:00, 7.48
104.6, 7.8, 6.137, 2019-01-03 11:00:00, 7.83
97.7, 8.1, 4.334, 2019-01-03 12:00:00, 8.13
111.1, 8.3, 4.266, 2019-01-03 13:00:00, 8.26
108.7, 8.2, 4.531, 2019-01-03 14:00:00, 8.23
113.0, 8.6, 4.009, 2019-01-03 15:00:00, 8.64
113.5, 8.8, 3.87, 2019-01-03 16:00:00, 8.78
117.0, 8.7, 3.151, 2019-01-03 17:00:00, 8.69
116.2, 8.3, 2.95, 2019-01-03 18:00:00, 8.29
114.5, 8.2, 4.522, 2019-01-03 19:00:00, 8.16
118.3, 8.2, 4.003, 2019-01-03 20:00:00, 8.18
131.5, 7.8, 3.564, 2019-01-03 21:00:00, 7.77
191.2, 6.6, 2.335, 2019-01-03 22:00:00, 6.565
158.1, 5.6, 2.528, 2019-01-03 23:00:00, 5.56
141.1, 4.9, 2.496, 2019-01-04 00:00:00, 4.927
171.4, 4.8, 3.0, 2019-01-04 01:00:00, 4.769
