station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, time, avg_air_temp_pst1hr
176.5, 6.5, 5.047, 2019-01-01 00:00:00, 6.491
179.6, 6.4, 4.551, 2019-01-01 01:00:00, 6.352
166.9, 6.6, 6.051, 2019-01-01 02:00:00, 6.567
167.6, 6.7, 6.012, 2019-01-01 03:00:00, 6.734
166.9, 6.8, 6.993, 2019-01-01 04:00:00, 6.829
162.5, 6.9, 7.499, 2019-01-01 05:00:00, 6.896
169.5, 7.4, 7.431, 2019-01-01 06:00:00, 7.355
152.5, 7.2, 6.943, 2019-01-01 07:00:00, 7.194
159.8, 7.4, 7.334, 2019-01-01 08:00:00, 7.401
155.3, 7.4, 7.544, 2019-01-01 09:00:00, 7.41
152.5, 7.4, 6.889, 2019-01-01 10:00:00, 7.404
145.5, 7.4, 6.909, 2019-01-01 11:00:00, 7.41
173.1, 8.2, 7.327, 2019-01-01 12:00:00, 8.24
176.2, 8.5, 6.954, 2019-01-01 13:00:00, 8.49
171.5, 8.3, 8.43, 2019-01-01 14:00:00, 8.3
178.3, 8.5, 7.92, 2019-01-01 15:00:00, 8.48
179.2, 8.8, 7.361, 2019-01-01 16:00:00, 8.79
170.2, 9.3, 9.4, 2019-01-01 17:00:00, 9.34
176.2, 9.7, 8.37, 2019-01-01 18:00:00, 9.68
176.0, 9.9, 6.627, 2019-01-01 19:00:00, 9.89
175.6, 10.1, 7.418, 2019-01-01 20:00:00, 10.13
173.2, 10.5, 8.91, 2019-01-01 21:00:00, 10.5
177.1, 10.9, 9.16, 2019-01-01 22:00:00, 10.91
177.2, 11.3, 8.96, 2019-01-01 23:00:00, 11.33
173.1, 11.0, 9.24, 2019-01-02 00:00:00, 10.97
176.1, 10.9, 8.45, 2019-01-02 01:00:00, 10.87
177.0, 10.7, 7.275, 2019-01-02 02:00:00, 10.65
176.9, 10.4, 6.187, 2019-01-02 03:00:00, 10.39
177.3, 10.0, 5.152, 2019-01-02 04:00:00, 9.98
165.5, 9.7, 5.545, 2019-01-02 05:00:00, 9.66
161.8, 9.4, 3.477, 2019-01-02 06:00:00, 9.45
160.3, 9.1, 4.024, 2019-01-02 07:00:00, 9.14
162.7, 9.0, 1.576, 2019-01-02 08:00:00, 8.96
185.2, 8.8, 1.742, 2019-01-02 09:00:00, 8.83
164.6, 8.8, 0.949998, 2019-01-02 10:00:00, 8.83
166.9, 8.8, 2.077, 2019-01-02 11:00:00, 8.78
149.0, 8.8, 3.055, 2019-01-02 12:00:00, 8.76
145.1, 8.8, 4.099, 2019-01-02 13:00:00, 8.76
163.5, 8.8, 3.177, 2019-01-02 14:00:00, 8.81
65.4, 9.1, 1.457, 2019-01-02 15:00:00, 9.07
342.8, 8.8, 1.702, 2019-01-02 16:00:00, 8.81
336.4, 8.5, 1.39, 2019-01-02 17:00:00, 8.46
344.3, 8.3, 0.968999, 2019-01-02 18:00:00, 8.33
346.0, 8.2, 1.897, 2019-01-02 19:00:00, 8.2
347.5, 8.0, 2.046, 2019-01-02 20:00:00, 7.999
347.0, 7.8, 2.363, 2019-01-02 21:00:00, 7.787
340.7, 7.4, 2.774, 2019-01-02 22:00:00, 7.382
336.4, 6.6, 3.707, 2019-01-02 23:00:00, 6.639
345.9, 6.0, 2.771, 2019-01-03 00:00:00, 6.024
346.8, 5.6, 2.84, 2019-01-03 01:00:00, 5.641
0.6, 5.0, 3.576, 2019-01-03 02:00:00, 4.998
356.5, 4.9, 3.188, 2019-01-03 03:00:00, 4.867
334.9, 5.1, 3.41, 2019-01-03 04:00:00, 5.077
332.4, 5.1, 3.528, 2019-01-03 05:00:00, 5.106
341.5, 4.7, 3.375, 2019-01-03 06:00:00, 4.69
332.3, 4.4, 4.086, 2019-01-03 07:00:00, 4.413
347.0, 4.1, 3.523, 2019-01-03 08:00:00, 4.112
356.8, 4.1, 3.747, 2019-01-03 09:00:00, 4.119
346.3, 4.2, 3.476, 2019-01-03 10:00:00, 4.246
341.6, 4.6, 3.399, 2019-01-03 11:00:00, 4.601
343.4, 4.8, 3.356, 2019-01-03 12:00:00, 4.829
337.9, 5.0, 3.269, 2019-01-03 13:00:00, 5.04
334.9, 5.2, 3.561, 2019-01-03 14:00:00, 5.219
330.6, 5.4, 3.46, 2019-01-03 15:00:00, 5.397
333.1, 5.4, 3.975, 2019-01-03 16:00:00, 5.429
331.0, 5.0, 3.291, 2019-01-03 17:00:00, 5.042
337.1, 4.6, 3.448, 2019-01-03 18:00:00, 4.635
331.7, 4.6, 3.741, 2019-01-03 19:00:00, 4.614
337.6, 4.5, 3.542, 2019-01-03 20:00:00, 4.475
347.8, 4.1, 2.715, 2019-01-03 21:00:00, 4.131
338.5, 4.1, 2.322, 2019-01-03 22:00:00, 4.053
340.5, 4.0, 2.543, 2019-01-03 23:00:00, 3.997
338.1, 4.0, 2.566, 2019-01-04 00:00:00, 4.039
334.5, 4.1, 2.808, 2019-01-04 01:00:00, 4.08
336.7, 4.1, 2.668, 2019-01-04 02:00:00, 4.131
336.3, 4.1, 2.727, 2019-01-04 03:00:00, 4.081
335.4, 4.1, 2.818, 2019-01-04 04:00:00, 4.111
330.9, 4.0, 3.159, 2019-01-04 05:00:00, 3.996
329.9, 4.1, 3.21, 2019-01-04 06:00:00, 4.056
332.3, 4.2, 3.068, 2019-01-04 07:00:00, 4.217
323.9, 4.3, 3.307, 2019-01-04 08:00:00, 4.309
342.5, 4.3, 3.02, 2019-01-04 09:00:00, 4.328
339.1, 4.4, 3.26, 2019-01-04 10:00:00, 4.36
333.5, 4.6, 3.146, 2019-01-04 11:00:00, 4.61
336.4, 4.8, 3.495, 2019-01-04 12:00:00, 4.813
346.1, 5.1, 2.763, 2019-01-04 13:00:00, 5.121
333.7, 6.2, 3.228, 2019-01-04 14:00:00, 6.172
346.2, 5.6, 1.812, 2019-01-04 15:00:00, 5.572
341.9, 5.4, 2.223, 2019-01-04 16:00:00, 5.417
337.6, 5.4, 2.422, 2019-01-04 17:00:00, 5.423
334.1, 5.5, 3.219, 2019-01-04 18:00:00, 5.493
344.8, 5.4, 2.288, 2019-01-04 19:00:00, 5.369
340.4, 4.9, 2.478, 2019-01-04 20:00:00, 4.883
341.3, 4.4, 1.953, 2019-01-04 21:00:00, 4.37
0.0, 4.2, None, 2019-01-04 22:00:00, 4.182
334.0, 4.2, None, 2019-01-04 23:00:00, 4.181
0.0, 4.1, None, 2019-01-05 00:00:00, 4.144
0.0, 4.1, None, 2019-01-05 01:00:00, 4.123
