pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
None, -1.461, 96.6, -0.2, 20.6, 25.32, 5.968, 1.776, -2.0, 6.0, -1.5, -1.4, -2.0, 0.0, 2.0, 0.0, 97.0,2020-11-25 00:00:00, -6999.0, -6999.0,48
None, -1.618, 96.2, -0.2, 17.2, 26.27, 6.788, 2.465, -2.0, 6.8, -1.6, -1.7, -2.0, 0.0, 2.0, 0.0, 96.0,2020-11-25 01:00:00, -6999.0, -6999.0,48
None, -2.024, 95.7, -0.2, 25.5, 24.94, 7.835, 5.817, -3.0, 7.8, -2.0, -2.0, -3.0, 0.0, 6.0, 0.0, 96.0,2020-11-25 02:00:00, -6999.0, -6999.0,48
None, -2.642, 94.7, -0.2, 24.1, 22.19, 9.65, 2.708, -3.0, 9.7, -2.6, -2.6, -3.0, 0.0, 3.0, 0.0, 95.0,2020-11-25 03:00:00, -6999.0, -6999.0,48
None, -3.104, 94.1, -0.2, 22.2, 20.07, 9.8, 347.9, -4.0, 9.8, -3.1, -3.1, -4.0, 0.0, 348.0, 0.0, 94.0,2020-11-25 04:00:00, -6999.0, -6999.0,48
None, -3.299, 93.2, -0.2, 22.4, 18.13, 10.87, 342.4, -4.0, 10.9, -3.3, -3.4, -4.0, 0.0, 342.0, 0.0, 93.0,2020-11-25 05:00:00, -6999.0, -6999.0,48
None, -4.755, 91.5, -0.2, 18.3, 16.73, 7.847, 336.0, -6.0, 7.8, -4.8, -4.9, -6.0, 0.0, 336.0, 0.0, 92.0,2020-11-25 06:00:00, -6999.0, -6999.0,48
None, -4.887, 91.8, -4.6, 13.1, 21.5, 5.658, 336.1, -6.0, 5.7, -4.9, -5.2, -6.0, 0.0, 336.0, 0.0, 92.0,2020-11-25 07:00:00, -6999.0, -6999.0,48
None, -3.847, 93.1, -3.9, 22.3, 25.46, 4.874, 337.0, -5.0, 4.9, -3.8, -5.5, -5.0, 0.0, 337.0, 0.0, 93.0,2020-11-25 08:00:00, -6999.0, -6999.0,48
None, -3.01, 90.2, -2.9, 24.4, 21.17, 11.0, 343.9, -4.0, 11.0, -3.0, -5.5, -4.0, 0.0, 344.0, 0.0, 90.0,2020-11-25 09:00:00, -6999.0, -6999.0,48
None, -2.442, 90.6, -2.3, 18.1, 20.41, 7.661, 354.5, -3.0, 7.7, -2.4, -5.5, -3.0, 0.0, 355.0, 0.0, 91.0,2020-11-25 10:00:00, -6999.0, -6999.0,48
None, -1.982, 89.8, -1.9, 15.9, 22.46, 5.45, 347.5, -3.0, 5.5, -2.0, -5.5, -3.0, 0.0, 348.0, 0.0, 90.0,2020-11-25 11:00:00, -6999.0, -6999.0,48
None, -0.936, 86.5, -0.9, 8.8, 40.69, 1.896, 350.9, -3.0, 1.9, -0.9, -5.5, -3.0, 0.0, 351.0, 0.0, 87.0,2020-11-25 12:00:00, -6999.0, -6999.0,48
None, -1.186, 87.0, -0.8, 11.6, 33.68, 2.446, 1.903, -3.0, 2.4, -1.2, -5.5, -3.0, 0.0, 2.0, 0.0, 87.0,2020-11-25 13:00:00, -6999.0, -6999.0,48
None, -1.34, 86.5, -0.8, 15.7, 33.04, 3.739, 9.11, -3.0, 3.7, -1.3, -5.5, -3.0, 0.0, 9.0, 0.0, 87.0,2020-11-25 14:00:00, -6999.0, -6999.0,48
None, -1.369, 85.8, -0.8, 12.5, 36.04, 3.562, 6.456, -3.0, 3.6, -1.4, -5.5, -3.0, 0.0, 6.0, 0.0, 86.0,2020-11-25 15:00:00, -6999.0, -6999.0,48
None, -1.372, 82.8, -0.8, 22.5, 33.09, 5.696, 1.939, -4.0, 5.7, -1.4, -5.5, -4.0, 0.0, 2.0, 0.0, 83.0,2020-11-25 16:00:00, -6999.0, -6999.0,48
None, -1.682, 81.4, -0.8, 10.4, 45.58, 3.168, 359.5, -4.0, 3.2, -1.7, -5.5, -4.0, 0.0, 360.0, 0.0, 81.0,2020-11-25 17:00:00, -6999.0, -6999.0,48
