station_observations
AirTemp, ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP
None, 0.0, 2019-04-12 00:00:00, -1.2, 13.8
None, 0.0, 2019-04-13 00:00:00, -3.4, 12.1
None, 3.1, 2019-04-14 00:00:00, -1.9, 10.7
None, 1.5, 2019-04-15 00:00:00, -1.5, 7.7
None, 0.0, 2019-04-16 00:00:00, -3.8, 12.2
None, 0.0, 2019-04-17 00:00:00, -0.9, 13.7
None, 0.0, 2019-04-18 00:00:00, 2.0, 14.2
None, 0.0, 2019-04-19 00:00:00, -2.0, 13.6
None, 0.0, 2019-04-20 00:00:00, -2.1, 11.7
None, 0.0, 2019-04-21 00:00:00, -4.0, 16.4
None, 0.3, 2019-04-22 00:00:00, 2.9, 15.6
None, 0.0, 2019-04-23 00:00:00, -0.3, 13.0
None, 0.0, 2019-04-24 00:00:00, -1.9, 9.7
None, 0.0, 2019-04-25 00:00:00, -4.6, 10.4
None, 0.0, 2019-04-26 00:00:00, -6.0, 10.4
None, 0.0, 2019-04-27 00:00:00, -3.0, 11.3
None, 1.0, 2019-04-28 00:00:00, -2.6, 10.6
None, 1.0, 2019-04-29 00:00:00, -3.1, 9.2
None, 0.9, 2019-04-30 00:00:00, 0.5, 5.1
None, 1.0, 2019-05-01 00:00:00, -1.6, 6.5
None, 8.0, 2019-05-02 00:00:00, -1.9, 12.1
None, 7.5, 2019-05-03 00:00:00, -3.2, 0.7
None, 0.0, 2019-05-04 00:00:00, -3.3, 3.0
None, 0.3, 2019-05-05 00:00:00, -0.6, 5.4
None, 0.4, 2019-05-06 00:00:00, 0.8, 15.1
None, 0.0, 2019-05-07 00:00:00, -1.0, 19.0
None, 0.0, 2019-05-08 00:00:00, 1.5, 20.5
None, 0.0, 2019-05-09 00:00:00, 2.5, 25.7
None, 0.0, 2019-05-10 00:00:00, 8.5, 22.0
None, 0.0, 2019-05-11 00:00:00, 5.5, 26.3
None, 0.0, 2019-05-12 00:00:00, 4.4, 19.2
None, 0.0, 2019-05-13 00:00:00, -0.3, 14.4
None, 1.1, 2019-05-14 00:00:00, -1.1, 14.7
None, 1.9, 2019-05-15 00:00:00, 6.6, 11.1
None, 2.3, 2019-05-16 00:00:00, 4.3, 11.4
None, 0.5, 2019-05-17 00:00:00, 6.7, 14.6
None, 4.8, 2019-05-18 00:00:00, 7.1, 11.3
None, 0.0, 2019-05-19 00:00:00, 6.5, 19.1
None, 0.0, 2019-05-20 00:00:00, 1.8, 22.3
None, 0.0, 2019-05-21 00:00:00, 3.2, 20.5
None, 0.4, 2019-05-22 00:00:00, 8.9, 18.2
None, 0.0, 2019-05-23 00:00:00, 8.3, 22.2
None, 0.0, 2019-05-24 00:00:00, 5.1, 21.1
None, 0.0, 2019-05-25 00:00:00, 7.1, 19.6
None, 0.0, 2019-05-26 00:00:00, 3.7, 25.1
None, 0.0, 2019-05-27 00:00:00, 5.4, 28.4
None, 0.0, 2019-05-28 00:00:00, 7.0, 30.4
None, 0.0, 2019-05-29 00:00:00, 7.8, 28.7
None, 0.0, 2019-05-30 00:00:00, 11.0, 21.9
None, 0.0, 2019-05-31 00:00:00, 8.2, 27.9
None, 6.4, 2019-07-01 00:00:00, 8.7, 17.6
None, 0.3, 2019-07-02 00:00:00, 5.7, 22.8
None, 7.9, 2019-07-03 00:00:00, 11.1, 18.2
None, 1.8, 2019-07-04 00:00:00, 8.6, 18.8
None, 0.1, 2019-07-05 00:00:00, 9.9, 20.1
None, 0.0, 2019-07-06 00:00:00, 6.9, 22.7
None, 0.0, 2019-07-07 00:00:00, 9.7, 18.8
None, 0.9, 2019-07-08 00:00:00, 9.4, 13.6
None, 0.3, 2019-07-09 00:00:00, 9.0, 14.9
None, 0.0, 2019-07-10 00:00:00, 9.2, 17.5
None, 0.0, 2019-07-11 00:00:00, 5.3, 25.1
None, 0.0, 2019-07-12 00:00:00, 8.6, 25.5
None, 0.0, 2019-07-13 00:00:00, 11.7, 23.2
None, 1.1, 2019-07-14 00:00:00, 8.8, 22.3
None, 0.0, 2019-07-15 00:00:00, 10.3, 23.7
None, 6.8, 2019-07-16 00:00:00, 8.7, 23.6
None, 1.4, 2019-07-17 00:00:00, 9.2, 18.4
None, 2.7, 2019-07-18 00:00:00, 8.2, 17.7
None, 5.4, 2019-07-19 00:00:00, 12.3, 18.9
None, 0.0, 2019-07-20 00:00:00, 9.3, 23.0
None, 0.0, 2019-07-21 00:00:00, 9.5, 24.2
None, 0.8, 2019-07-22 00:00:00, 10.5, 26.8
None, 0.0, 2019-07-23 00:00:00, 11.6, 26.1
None, 8.7, 2019-07-24 00:00:00, 13.5, 16.3
None, 0.0, 2019-07-25 00:00:00, 11.3, 22.8
None, 0.0, 2019-07-26 00:00:00, 10.8, 23.0
None, 2.5, 2019-07-27 00:00:00, 11.8, 18.8
None, 0.0, 2019-07-28 00:00:00, 10.3, 22.6
None, 0.0, 2019-07-29 00:00:00, 9.2, 21.5
None, 1.1, 2019-07-30 00:00:00, 8.1, 21.1
None, 0.8, 2019-07-31 00:00:00, 10.3, 21.2
