station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
None, None, 8.22, None, 71.3, 2017-01-01 00:00:00, None, -4.445
None, None, 7.52, None, 69.4, 2017-01-01 01:00:00, None, -4.745
None, None, 7.02, None, 65.68, 2017-01-01 02:00:00, None, -5.151
None, None, 6.227, None, 62.1, 2017-01-01 03:00:00, None, -5.497
None, None, 7.51, None, 62.29, 2017-01-01 04:00:00, None, -5.993
None, None, 8.03, None, 63.04, 2017-01-01 05:00:00, None, -6.512
None, None, 6.401, None, 62.89, 2017-01-01 06:00:00, None, -7.12
None, None, 6.043, None, 66.24, 2017-01-01 07:00:00, None, -7.7
None, None, 3.831, None, 69.28, 2017-01-01 08:00:00, None, -8.5
None, None, 3.776, None, 70.7, 2017-01-01 09:00:00, None, -9.04
None, None, 3.255, None, 69.87, 2017-01-01 10:00:00, None, -8.74
None, None, 5.048, None, 66.09, 2017-01-01 11:00:00, None, -7.89
None, None, 6.218, None, 61.93, 2017-01-01 12:00:00, None, -7.15
None, None, 6.469, None, 56.34, 2017-01-01 13:00:00, None, -6.303
None, None, 7.04, None, 54.26, 2017-01-01 14:00:00, None, -5.933
None, None, 7.15, None, 56.45, 2017-01-01 15:00:00, None, -6.05
None, None, 7.41, None, 58.37, 2017-01-01 16:00:00, None, -6.439
None, None, 5.676, None, 61.85, 2017-01-01 17:00:00, None, -7.37
None, None, 2.733, None, 65.14, 2017-01-01 18:00:00, None, -8.46
None, None, 1.499, None, 71.5, 2017-01-01 19:00:00, None, -9.59
None, None, 2.414, None, 76.0, 2017-01-01 20:00:00, None, -10.76
None, None, 0.398999, None, 85.4, 2017-01-01 21:00:00, None, -11.54
None, None, 0.698, None, 87.7, 2017-01-01 22:00:00, None, -12.52
None, None, 1.21, None, 89.5, 2017-01-01 23:00:00, None, -13.28
None, None, 0.996999, None, 90.5, 2017-01-02 00:00:00, None, -13.44
None, None, 0.833998, None, 91.9, 2017-01-02 01:00:00, None, -14.0
None, None, 1.076, None, 90.8, 2017-01-02 02:00:00, None, -14.58
None, None, 0.714999, None, 90.8, 2017-01-02 03:00:00, None, -15.09
None, None, 1.008, None, 91.7, 2017-01-02 04:00:00, None, -15.78
None, None, 0.837, None, 91.0, 2017-01-02 05:00:00, None, -16.36
None, None, 1.134, None, 89.0, 2017-01-02 06:00:00, None, -16.9
None, None, 1.071, None, 87.8, 2017-01-02 07:00:00, None, -16.69
None, None, 1.509, None, 87.0, 2017-01-02 08:00:00, None, -16.71
None, None, 0.827, None, 87.6, 2017-01-02 09:00:00, None, -16.83
None, None, 0.990998, None, 87.0, 2017-01-02 10:00:00, None, -17.08
None, None, 0.465999, None, 88.4, 2017-01-02 11:00:00, None, -16.04
None, None, 0.929, None, 90.3, 2017-01-02 12:00:00, None, -13.75
None, None, 1.401, None, 82.6, 2017-01-02 13:00:00, None, -11.85
None, None, 2.348, None, 71.7, 2017-01-02 14:00:00, None, -10.85
None, None, 3.049, None, 67.15, 2017-01-02 15:00:00, None, -10.19
None, None, 2.665, None, 65.74, 2017-01-02 16:00:00, None, -9.87
