station_observations
BAR_PRESS, TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, None, 1.502, None, 77.58, 2017-01-01 01:00:00, -13.7
None, None, 2.076, None, 78.19, 2017-01-01 02:00:00, -13.74
None, None, 1.516, None, 78.84, 2017-01-01 03:00:00, -14.08
None, None, 1.67, None, 80.0, 2017-01-01 04:00:00, -14.58
None, None, 2.332, None, 80.3, 2017-01-01 05:00:00, -14.85
None, None, 2.03, None, 80.3, 2017-01-01 06:00:00, -15.12
None, None, 2.938, None, 82.3, 2017-01-01 07:00:00, -15.45
None, None, 2.155, None, 82.0, 2017-01-01 08:00:00, -15.13
None, None, 1.272, None, 80.8, 2017-01-01 09:00:00, -15.79
None, None, 0.501, None, 82.8, 2017-01-01 10:00:00, -15.88
None, None, 0.147, None, 85.0, 2017-01-01 11:00:00, -15.22
None, None, 0.946, None, 84.9, 2017-01-01 12:00:00, -14.65
None, None, 1.097, None, 83.9, 2017-01-01 13:00:00, -15.24
None, None, 1.149, None, 82.8, 2017-01-01 14:00:00, -14.87
None, None, 1.072, None, 80.3, 2017-01-01 15:00:00, -14.04
None, None, 1.413, None, 80.2, 2017-01-01 16:00:00, -14.57
None, None, 0.79, None, 78.9, 2017-01-01 17:00:00, -15.03
None, None, 0.426, None, 81.8, 2017-01-01 18:00:00, -14.56
None, None, 0.585, None, 82.9, 2017-01-01 19:00:00, -14.01
None, None, 0.373, None, 86.3, 2017-01-01 20:00:00, -13.57
None, None, 0.21, None, 85.9, 2017-01-01 21:00:00, -13.3
None, None, 0.471, None, 85.6, 2017-01-01 22:00:00, -12.32
None, None, 1.35, None, 84.8, 2017-01-01 23:00:00, -12.13
None, None, 1.512, None, 83.8, 2017-01-02 00:00:00, -11.86
None, None, 1.627, None, 83.5, 2017-01-02 01:00:00, -11.79
None, None, 1.62, None, 82.2, 2017-01-02 02:00:00, -11.46
None, None, 1.946, None, 71.87, 2017-01-02 03:00:00, -9.45
None, None, 2.566, None, 67.92, 2017-01-02 04:00:00, -10.2
None, None, 3.106, None, 67.19, 2017-01-02 05:00:00, -10.11
None, None, 1.737, None, 70.38, 2017-01-02 06:00:00, -12.11
None, None, 1.601, None, 77.38, 2017-01-02 07:00:00, -14.57
None, None, 3.091, None, 74.3, 2017-01-02 08:00:00, -12.28
None, None, 0.889, None, 72.33, 2017-01-02 09:00:00, -12.61
None, None, 0.81, None, 73.31, 2017-01-02 10:00:00, -13.72
None, None, 0.554, None, 71.92, 2017-01-02 11:00:00, -13.35
None, None, 0.774, None, 72.69, 2017-01-02 12:00:00, -13.35
None, None, 0.299, None, 71.35, 2017-01-02 13:00:00, -12.34
None, None, 0.129, None, 68.6, 2017-01-02 14:00:00, -11.64
None, None, 0.758, None, 71.48, 2017-01-02 15:00:00, -11.43
None, None, 1.431, None, 73.73, 2017-01-02 16:00:00, -11.31
None, None, 1.459, None, 73.75, 2017-01-02 17:00:00, -12.06
None, None, 1.742, None, 74.03, 2017-01-02 18:00:00, -11.43
None, None, 1.686, None, 76.27, 2017-01-02 19:00:00, -11.08
None, None, 0.974, None, 77.45, 2017-01-02 20:00:00, -10.91
None, None, 1.028, None, 80.8, 2017-01-02 21:00:00, -10.82
None, None, 1.008, None, 82.2, 2017-01-02 22:00:00, -10.73
None, None, 0.854, None, 83.6, 2017-01-02 23:00:00, -10.64
None, None, 0.719, None, 83.4, 2017-01-03 00:00:00, -10.55
