station_observations
TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, 2.145, None, 93.2, 2017-01-01 00:00:00, -7.662
None, 1.199, None, 93.1, 2017-01-01 01:00:00, -7.58
None, 1.545, None, 93.1, 2017-01-01 02:00:00, -7.457
None, 1.072, None, 92.9, 2017-01-01 03:00:00, -7.537
None, 0.908999, None, 93.1, 2017-01-01 04:00:00, -7.416
None, 1.03, None, 93.4, 2017-01-01 05:00:00, -6.965
None, 0.958998, None, 93.5, 2017-01-01 06:00:00, -6.946
None, 0.73, None, 93.6, 2017-01-01 07:00:00, -7.109
None, 1.998, None, 93.3, 2017-01-01 08:00:00, -6.983
None, 3.82, None, 90.9, 2017-01-01 09:00:00, -7.464
None, 3.291, None, 89.5, 2017-01-01 10:00:00, -7.808
None, 3.957, None, 88.1, 2017-01-01 11:00:00, -8.25
None, 4.74, None, 86.2, 2017-01-01 12:00:00, -8.59
None, 4.825, None, 83.4, 2017-01-01 13:00:00, -8.57
None, 4.511, None, 81.2, 2017-01-01 14:00:00, -8.64
None, 3.94, None, 79.27, 2017-01-01 15:00:00, -8.6
None, 4.204, None, 74.73, 2017-01-01 16:00:00, -8.79
None, 4.216, None, 75.82, 2017-01-01 17:00:00, -8.96
None, 3.938, None, 74.12, 2017-01-01 18:00:00, -9.16
None, 3.069, None, 71.47, 2017-01-01 19:00:00, -9.33
None, 3.211, None, 70.76, 2017-01-01 20:00:00, -9.76
None, 3.11, None, 70.62, 2017-01-01 21:00:00, -10.42
None, 2.588, None, 70.23, 2017-01-01 22:00:00, -11.15
None, 3.071, None, 69.33, 2017-01-01 23:00:00, -11.68
None, 2.969, None, 67.58, 2017-01-02 00:00:00, -12.18
None, 3.017, None, 66.52, 2017-01-02 01:00:00, -12.6
None, 3.177, None, 64.43, 2017-01-02 02:00:00, -12.76
None, 3.781, None, 63.31, 2017-01-02 03:00:00, -12.95
None, 4.133, None, 64.75, 2017-01-02 04:00:00, -13.49
None, 3.887, None, 66.36, 2017-01-02 05:00:00, -13.98
None, 4.251, None, 67.88, 2017-01-02 06:00:00, -14.42
None, 3.813, None, 67.95, 2017-01-02 07:00:00, -14.68
None, 3.167, None, 70.12, 2017-01-02 08:00:00, -15.32
None, 2.679, None, 71.32, 2017-01-02 09:00:00, -15.76
None, 2.583, None, 69.55, 2017-01-02 10:00:00, -15.2
None, 2.329, None, 68.61, 2017-01-02 11:00:00, -14.7
None, 2.246, None, 65.53, 2017-01-02 12:00:00, -14.02
None, 2.311, None, 64.18, 2017-01-02 13:00:00, -13.54
None, 2.264, None, 64.21, 2017-01-02 14:00:00, -13.27
