station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, None, 2.768, 133.7, None, None, None, 1020.0, None, None, None, None, None, 66.35, None, None, -4.338, None, None, None, None, 46.25, None, None, None, None, None, 2017-01-07 19:00:00, None
None, None, None, None, 5.181, 140.5, None, None, None, 1020.0, None, None, None, None, None, 66.45, None, None, -4.675, None, None, None, None, 26.55, None, None, None, None, None, 2017-01-07 20:00:00, None
None, None, None, None, 5.643, 148.3, None, None, None, 1020.0, None, None, None, None, None, 66.21, None, None, -4.735, None, None, None, None, 37.55, None, None, None, None, None, 2017-01-07 21:00:00, None
None, None, None, None, 3.702, 145.7, None, None, None, 1020.0, None, None, None, None, None, 66.74, None, None, -5.104, None, None, None, None, 45.07, None, None, None, None, None, 2017-01-07 22:00:00, None
None, None, None, None, 2.949, 127.5, None, None, None, 1019.0, None, None, None, None, None, 66.3, None, None, -4.996, None, None, None, None, 47.05, None, None, None, None, None, 2017-01-07 23:00:00, None
None, None, None, None, 0.838, 118.1, None, None, None, 1020.0, None, None, None, None, None, 66.56, None, None, -6.653, None, None, None, None, 69.62, None, None, None, None, None, 2017-01-08 00:00:00, None
None, None, None, None, 1.672, 82.8, None, None, None, 1019.0, None, None, None, None, None, 66.16, None, None, -6.315, None, None, None, None, 50.51, None, None, None, None, None, 2017-01-08 01:00:00, None
None, None, None, None, 5.569, 145.8, None, None, None, 1019.0, None, None, None, None, None, 67.0, None, None, -4.156, None, None, None, None, 41.65, None, None, None, None, None, 2017-01-08 02:00:00, None
None, None, None, None, 10.06, 143.6, None, None, None, 1019.0, None, None, None, None, None, 66.77, None, None, -4.636, None, None, None, None, 23.52, None, None, None, None, None, 2017-01-08 03:00:00, None
None, None, None, None, 8.76, 138.8, None, None, None, 1019.0, None, None, None, None, None, 66.72, None, None, -4.618, None, None, None, None, 25.72, None, None, None, None, None, 2017-01-08 04:00:00, None
