station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, MINIMUM_AIR_TEMPERATURE, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, DEW_POINT, ATMOSPHERIC_PRESSURE, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -9.24, None, None, 2017-01-06 14:00:00, None, None, 15.5, 11.12, 76.2, None, None, None, None, None, None, 119.4
None, -9.13, None, None, 2017-01-06 15:00:00, None, None, 22.68, 9.42, 79.4, None, None, None, None, None, None, 119.2
None, -9.35, None, None, 2017-01-06 16:00:00, None, None, 20.93, 10.2, 82.4, None, None, None, None, None, None, 119.2
None, -9.3, None, None, 2017-01-06 17:00:00, None, None, 20.55, 12.12, 64.38, None, None, None, None, None, None, 119.1
None, -9.4, None, None, 2017-01-06 18:00:00, None, None, 21.62, 11.54, 70.3, None, None, None, None, None, None, 118.9
None, -9.21, None, None, 2017-01-06 19:00:00, None, None, 24.56, 9.48, 78.5, None, None, None, None, None, None, 119.2
None, -9.18, None, None, 2017-01-06 20:00:00, None, None, 15.28, 14.31, 57.26, None, None, None, None, None, None, 118.3
None, -9.29, None, None, 2017-01-06 21:00:00, None, None, 18.45, 13.2, 64.23, None, None, None, None, None, None, 118.3
None, -9.31, None, None, 2017-01-06 22:00:00, None, None, 16.12, 14.46, 58.19, None, None, None, None, None, None, 117.4
None, -9.48, None, None, 2017-01-06 23:00:00, None, None, 18.36, 13.21, 66.76, None, None, None, None, None, None, 117.5
None, -9.6, None, None, 2017-01-07 00:00:00, None, None, 19.33, 12.2, 67.88, None, None, None, None, None, None, 117.7
None, -9.83, None, None, 2017-01-07 01:00:00, None, None, 19.93, 11.1, 70.8, None, None, None, None, None, None, 117.4
None, -9.96, None, None, 2017-01-07 02:00:00, None, None, 19.06, 14.89, 54.28, None, None, None, None, None, None, 116.9
None, -10.02, None, None, 2017-01-07 03:00:00, None, None, 18.01, 14.61, 56.4, None, None, None, None, None, None, 117.0
None, -10.2, None, None, 2017-01-07 04:00:00, None, None, 16.22, 15.82, 54.23, None, None, None, None, None, None, 116.8
None, -10.59, None, None, 2017-01-07 05:00:00, None, None, 16.45, 14.8, 56.63, None, None, None, None, None, None, 116.7
None, -11.06, None, None, 2017-01-07 06:00:00, None, None, 20.86, 10.03, 81.1, None, None, None, None, None, None, 115.8
None, -11.3, None, None, 2017-01-07 07:00:00, None, None, 17.48, 10.73, 86.6, None, None, None, None, None, None, 117.8
None, -11.38, None, None, 2017-01-07 08:00:00, None, None, 16.81, 9.78, 86.1, None, None, None, None, None, None, 117.2
None, -11.75, None, None, 2017-01-07 09:00:00, None, None, 15.13, 10.45, 82.6, None, None, None, None, None, None, 117.1
None, -11.97, None, None, 2017-01-07 10:00:00, None, None, 14.28, 10.51, 78.0, None, None, None, None, None, None, 117.2
None, -12.09, None, None, 2017-01-07 11:00:00, None, None, 14.03, 10.77, 74.1, None, None, None, None, None, None, 117.1
None, -11.98, None, None, 2017-01-07 12:00:00, None, None, 14.8, 9.95, 69.63, None, None, None, None, None, None, 116.8
None, -11.85, None, None, 2017-01-07 13:00:00, None, None, 12.34, 8.08, 76.6, None, None, None, None, None, None, 116.8
None, -11.83, None, None, 2017-01-07 14:00:00, None, None, 12.87, 7.7, 71.9, None, None, None, None, None, None, 116.6
None, -12.46, None, None, 2017-01-07 15:00:00, None, None, 14.93, 8.51, 73.9, None, None, None, None, None, None, 116.7
None, -12.6, None, None, 2017-01-07 16:00:00, None, None, 14.22, 11.41, 61.37, None, None, None, None, None, None, 116.6
None, -12.64, None, None, 2017-01-07 17:00:00, None, None, 13.97, 11.41, 44.81, None, None, None, None, None, None, 116.4
None, -13.04, None, None, 2017-01-07 18:00:00, None, None, 12.74, 11.92, 47.77, None, None, None, None, None, None, 116.4
None, -12.97, None, None, 2017-01-07 19:00:00, None, None, 13.45, 11.21, 45.48, None, None, None, None, None, None, 116.4
None, -13.44, None, None, 2017-01-07 20:00:00, None, None, 13.35, 10.11, 53.92, None, None, None, None, None, None, 115.9
None, -13.08, None, None, 2017-01-07 21:00:00, None, None, 13.05, 10.41, 60.26, None, None, None, None, None, None, 116.0
None, -13.61, None, None, 2017-01-07 22:00:00, None, None, 10.44, 13.87, 62.87, None, None, None, None, None, None, 115.8
None, -13.9, None, None, 2017-01-07 23:00:00, None, None, 8.95, 12.27, 68.22, None, None, None, None, None, None, 115.8
None, -13.66, None, None, 2017-01-08 00:00:00, None, None, 7.42, 10.43, 66.22, None, None, None, None, None, None, 115.6
None, -15.23, None, None, 2017-01-08 01:00:00, None, None, 11.16, 16.13, 50.38, None, None, None, None, None, None, 115.5
None, -14.51, None, None, 2017-01-08 02:00:00, None, None, 12.54, 13.02, 48.0, None, None, None, None, None, None, 114.9
None, -14.56, None, None, 2017-01-08 03:00:00, None, None, 12.4, 13.61, 53.79, None, None, None, None, None, None, 115.4
None, -16.23, None, None, 2017-01-08 04:00:00, None, None, 10.06, 16.78, 55.6, None, None, None, None, None, None, 115.2
None, -15.87, None, None, 2017-01-08 05:00:00, None, None, 8.55, 16.66, 51.54, None, None, None, None, None, None, 115.1
None, -16.55, None, None, 2017-01-08 06:00:00, None, None, 6.796, 15.45, 51.42, None, None, None, None, None, None, 115.0
None, -17.61, None, None, 2017-01-08 07:00:00, None, None, 7.29, 18.38, 49.72, None, None, None, None, None, None, 114.9
None, -18.24, None, None, 2017-01-08 08:00:00, None, None, 8.51, 18.67, 53.68, None, None, None, None, None, None, 114.8
None, -18.06, None, None, 2017-01-08 09:00:00, None, None, 6.94, 19.08, 48.5, None, None, None, None, None, None, 114.7
None, -16.55, None, None, 2017-01-08 10:00:00, None, None, 6.967, 18.32, 50.28, None, None, None, None, None, None, 114.3
None, -16.2, None, None, 2017-01-08 11:00:00, None, None, 8.79, 19.13, 54.03, None, None, None, None, None, None, 114.2
None, -16.81, None, None, 2017-01-08 12:00:00, None, None, 9.74, 19.12, 57.17, None, None, None, None, None, None, 114.2
None, -15.28, None, None, 2017-01-08 13:00:00, None, None, 10.29, 17.89, 56.74, None, None, None, None, None, None, 114.1
None, -15.69, None, None, 2017-01-08 14:00:00, None, None, 8.23, 17.53, 54.79, None, None, None, None, None, None, 114.1
None, -16.98, None, None, 2017-01-08 15:00:00, None, None, 7.9, 17.87, 52.08, None, None, None, None, None, None, 114.3
None, -11.8, None, None, 2017-01-08 16:00:00, None, None, 13.78, 10.82, 54.26, None, None, None, None, None, None, 114.7
None, -12.03, None, None, 2017-01-08 17:00:00, None, None, 13.35, 9.0, 53.99, None, None, None, None, None, None, 113.4
None, -15.63, None, None, 2017-01-08 18:00:00, None, None, 12.72, 12.98, 52.31, None, None, None, None, None, None, 114.2
None, -14.77, None, None, 2017-01-08 19:00:00, None, None, 17.73, 14.23, 49.7, None, None, None, None, None, None, 113.9
None, -14.31, None, None, 2017-01-08 20:00:00, None, None, 23.21, 9.9, 63.6, None, None, None, None, None, None, 113.6
None, -14.15, None, None, 2017-01-08 21:00:00, None, None, 23.81, 7.66, 68.03, None, None, None, None, None, None, 113.9
None, -12.88, None, None, 2017-01-08 22:00:00, None, None, 23.91, 8.69, 95.0, None, None, None, None, None, None, 114.1
None, -11.92, None, None, 2017-01-08 23:00:00, None, None, 25.75, 14.75, 62.81, None, None, None, None, None, None, 113.1
None, -12.56, None, None, 2017-01-09 00:00:00, None, None, 20.37, 9.93, 76.7, None, None, None, None, None, None, 113.2
None, -13.37, None, None, 2017-01-09 01:00:00, None, None, 23.98, 9.35, 75.7, None, None, None, None, None, None, 113.1
None, -13.02, None, None, 2017-01-09 02:00:00, None, None, 24.93, 10.02, 85.5, None, None, None, None, None, None, 113.4
None, -13.16, None, None, 2017-01-09 03:00:00, None, None, 21.85, 11.91, 82.5, None, None, None, None, None, None, 113.0
None, -12.42, None, None, 2017-01-09 06:00:00, None, None, 19.18, 17.2, 66.75, None, None, None, None, None, None, 111.0
None, -12.45, None, None, 2017-01-09 07:00:00, None, None, 18.46, 18.81, 63.09, None, None, None, None, None, None, 110.9
None, -12.17, None, None, 2017-01-09 08:00:00, None, None, 17.6, 17.72, 58.37, None, None, None, None, None, None, 109.8
None, -12.15, None, None, 2017-01-09 09:00:00, None, None, 18.54, 18.59, 64.04, None, None, None, None, None, None, 109.6
None, -11.14, None, None, 2017-01-09 10:00:00, None, None, 18.15, 16.83, 66.47, None, None, None, None, None, None, 108.9
None, -10.0, None, None, 2017-01-09 11:00:00, None, None, 22.17, 12.26, 72.1, None, None, None, None, None, None, 109.0
None, -9.93, None, None, 2017-01-09 12:00:00, None, None, 31.73, 9.86, 75.9, None, None, None, None, None, None, 108.3
None, -9.28, None, None, 2017-01-09 13:00:00, None, None, 25.86, 11.98, 80.2, None, None, None, None, None, None, 108.4
None, -9.62, None, None, 2017-01-09 14:00:00, None, None, 32.93, 5.481, 104.7, None, None, None, None, None, None, 108.2
None, -11.74, None, None, 2017-01-09 15:00:00, None, None, 27.29, 9.33, 71.6, None, None, None, None, None, None, 108.6
None, -12.31, None, None, 2017-01-09 16:00:00, None, None, 18.85, 9.78, 61.04, None, None, None, None, None, None, 108.8
None, -12.65, None, None, 2017-01-09 17:00:00, None, None, 23.09, 6.809, 55.59, None, None, None, None, None, None, 108.6
None, -13.08, None, None, 2017-01-09 18:00:00, None, None, 19.66, 7.5, 41.76, None, None, None, None, None, None, 108.2
