station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, MEASURED_WIND_DIRECTION1, MEASURED_WIND_SPEED1, air_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, dwpt_temp, time
-20.27, None, None, None, None, 13.84, None, 275.1, 15.12, None, None, None, None, None, 2017-01-10 08:00:00
-20.66, None, None, None, None, 13.46, None, 272.4, 13.33, None, None, None, None, None, 2017-01-10 09:00:00
-20.62, None, None, None, None, 26.06, None, 308.0, 10.14, None, None, None, None, None, 2017-01-10 10:00:00
-20.54, None, None, None, None, 15.49, None, 303.9, 12.89, None, None, None, None, None, 2017-01-10 11:00:00
-20.35, None, None, None, None, 13.3, None, 294.6, 19.89, None, None, None, None, None, 2017-01-10 12:00:00
-22.68, None, None, None, None, 25.62, None, 353.6, 16.04, None, None, None, None, None, 2017-01-10 16:00:00
-23.28, None, None, None, None, 18.96, None, 15.23, 19.98, None, None, None, None, None, 2017-01-10 17:00:00
-23.31, None, None, None, None, 37.88, None, 44.64, 7.75, None, None, None, None, None, 2017-01-10 18:00:00
-21.89, None, None, None, None, 37.12, None, 76.7, 4.548, None, None, None, None, None, 2017-01-10 19:00:00
-20.82, None, None, None, None, 30.93, None, 63.03, 3.011, None, None, None, None, None, 2017-01-10 22:00:00
-20.72, None, None, None, None, 15.18, None, 78.4, 4.06, None, None, None, None, None, 2017-01-10 23:00:00
-20.29, None, None, None, None, 27.04, None, 312.6, 2.505, None, None, None, None, None, 2017-01-11 00:00:00
-21.36, None, None, None, None, 19.11, None, 4.556, 13.74, None, None, None, None, None, 2017-01-11 02:00:00
-20.2, None, None, None, None, 6.666, None, 10.16, 24.08, None, None, None, None, None, 2017-01-11 04:00:00
-19.24, None, None, None, None, 12.69, None, 15.39, 27.02, None, None, None, None, None, 2017-01-11 06:00:00
-18.66, None, None, None, None, 39.16, None, 49.65, 10.49, None, None, None, None, None, 2017-01-11 07:00:00
-17.75, None, None, None, None, 15.0, None, 10.16, 23.72, None, None, None, None, None, 2017-01-11 08:00:00
