station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, None, -4.564, 34.27, None, None, None, None, 20.62, None, 11.74, 126.8, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-06 14:00:00, None, None, 110.2
None, None, -5.299, 32.49, None, None, None, None, 15.2, None, 12.42, 144.1, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-06 15:00:00, None, None, 110.5
None, None, -7.23, 33.16, None, None, None, None, 19.17, None, 9.36, 118.4, None, None, None, None, None, -19.0, None, None, None, None, None, None, 2017-01-06 16:00:00, None, None, 110.5
None, None, -7.9, 33.54, None, None, None, None, 16.43, None, 9.43, 108.9, None, None, None, None, None, -20.0, None, None, None, None, None, None, 2017-01-06 17:00:00, None, None, 110.6
None, None, -8.48, 39.21, None, None, None, None, 16.26, None, 8.77, 130.0, None, None, None, None, None, -19.0, None, None, None, None, None, None, 2017-01-06 18:00:00, None, None, 111.4
None, None, -8.35, 46.83, None, None, None, None, 12.08, None, 9.12, 87.5, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-06 19:00:00, None, None, 110.4
None, None, -8.49, 46.53, None, None, None, None, 6.317, None, 16.39, 84.2, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-06 20:00:00, None, None, 111.0
None, None, -8.38, 43.54, None, None, None, None, 8.51, None, 20.67, 84.9, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-06 21:00:00, None, None, 110.7
None, None, -8.86, 44.27, None, None, None, None, 7.87, None, 19.43, 89.8, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-06 22:00:00, None, None, 110.5
None, None, -9.0, 44.31, None, None, None, None, 6.186, None, 21.28, 82.0, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-06 23:00:00, None, None, 109.9
None, None, -9.23, 47.02, None, None, None, None, 4.547, None, 26.65, 86.9, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-07 00:00:00, None, None, 109.9
None, None, -9.63, 50.96, None, None, None, None, 5.016, None, 29.57, 84.9, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-07 01:00:00, None, None, 109.5
None, None, -9.14, 48.15, None, None, None, None, 4.783, None, 30.45, 88.4, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-07 02:00:00, None, None, 108.7
None, None, -9.57, 48.12, None, None, None, None, 5.364, None, 30.95, 84.5, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-07 03:00:00, None, None, 108.3
None, None, -9.96, 49.93, None, None, None, None, 7.53, None, 33.12, 81.8, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-07 04:00:00, None, None, 108.3
None, None, -10.45, 51.52, None, None, None, None, 5.694, None, 30.89, 86.7, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-07 05:00:00, None, None, 108.2
None, None, -10.6, 47.87, None, None, None, None, 5.766, None, 33.68, 86.3, None, None, None, None, None, -19.0, None, None, None, None, None, None, 2017-01-07 06:00:00, None, None, 108.2
None, None, -10.9, 44.86, None, None, None, None, 5.954, None, 34.02, 87.8, None, None, None, None, None, -20.0, None, None, None, None, None, None, 2017-01-07 07:00:00, None, None, 108.0
None, None, -10.92, 43.22, None, None, None, None, 7.09, None, 31.94, 90.2, None, None, None, None, None, -20.0, None, None, None, None, None, None, 2017-01-07 08:00:00, None, None, 107.8
None, None, -11.26, 47.67, None, None, None, None, 4.725, None, 32.92, 86.6, None, None, None, None, None, -19.0, None, None, None, None, None, None, 2017-01-07 09:00:00, None, None, 107.8
None, None, -10.61, 45.03, None, None, None, None, 5.882, None, 31.74, 88.2, None, None, None, None, None, -19.0, None, None, None, None, None, None, 2017-01-07 10:00:00, None, None, 107.9
None, None, -9.6, 44.39, None, None, None, None, 7.11, None, 29.59, 89.1, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-07 11:00:00, None, None, 107.8
None, None, -8.94, 42.63, None, None, None, None, 7.59, None, 25.86, 89.6, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-07 12:00:00, None, None, 107.7
None, None, -9.53, 45.73, None, None, None, None, 8.17, None, 26.17, 90.0, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-07 13:00:00, None, None, 107.9
None, None, -9.57, 50.1, None, None, None, None, 5.567, None, 26.94, 90.5, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-07 14:00:00, None, None, 108.1
None, None, -8.93, 48.06, None, None, None, None, 4.617, None, 28.17, 91.9, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-07 15:00:00, None, None, 108.2
None, None, -9.25, 51.06, None, None, None, None, 5.197, None, 26.84, 86.4, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-07 16:00:00, None, None, 108.3
None, None, -9.31, 51.88, None, None, None, None, 3.5, None, 23.89, 84.7, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-07 17:00:00, None, None, 108.3
None, None, -9.36, 52.25, None, None, None, None, 5.743, None, 22.26, 78.9, None, None, None, None, None, -16.0, None, None, None, None, None, None, 2017-01-07 18:00:00, None, None, 108.2
None, None, -9.88, 53.02, None, None, None, None, 6.268, None, 24.23, 85.5, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-07 19:00:00, None, None, 108.3
None, None, -9.63, 53.15, None, None, None, None, 4.168, None, 24.19, 83.9, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-07 20:00:00, None, None, 108.2
None, None, -9.85, 56.8, None, None, None, None, 4.284, None, 25.71, 81.6, None, None, None, None, None, -16.0, None, None, None, None, None, None, 2017-01-07 21:00:00, None, None, 108.3
None, None, -9.98, 74.3, None, None, None, None, 6.723, None, 20.25, 78.8, None, None, None, None, None, -13.0, None, None, None, None, None, None, 2017-01-07 22:00:00, None, None, 108.2
None, None, -9.65, 74.2, None, None, None, None, 4.015, None, 16.65, 82.1, None, None, None, None, None, -13.0, None, None, None, None, None, None, 2017-01-07 23:00:00, None, None, 108.1
None, None, -9.68, 74.7, None, None, None, None, 17.04, None, 12.84, 97.3, None, None, None, None, None, -13.0, None, None, None, None, None, None, 2017-01-08 00:00:00, None, None, 108.0
None, None, -9.43, 74.9, None, None, None, None, 10.23, None, 12.8, 93.6, None, None, None, None, None, -13.0, None, None, None, None, None, None, 2017-01-08 01:00:00, None, None, 107.9
None, None, -8.91, 74.3, None, None, None, None, 5.142, None, 17.58, 79.9, None, None, None, None, None, -12.0, None, None, None, None, None, None, 2017-01-08 02:00:00, None, None, 107.9
None, None, -9.41, 73.9, None, None, None, None, 6.193, None, 21.46, 82.8, None, None, None, None, None, -13.0, None, None, None, None, None, None, 2017-01-08 03:00:00, None, None, 107.6
None, None, -7.89, 73.5, None, None, None, None, 5.317, None, 21.86, 79.7, None, None, None, None, None, -11.0, None, None, None, None, None, None, 2017-01-08 04:00:00, None, None, 107.7
None, None, -7.55, 73.5, None, None, None, None, 7.8, None, 25.61, 76.8, None, None, None, None, None, -11.0, None, None, None, None, None, None, 2017-01-08 05:00:00, None, None, 107.3
None, None, -6.897, 72.8, None, None, None, None, 7.42, None, 25.65, 83.2, None, None, None, None, None, -11.0, None, None, None, None, None, None, 2017-01-08 06:00:00, None, None, 107.2
None, None, -7.58, 73.9, None, None, None, None, 7.19, None, 31.2, 80.5, None, None, None, None, None, -11.0, None, None, None, None, None, None, 2017-01-08 07:00:00, None, None, 107.2
None, None, -6.526, 72.9, None, None, None, None, 7.35, None, 33.41, 81.2, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2017-01-08 08:00:00, None, None, 106.9
None, None, -6.475, 73.4, None, None, None, None, 8.59, None, 31.37, 83.1, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2017-01-08 09:00:00, None, None, 106.8
None, None, -5.064, 73.4, None, None, None, None, 5.489, None, 34.78, 85.0, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2017-01-08 10:00:00, None, None, 107.0
None, None, -5.017, 73.0, None, None, None, None, 5.084, None, 35.27, 85.5, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2017-01-08 11:00:00, None, None, 107.1
None, None, -3.643, 71.1, None, None, None, None, 5.631, None, 36.24, 90.1, None, None, None, None, None, -8.0, None, None, None, None, None, None, 2017-01-08 12:00:00, None, None, 106.5
None, None, -3.921, 72.4, None, None, None, None, 5.312, None, 34.43, 85.5, None, None, None, None, None, -8.0, None, None, None, None, None, None, 2017-01-08 13:00:00, None, None, 106.6
None, None, -4.7, 83.6, None, None, None, None, 6.38, None, 28.62, 86.6, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2017-01-08 14:00:00, None, None, 106.1
None, None, -5.98, 95.0, None, None, None, None, 7.6, None, 24.21, 80.6, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2017-01-08 15:00:00, None, None, 107.2
None, None, -6.851, 93.3, None, None, None, None, 8.1, None, 25.7, 76.5, None, None, None, None, None, -8.0, None, None, None, None, None, None, 2017-01-08 16:00:00, None, None, 108.8
None, None, -5.309, 96.9, None, None, None, None, 8.06, None, 31.24, 78.3, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2017-01-08 17:00:00, None, None, 109.7
None, None, -6.058, 95.0, None, None, None, None, 6.06, None, 33.69, 86.0, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2017-01-08 18:00:00, None, None, 109.5
None, None, -6.371, 94.1, None, None, None, None, 7.61, None, 26.49, 84.6, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2017-01-08 19:00:00, None, None, 109.9
None, None, -5.805, 95.6, None, None, None, None, 7.57, None, 19.98, 76.9, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2017-01-08 20:00:00, None, None, 110.6
None, None, -5.059, 97.1, None, None, None, None, 16.78, None, 12.77, 71.1, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2017-01-08 21:00:00, None, None, 111.3
None, None, -4.124, 99.1, None, None, None, None, 37.3, None, 7.15, 172.9, None, None, None, None, None, -4.0, None, None, None, None, None, None, 2017-01-08 22:00:00, None, None, 111.6
None, None, -3.165, 100.7, None, None, None, None, 12.95, None, 14.26, 188.1, None, None, None, None, None, -3.0, None, None, None, None, None, None, 2017-01-08 23:00:00, None, None, 111.4
None, None, -3.298, 101.1, None, None, None, None, 19.63, None, 13.6, 176.6, None, None, None, None, None, -3.0, None, None, None, None, None, None, 2017-01-09 00:00:00, None, None, 111.0
None, None, -2.629, 102.0, None, None, None, None, 20.45, None, 20.18, 172.4, None, None, None, None, None, -3.0, None, None, None, None, None, None, 2017-01-09 01:00:00, None, None, 110.8
None, None, -2.676, 101.6, None, None, None, None, 18.14, None, 24.05, 194.0, None, None, None, None, None, -3.0, None, None, None, None, None, None, 2017-01-09 02:00:00, None, None, 111.4
None, None, -2.905, 91.3, None, None, None, None, 18.94, None, 20.07, 199.8, None, None, None, None, None, -4.0, None, None, None, None, None, None, 2017-01-09 03:00:00, None, None, 108.3
None, None, -3.555, 97.0, None, None, None, None, 16.28, None, 19.16, 191.6, None, None, None, None, None, -4.0, None, None, None, None, None, None, 2017-01-09 04:00:00, None, None, 111.9
None, None, -4.082, 77.1, None, None, None, None, 23.53, None, 20.41, 201.3, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2017-01-09 05:00:00, None, None, 112.0
None, None, -5.56, 92.5, None, None, None, None, 35.87, None, 17.28, 214.7, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2017-01-09 06:00:00, None, None, 111.8
None, None, -6.379, 93.0, None, None, None, None, 27.33, None, 14.94, 288.1, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2017-01-09 07:00:00, None, None, 115.4
None, None, -6.556, 76.8, None, None, None, None, 32.65, None, 13.17, 290.1, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2017-01-09 08:00:00, None, None, 114.4
None, None, -6.654, 68.16, None, None, None, None, 17.68, None, 21.82, 271.3, None, None, None, None, None, -11.0, None, None, None, None, None, None, 2017-01-09 09:00:00, None, None, 114.0
None, None, -5.892, 60.68, None, None, None, None, 31.36, None, 11.98, 283.5, None, None, None, None, None, -12.0, None, None, None, None, None, None, 2017-01-09 10:00:00, None, None, 114.0
None, None, -5.677, 72.3, None, None, None, None, 37.74, None, 7.14, 280.4, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2017-01-09 11:00:00, None, None, 114.4
None, None, -6.339, 73.3, None, None, None, None, 46.36, None, 3.423, 262.0, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2017-01-09 12:00:00, None, None, 114.1
None, None, -5.956, 79.6, None, None, None, None, 34.64, None, 5.65, 215.3, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2017-01-09 13:00:00, None, None, 114.4
None, None, -6.086, 75.0, None, None, None, None, 36.94, None, 7.63, 223.4, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2017-01-09 14:00:00, None, None, 111.5
None, None, -5.67, 74.3, None, None, None, None, 32.41, None, 7.05, 265.2, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2017-01-09 15:00:00, None, None, 115.2
None, None, -6.646, 78.7, None, None, None, None, 23.65, None, 9.02, 287.6, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2017-01-09 16:00:00, None, None, 114.9
None, None, -7.17, 77.8, None, None, None, None, 27.96, None, 5.313, 269.4, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2017-01-09 17:00:00, None, None, 113.8
None, None, -6.976, 79.6, None, None, None, None, 18.48, None, 6.77, 263.2, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2017-01-09 18:00:00, None, None, 113.5
None, None, -7.34, 79.8, None, None, None, None, 68.25, None, 0.675, 239.8, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2017-01-09 19:00:00, None, None, 113.1
None, None, -8.16, 96.0, None, None, None, None, 31.51, None, 3.025, 141.9, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2017-01-09 20:00:00, None, None, 112.9
None, None, -8.13, 95.2, None, None, None, None, 21.27, None, 5.381, 89.1, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2017-01-09 21:00:00, None, None, 112.4
None, None, -8.84, 92.9, None, None, None, None, 47.63, None, 1.627, 81.0, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2017-01-09 22:00:00, None, None, 112.2
None, None, -11.1, 86.6, None, None, None, None, 9.62, None, 8.96, 78.8, None, None, None, None, None, -13.0, None, None, None, None, None, None, 2017-01-09 23:00:00, None, None, 111.9
None, None, -12.25, 83.8, None, None, None, None, 12.43, None, 5.986, 82.0, None, None, None, None, None, -14.0, None, None, None, None, None, None, 2017-01-10 00:00:00, None, None, 111.7
None, None, -13.1, 81.6, None, None, None, None, 17.71, None, 4.949, 74.9, None, None, None, None, None, -15.0, None, None, None, None, None, None, 2017-01-10 01:00:00, None, None, 111.4
None, None, -13.57, 80.7, None, None, None, None, 29.27, None, 3.495, 65.89, None, None, None, None, None, -16.0, None, None, None, None, None, None, 2017-01-10 02:00:00, None, None, 111.0
None, None, -14.84, 78.3, None, None, None, None, 24.29, None, 6.365, 69.1, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-10 03:00:00, None, None, 110.8
None, None, -14.82, 78.4, None, None, None, None, 11.7, None, 15.43, 80.4, None, None, None, None, None, -17.0, None, None, None, None, None, None, 2017-01-10 04:00:00, None, None, 111.1
None, None, -15.59, 77.7, None, None, None, None, 12.97, None, 12.04, 78.9, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-10 05:00:00, None, None, 111.0
None, None, -16.11, 77.2, None, None, None, None, 14.09, None, 12.4, 76.6, None, None, None, None, None, -19.0, None, None, None, None, None, None, 2017-01-10 06:00:00, None, None, 111.0
None, None, -16.15, 77.2, None, None, None, None, 13.31, None, 10.56, 71.2, None, None, None, None, None, -19.0, None, None, None, None, None, None, 2017-01-10 07:00:00, None, None, 110.6
None, None, -16.85, 76.9, None, None, None, None, 11.74, None, 15.16, 74.7, None, None, None, None, None, -20.0, None, None, None, None, None, None, 2017-01-10 08:00:00, None, None, 111.3
None, None, -16.91, 77.0, None, None, None, None, 10.6, None, 15.65, 78.6, None, None, None, None, None, -20.0, None, None, None, None, None, None, 2017-01-10 09:00:00, None, None, 113.4
None, None, -16.31, 76.5, None, None, None, None, 15.05, None, 14.45, 78.4, None, None, None, None, None, -19.0, None, None, None, None, None, None, 2017-01-10 10:00:00, None, None, 112.2
None, None, -14.84, 75.6, None, None, None, None, 16.96, None, 12.74, 98.0, None, None, None, None, None, -18.0, None, None, None, None, None, None, 2017-01-10 11:00:00, None, None, 111.6
None, None, -13.82, 63.83, None, None, None, None, 26.89, None, 8.28, 110.9, None, None, None, None, None, -19.0, None, None, None, None, None, None, 2017-01-10 12:00:00, None, None, 111.1
None, None, -14.26, 54.08, None, None, None, None, 21.22, None, 11.17, 77.7, None, None, None, None, None, -21.0, None, None, None, None, None, None, 2017-01-10 13:00:00, None, None, 110.6
None, None, -14.98, 54.75, None, None, None, None, 24.44, None, 12.09, 67.68, None, None, None, None, None, -21.0, None, None, None, None, None, None, 2017-01-10 15:00:00, None, None, 110.3
None, None, -17.07, 55.0, None, None, None, None, 24.4, None, 15.35, 62.0, None, None, None, None, None, -23.0, None, None, None, None, None, None, 2017-01-10 16:00:00, None, None, 111.2
None, None, -18.77, 55.58, None, None, None, None, 21.37, None, 17.88, 65.0, None, None, None, None, None, -25.0, None, None, None, None, None, None, 2017-01-10 17:00:00, None, None, 111.6
None, None, -19.37, 55.72, None, None, None, None, 22.71, None, 18.86, 50.95, None, None, None, None, None, -25.0, None, None, None, None, None, None, 2017-01-10 18:00:00, None, None, 112.0
None, None, -19.75, 56.92, None, None, None, None, 14.18, None, 20.91, 73.1, None, None, None, None, None, -25.0, None, None, None, None, None, None, 2017-01-10 19:00:00, None, None, 111.8
None, None, -20.08, 57.36, None, None, None, None, 11.35, None, 20.88, 76.1, None, None, None, None, None, -26.0, None, None, None, None, None, None, 2017-01-10 20:00:00, None, None, 111.7
None, None, -20.36, 59.69, None, None, None, None, 10.21, None, 27.43, 77.9, None, None, None, None, None, -26.0, None, None, None, None, None, None, 2017-01-10 21:00:00, None, None, 111.8
None, None, -19.57, 55.56, None, None, None, None, 12.38, None, 28.22, 71.7, None, None, None, None, None, -26.0, None, None, None, None, None, None, 2017-01-10 22:00:00, None, None, 111.8
