station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -14.12, None, None, None, None, None, 19.13, None, 4.747, 144.3, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 14:00:00, None, None, 146.4
None, -14.4, None, None, None, None, None, 15.27, None, 5.088, 147.8, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 15:00:00, None, None, 148.3
None, -15.22, None, None, None, None, None, 15.3, None, 5.481, 143.3, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 16:00:00, None, None, 148.6
None, -14.96, None, None, None, None, None, 16.64, None, 5.426, 144.1, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 17:00:00, None, None, 148.6
None, -15.44, None, None, None, None, None, 9.56, None, 5.585, 133.3, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 18:00:00, None, None, 148.3
None, -14.54, None, None, None, None, None, 14.25, None, 5.465, 153.4, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 19:00:00, None, None, 148.4
None, -14.0, None, None, None, None, None, 10.54, None, 6.489, 131.8, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 20:00:00, None, None, 148.0
None, -13.85, None, None, None, None, None, 19.7, None, 5.169, 161.1, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 21:00:00, None, None, 148.0
None, -14.45, None, None, None, None, None, 16.07, None, 7.41, 153.8, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 22:00:00, None, None, 147.6
None, -14.76, None, None, None, None, None, 12.33, None, 6.276, 180.5, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 00:00:00, None, None, 147.2
None, -15.38, None, None, None, None, None, 27.6, None, 5.898, 182.9, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 01:00:00, None, None, 147.5
None, -14.71, None, None, None, None, None, 19.93, None, 7.32, 130.4, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 02:00:00, None, None, 147.3
None, -14.34, None, None, None, None, None, 28.71, None, 6.198, 111.0, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 03:00:00, None, None, 147.0
None, -14.6, None, None, None, None, None, 29.81, None, 6.735, 156.4, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 04:00:00, None, None, 147.1
None, -14.6, None, None, None, None, None, 12.92, None, 8.85, 163.8, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 05:00:00, None, None, 147.9
None, -14.21, None, None, None, None, None, 10.79, None, 8.32, 152.5, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 06:00:00, None, None, 148.0
None, -13.82, None, None, None, None, None, 10.01, None, 8.78, 128.2, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 07:00:00, None, None, 147.5
None, -14.0, None, None, None, None, None, 11.18, None, 8.73, 119.2, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 08:00:00, None, None, 147.4
None, -13.54, None, None, None, None, None, 11.14, None, 10.66, 113.7, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 09:00:00, None, None, 147.5
None, -11.8, None, None, None, None, None, 14.51, None, 11.79, 105.3, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 10:00:00, None, None, 146.9
None, -11.73, None, None, None, None, None, 14.49, None, 10.77, 110.4, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 11:00:00, None, None, 147.0
None, -9.02, None, None, None, None, None, 18.94, None, 8.19, 115.0, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 12:00:00, None, None, 146.3
None, -9.07, None, None, None, None, None, 22.34, None, 6.67, 119.9, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 13:00:00, None, None, 146.2
None, -11.22, None, None, None, None, None, 20.57, None, 7.63, 109.2, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 14:00:00, None, None, 147.0
None, -12.38, None, None, None, None, None, 15.38, None, 13.83, 102.7, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 16:00:00, None, None, 146.5
None, -12.38, None, None, None, None, None, 14.55, None, 12.54, 102.5, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 17:00:00, None, None, 145.7
None, -12.12, None, None, None, None, None, 13.53, None, 12.3, 108.4, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 18:00:00, None, None, 144.1
None, -11.96, None, None, None, None, None, 11.61, None, 11.45, 112.1, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 19:00:00, None, None, 141.8
None, -11.99, None, None, None, None, None, 19.6, None, 8.09, 127.0, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 20:00:00, None, None, 143.2
None, -12.78, None, None, None, None, None, 24.98, None, 6.106, 117.0, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 21:00:00, None, None, 145.7
None, -12.57, None, None, None, None, None, 14.32, None, 6.85, 111.6, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 22:00:00, None, None, 147.0
None, -12.16, None, None, None, None, None, 17.98, None, 5.941, 120.7, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 23:00:00, None, None, 147.3
None, -11.74, None, None, None, None, None, 9.11, None, 7.73, 149.7, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 00:00:00, None, None, 146.6
None, -11.61, None, None, None, None, None, 15.62, None, 7.15, 170.9, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 01:00:00, None, None, 147.6
