station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time
84.8, None, None, None, 3.635, 69.24, None, None, None, None, None, None, None, None, None, 145.6, None, None, -15.07, None, None, None, None, 34.49, None, None, None, None, 2017-01-06 14:00:00
85.3, None, None, None, 6.124, 64.58, None, None, None, None, None, None, None, None, None, 145.7, None, None, -15.44, None, None, None, None, 23.85, None, None, None, None, 2017-01-06 15:00:00
86.7, None, None, None, 4.279, 41.65, None, None, None, None, None, None, None, None, None, 145.5, None, None, -15.04, None, None, None, None, 40.13, None, None, None, None, 2017-01-06 16:00:00
86.3, None, None, None, 7.783, 56.72, None, None, None, None, None, None, None, None, None, 145.1, None, None, -15.59, None, None, None, None, 26.02, None, None, None, None, 2017-01-06 17:00:00
85.7, None, None, None, 8.94, 38.18, None, None, None, None, None, None, None, None, None, 145.9, None, None, -15.86, None, None, None, None, 23.7, None, None, None, None, 2017-01-06 18:00:00
86.3, None, None, None, 12.08, 56.77, None, None, None, None, None, None, None, None, None, 145.9, None, None, -15.51, None, None, None, None, 22.77, None, None, None, None, 2017-01-06 19:00:00
86.8, None, None, None, 11.81, 59.35, None, None, None, None, None, None, None, None, None, 145.9, None, None, -15.14, None, None, None, None, 21.07, None, None, None, None, 2017-01-06 20:00:00
86.7, None, None, None, 11.41, 57.28, None, None, None, None, None, None, None, None, None, 145.7, None, None, -14.95, None, None, None, None, 22.31, None, None, None, None, 2017-01-06 21:00:00
86.9, None, None, None, 12.81, 44.07, None, None, None, None, None, None, None, None, None, 145.6, None, None, -14.75, None, None, None, None, 19.19, None, None, None, None, 2017-01-06 22:00:00
86.7, None, None, None, 13.43, 57.18, None, None, None, None, None, None, None, None, None, 145.5, None, None, -14.9, None, None, None, None, 21.07, None, None, None, None, 2017-01-06 23:00:00
87.2, None, None, None, 12.09, 51.98, None, None, None, None, None, None, None, None, None, 145.4, None, None, -14.56, None, None, None, None, 21.21, None, None, None, None, 2017-01-07 00:00:00
86.9, None, None, None, 9.71, 44.72, None, None, None, None, None, None, None, None, None, 145.5, None, None, -14.2, None, None, None, None, 20.33, None, None, None, None, 2017-01-07 01:00:00
86.0, None, None, None, 14.89, 55.26, None, None, None, None, None, None, None, None, None, 145.4, None, None, -14.66, None, None, None, None, 21.61, None, None, None, None, 2017-01-07 02:00:00
85.4, None, None, None, 15.59, 61.36, None, None, None, None, None, None, None, None, None, 145.0, None, None, -14.43, None, None, None, None, 23.28, None, None, None, None, 2017-01-07 03:00:00
84.9, None, None, None, 13.07, 68.52, None, None, None, None, None, None, None, None, None, 143.9, None, None, -14.16, None, None, None, None, 27.65, None, None, None, None, 2017-01-07 04:00:00
84.3, None, None, None, 11.23, 69.32, None, None, None, None, None, None, None, None, None, 143.8, None, None, -13.69, None, None, None, None, 26.14, None, None, None, None, 2017-01-07 05:00:00
84.1, None, None, None, 10.75, 72.7, None, None, None, None, None, None, None, None, None, 142.8, None, None, -14.4, None, None, None, None, 25.45, None, None, None, None, 2017-01-07 06:00:00
81.8, None, None, None, 11.69, 67.24, None, None, None, None, None, None, None, None, None, 142.1, None, None, -14.38, None, None, None, None, 25.31, None, None, None, None, 2017-01-07 07:00:00
78.63, None, None, None, 11.04, 68.72, None, None, None, None, None, None, None, None, None, 141.8, None, None, -14.23, None, None, None, None, 28.81, None, None, None, None, 2017-01-07 08:00:00
77.62, None, None, None, 12.71, 67.83, None, None, None, None, None, None, None, None, None, 141.8, None, None, -13.96, None, None, None, None, 29.09, None, None, None, None, 2017-01-07 09:00:00
73.39, None, None, None, 15.27, 66.39, None, None, None, None, None, None, None, None, None, 141.9, None, None, -13.78, None, None, None, None, 26.59, None, None, None, None, 2017-01-07 10:00:00
66.1, None, None, None, 13.07, 74.65, None, None, None, None, None, None, None, None, None, 141.6, None, None, -12.03, None, None, None, None, 28.99, None, None, None, None, 2017-01-07 11:00:00
67.5, None, None, None, 9.92, 82.7, None, None, None, None, None, None, None, None, None, 141.5, None, None, -12.39, None, None, None, None, 26.6, None, None, None, None, 2017-01-07 12:00:00
64.16, None, None, None, 8.62, 88.3, None, None, None, None, None, None, None, None, None, 141.4, None, None, -11.29, None, None, None, None, 28.12, None, None, None, None, 2017-01-07 13:00:00
62.86, None, None, None, 10.34, 82.5, None, None, None, None, None, None, None, None, None, 141.5, None, None, -12.51, None, None, None, None, 29.6, None, None, None, None, 2017-01-07 14:00:00
56.16, None, None, None, 10.79, 81.6, None, None, None, None, None, None, None, None, None, 141.3, None, None, -11.66, None, None, None, None, 26.27, None, None, None, None, 2017-01-07 15:00:00
59.4, None, None, None, 10.67, 81.0, None, None, None, None, None, None, None, None, None, 141.3, None, None, -11.78, None, None, None, None, 29.03, None, None, None, None, 2017-01-07 16:00:00
56.95, None, None, None, 10.55, 79.45, None, None, None, None, None, None, None, None, None, 141.1, None, None, -11.52, None, None, None, None, 27.92, None, None, None, None, 2017-01-07 17:00:00
