station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, PRECIP_DETECTOR_RATIO, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, time, stn_pres
77.84, None, None, None, 2.925, 150.0, None, None, -9.0, 936.0, None, None, None, None, None, 26.6, None, None, -6.575, None, None, None, None, 24.2, None, None, None, None, None, None, 2017-01-06 14:00:00, None
78.46, None, None, None, 2.31, 151.4, None, None, -9.0, 935.0, None, None, None, None, None, 26.53, None, None, -6.478, None, None, None, None, 19.45, None, None, None, None, None, None, 2017-01-06 15:00:00, None
80.9, None, None, None, 1.423, 151.0, None, None, -10.0, 936.0, None, None, None, None, None, 26.37, None, None, -7.248, None, None, None, None, 14.72, None, None, None, None, None, None, 2017-01-06 16:00:00, None
82.6, None, None, None, 0.779, 173.0, None, None, -9.0, 937.0, None, None, None, None, None, 26.59, None, None, -7.009, None, None, None, None, 26.51, None, None, None, None, None, None, 2017-01-06 17:00:00, None
83.0, None, None, None, 0.594, 177.7, None, None, -9.0, 937.0, None, None, None, None, None, 26.41, None, None, -6.623, None, None, None, None, 28.2, None, None, None, None, None, None, 2017-01-06 18:00:00, None
82.8, None, None, None, 0.278, 166.4, None, None, -8.0, 937.0, None, None, None, None, None, 26.18, None, None, -6.245, None, None, None, None, 19.16, None, None, None, None, None, None, 2017-01-06 19:00:00, None
82.2, None, None, None, 0.43, 198.9, None, None, -8.0, 937.0, None, None, None, None, None, 26.26, None, None, -6.103, None, None, None, None, 39.43, None, None, None, None, None, None, 2017-01-06 20:00:00, None
81.9, None, None, None, 0.472, 195.0, None, None, -8.0, 937.0, None, None, None, None, None, 26.2, None, None, -6.103, None, None, None, None, 29.42, None, None, None, None, None, None, 2017-01-06 21:00:00, None
83.2, None, None, None, 0.833, 357.8, None, None, -9.0, 938.0, None, None, None, None, None, 25.99, None, None, -6.979, None, None, None, None, 75.33, None, None, None, None, None, None, 2017-01-06 22:00:00, None
84.5, None, None, None, 1.568, 264.9, None, None, -9.0, 939.0, None, None, None, None, None, 26.03, None, None, -6.912, None, None, None, None, 66.73, None, None, None, None, None, None, 2017-01-06 23:00:00, None
86.0, None, None, None, 2.24, 7.912, None, None, -9.0, 939.0, None, None, None, None, None, 26.01, None, None, -7.007, None, None, None, None, 22.46, None, None, None, None, None, None, 2017-01-07 00:00:00, None
87.3, None, None, None, 2.569, 6.647, None, None, -9.0, 939.0, None, None, None, None, None, 25.95, None, None, -7.249, None, None, None, None, 27.19, None, None, None, None, None, None, 2017-01-07 01:00:00, None
87.9, None, None, None, 1.2, 16.97, None, None, -9.0, 939.0, None, None, None, None, None, 25.87, None, None, -7.424, None, None, None, None, 56.95, None, None, None, None, None, None, 2017-01-07 02:00:00, None
