station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -9.35, 87.9, None, None, None, None, 32.45, None, 6.489, 221.2, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-06 14:00:00, None, None, 45.15
None, -9.11, 88.3, None, None, None, None, 31.4, None, 6.933, 220.9, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-06 15:00:00, None, None, 45.35
None, -9.54, 88.5, None, None, None, None, 74.8, None, 0.429, 207.8, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-06 16:00:00, None, None, 44.8
None, -9.87, 88.9, None, None, None, None, 63.82, None, 0.607, 90.7, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-06 17:00:00, None, None, 44.18
None, -9.86, 86.7, None, None, None, None, 70.2, None, 0.528, 113.3, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-06 18:00:00, None, None, 43.99
None, -10.0, 88.4, None, None, None, None, 69.1, None, 0.688, 162.9, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-06 19:00:00, None, None, 43.44
None, -10.0, 87.6, None, None, None, None, 72.4, None, 0.456, 28.44, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-06 20:00:00, None, None, 43.27
None, -9.62, 86.4, None, None, None, None, 74.3, None, 0.46, 212.7, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-06 21:00:00, None, None, 43.24
None, -9.67, 87.6, None, None, None, None, 77.7, None, 0.233, 236.3, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-06 22:00:00, None, None, 42.96
None, -9.86, 88.1, None, None, None, None, 74.9, None, 0.376, 145.3, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-06 23:00:00, None, None, 43.12
None, -9.67, 87.6, None, None, None, None, 76.2, None, 0.283, 68.82, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-07 00:00:00, None, None, 43.5
None, -9.86, 89.1, None, None, None, None, 48.72, None, 1.364, 7.58, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-07 01:00:00, None, None, 44.43
None, -9.33, 88.4, None, None, None, None, 74.7, None, 0.331, 358.7, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-07 02:00:00, None, None, 46.76
None, -9.57, 88.6, None, None, None, None, 69.86, None, 0.542, 312.8, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-07 03:00:00, None, None, 46.46
None, -10.29, 90.9, None, None, None, None, 24.35, None, 2.461, 8.59, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-07 04:00:00, None, None, 46.41
None, -10.24, 90.0, None, None, None, None, 31.97, None, 2.228, 35.78, None, None, None, None, None, -11.0, None, None, None, None, None, None, None, 2017-01-07 05:00:00, None, None, 46.34
