station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
81.7, None, None, None, 0.999, 18.93, None, None, None, None, None, None, None, None, 169.7, None, None, -13.67, None, None, None, 33.43, None, None, None, None, None, 2017-01-06 14:00:00, None
82.3, None, None, None, 1.175, 59.11, None, None, None, None, None, None, None, None, 169.5, None, None, -14.6, None, None, None, 47.93, None, None, None, None, None, 2017-01-06 15:00:00, None
82.9, None, None, None, 0.735, 65.7, None, None, None, None, None, None, None, None, 169.7, None, None, -15.94, None, None, None, 52.12, None, None, None, None, None, 2017-01-06 16:00:00, None
83.4, None, None, None, 1.318, 82.5, None, None, None, None, None, None, None, None, 169.6, None, None, -16.09, None, None, None, 29.61, None, None, None, None, None, 2017-01-06 17:00:00, None
83.1, None, None, None, 1.215, 76.71, None, None, None, None, None, None, None, None, 168.9, None, None, -17.59, None, None, None, 17.03, None, None, None, None, None, 2017-01-06 18:00:00, None
80.6, None, None, None, 1.907, 52.98, None, None, None, None, None, None, None, None, 169.3, None, None, -17.29, None, None, None, 17.09, None, None, None, None, None, 2017-01-06 19:00:00, None
82.0, None, None, None, 1.622, 95.0, None, None, None, None, None, None, None, None, 169.3, None, None, -17.6, None, None, None, 30.01, None, None, None, None, None, 2017-01-06 20:00:00, None
82.1, None, None, None, 1.251, 93.5, None, None, None, None, None, None, None, None, 169.3, None, None, -17.57, None, None, None, 21.96, None, None, None, None, None, 2017-01-06 21:00:00, None
82.6, None, None, None, 2.292, 103.1, None, None, None, None, None, None, None, None, 169.2, None, None, -17.18, None, None, None, 19.27, None, None, None, None, None, 2017-01-06 22:00:00, None
82.0, None, None, None, 1.862, 115.8, None, None, None, None, None, None, None, None, 169.1, None, None, -17.28, None, None, None, 18.92, None, None, None, None, None, 2017-01-06 23:00:00, None
83.4, None, None, None, 1.458, 96.7, None, None, None, None, None, None, None, None, 169.3, None, None, -16.78, None, None, None, 17.43, None, None, None, None, None, 2017-01-07 00:00:00, None
82.7, None, None, None, 1.777, 89.5, None, None, None, None, None, None, None, None, 169.2, None, None, -16.24, None, None, None, 28.97, None, None, None, None, None, 2017-01-07 01:00:00, None
81.0, None, None, None, 2.997, 62.59, None, None, None, None, None, None, None, None, 169.3, None, None, -15.87, None, None, None, 20.42, None, None, None, None, None, 2017-01-07 02:00:00, None
80.2, None, None, None, 2.54, 82.8, None, None, None, None, None, None, None, None, 169.3, None, None, -15.97, None, None, None, 28.05, None, None, None, None, None, 2017-01-07 03:00:00, None
81.7, None, None, None, 2.152, 82.9, None, None, None, None, None, None, None, None, 168.8, None, None, -16.56, None, None, None, 27.92, None, None, None, None, None, 2017-01-07 04:00:00, None
80.5, None, None, None, 3.997, 60.03, None, None, None, None, None, None, None, None, 169.2, None, None, -15.91, None, None, None, 18.74, None, None, None, None, None, 2017-01-07 05:00:00, None
81.3, None, None, None, 3.308, 66.19, None, None, None, None, None, None, None, None, 168.7, None, None, -16.61, None, None, None, 19.01, None, None, None, None, None, 2017-01-07 06:00:00, None
79.55, None, None, None, 3.848, 62.64, None, None, None, None, None, None, None, None, 168.4, None, None, -15.83, None, None, None, 19.75, None, None, None, None, None, 2017-01-07 07:00:00, None
80.7, None, None, None, 2.534, 71.78, None, None, None, None, None, None, None, None, 168.4, None, None, -16.72, None, None, None, 29.12, None, None, None, None, None, 2017-01-07 08:00:00, None
77.52, None, None, None, 4.56, 55.87, None, None, None, None, None, None, None, None, 168.7, None, None, -15.37, None, None, None, 22.34, None, None, None, None, None, 2017-01-07 09:00:00, None
77.25, None, None, None, 4.222, 70.01, None, None, None, None, None, None, None, None, 168.9, None, None, -14.22, None, None, None, 25.53, None, None, None, None, None, 2017-01-07 10:00:00, None
75.66, None, None, None, 3.068, 75.57, None, None, None, None, None, None, None, None, 168.9, None, None, -13.36, None, None, None, 27.88, None, None, None, None, None, 2017-01-07 11:00:00, None
78.98, None, None, None, 3.798, 88.1, None, None, None, None, None, None, None, None, 169.1, None, None, -13.18, None, None, None, 25.38, None, None, None, None, None, 2017-01-07 12:00:00, None
71.89, None, None, None, 3.146, 76.06, None, None, None, None, None, None, None, None, 169.3, None, None, -11.8, None, None, None, 27.29, None, None, None, None, None, 2017-01-07 13:00:00, None
68.76, None, None, None, 3.121, 59.44, None, None, None, None, None, None, None, None, 169.2, None, None, -11.88, None, None, None, 33.65, None, None, None, None, None, 2017-01-07 14:00:00, None
71.64, None, None, None, 2.196, 76.4, None, None, None, None, None, None, None, None, 169.2, None, None, -12.13, None, None, None, 39.6, None, None, None, None, None, 2017-01-07 15:00:00, None
71.21, None, None, None, 3.131, 81.2, None, None, None, None, None, None, None, None, 169.4, None, None, -12.07, None, None, None, 35.22, None, None, None, None, None, 2017-01-07 16:00:00, None
73.67, None, None, None, 3.099, 76.49, None, None, None, None, None, None, None, None, 169.5, None, None, -12.21, None, None, None, 31.29, None, None, None, None, None, 2017-01-07 17:00:00, None
72.57, None, None, None, 3.399, 74.81, None, None, None, None, None, None, None, None, 169.4, None, None, -11.99, None, None, None, 23.41, None, None, None, None, None, 2017-01-07 18:00:00, None
78.44, None, None, None, 2.395, 85.9, None, None, None, None, None, None, None, None, 168.7, None, None, -12.07, None, None, None, 24.38, None, None, None, None, None, 2017-01-07 19:00:00, None
83.5, None, None, None, 1.856, 84.3, None, None, None, None, None, None, None, None, 169.0, None, None, -12.21, None, None, None, 32.64, None, None, None, None, None, 2017-01-07 20:00:00, None
87.0, None, None, None, 2.014, 68.06, None, None, None, None, None, None, None, None, 170.1, None, None, -12.22, None, None, None, 37.06, None, None, None, None, None, 2017-01-07 21:00:00, None
87.1, None, None, None, 2.243, 71.69, None, None, None, None, None, None, None, None, 171.4, None, None, -12.2, None, None, None, 27.28, None, None, None, None, None, 2017-01-07 22:00:00, None
86.8, None, None, None, 2.778, 64.69, None, None, None, None, None, None, None, None, 171.1, None, None, -12.13, None, None, None, 23.04, None, None, None, None, None, 2017-01-07 23:00:00, None
86.7, None, None, None, 1.96, 67.51, None, None, None, None, None, None, None, None, 171.0, None, None, -12.18, None, None, None, 19.57, None, None, None, None, None, 2017-01-08 00:00:00, None
86.7, None, None, None, 0.391, 65.79, None, None, None, None, None, None, None, None, 171.7, None, None, -13.25, None, None, None, 9.93, None, None, None, None, None, 2017-01-08 01:00:00, None
87.0, None, None, None, 0.042, 62.35, None, None, None, None, None, None, None, None, 170.5, None, None, -13.63, None, None, None, 28.38, None, None, None, None, None, 2017-01-08 02:00:00, None
87.1, None, None, None, 0.0, 91.4, None, None, None, None, None, None, None, None, 170.5, None, None, -12.49, None, None, None, 0.175, None, None, None, None, None, 2017-01-08 03:00:00, None
88.1, None, None, None, 0.013, 88.3, None, None, None, None, None, None, None, None, 170.6, None, None, -11.79, None, None, None, 23.58, None, None, None, None, None, 2017-01-08 04:00:00, None
88.8, None, None, None, 0.101, 188.1, None, None, None, None, None, None, None, None, 171.2, None, None, -11.51, None, None, None, 37.84, None, None, None, None, None, 2017-01-08 05:00:00, None
88.0, None, None, None, 0.432, 335.1, None, None, None, None, None, None, None, None, 171.0, None, None, -12.42, None, None, None, 65.75, None, None, None, None, None, 2017-01-08 06:00:00, None
88.5, None, None, None, 0.772, 23.41, None, None, None, None, None, None, None, None, 170.9, None, None, -13.17, None, None, None, 38.45, None, None, None, None, None, 2017-01-08 07:00:00, None
87.7, None, None, None, 1.009, 48.73, None, None, None, None, None, None, None, None, 170.8, None, None, -13.44, None, None, None, 39.13, None, None, None, None, None, 2017-01-08 08:00:00, None
88.0, None, None, None, 1.688, 26.39, None, None, None, None, None, None, None, None, 171.1, None, None, -12.9, None, None, None, 43.78, None, None, None, None, None, 2017-01-08 09:00:00, None
87.7, None, None, None, 2.545, 62.48, None, None, None, None, None, None, None, None, 170.8, None, None, -11.74, None, None, None, 40.22, None, None, None, None, None, 2017-01-08 10:00:00, None
87.8, None, None, None, 2.691, 50.44, None, None, None, None, None, None, None, None, 170.7, None, None, -11.54, None, None, None, 35.06, None, None, None, None, None, 2017-01-08 11:00:00, None
88.3, None, None, None, 3.725, 53.5, None, None, None, None, None, None, None, None, 170.2, None, None, -11.35, None, None, None, 36.11, None, None, None, None, None, 2017-01-08 12:00:00, None
89.1, None, None, None, 3.343, 41.91, None, None, None, None, None, None, None, None, 171.3, None, None, -11.39, None, None, None, 41.22, None, None, None, None, None, 2017-01-08 13:00:00, None
89.1, None, None, None, 3.27, 70.8, None, None, None, None, None, None, None, None, 170.6, None, None, -11.16, None, None, None, 45.88, None, None, None, None, None, 2017-01-08 14:00:00, None
89.2, None, None, None, 3.83, 64.11, None, None, None, None, None, None, None, None, 171.9, None, None, -11.31, None, None, None, 42.61, None, None, None, None, None, 2017-01-08 15:00:00, None
89.1, None, None, None, 3.727, 56.07, None, None, None, None, None, None, None, None, 171.7, None, None, -11.16, None, None, None, 34.62, None, None, None, None, None, 2017-01-08 16:00:00, None
88.8, None, None, None, 4.422, 74.3, None, None, None, None, None, None, None, None, 172.5, None, None, -11.15, None, None, None, 28.19, None, None, None, None, None, 2017-01-08 17:00:00, None
89.1, None, None, None, 4.04, 74.84, None, None, None, None, None, None, None, None, 173.7, None, None, -10.74, None, None, None, 33.89, None, None, None, None, None, 2017-01-08 18:00:00, None
89.4, None, None, None, 3.29, 84.2, None, None, None, None, None, None, None, None, 175.0, None, None, -10.45, None, None, None, 35.29, None, None, None, None, None, 2017-01-08 19:00:00, None
89.8, None, None, None, 3.038, 77.18, None, None, None, None, None, None, None, None, 175.9, None, None, -9.94, None, None, None, 30.52, None, None, None, None, None, 2017-01-08 20:00:00, None
90.1, None, None, None, 3.989, 61.57, None, None, None, None, None, None, None, None, 177.6, None, None, -9.58, None, None, None, 25.06, None, None, None, None, None, 2017-01-08 21:00:00, None
90.2, None, None, None, 3.254, 46.86, None, None, None, None, None, None, None, None, 178.3, None, None, -9.32, None, None, None, 40.1, None, None, None, None, None, 2017-01-08 22:00:00, None
90.3, None, None, None, 1.311, 45.48, None, None, None, None, None, None, None, None, 178.4, None, None, -9.14, None, None, None, 39.63, None, None, None, None, None, 2017-01-08 23:00:00, None
90.6, None, None, None, 0.902, 2.591, None, None, None, None, None, None, None, None, 180.9, None, None, -8.86, None, None, None, 60.29, None, None, None, None, None, 2017-01-09 00:00:00, None
91.9, None, None, None, 2.361, 134.0, None, None, None, None, None, None, None, None, 181.3, None, None, -7.37, None, None, None, 26.86, None, None, None, None, None, 2017-01-09 01:00:00, None
92.4, None, None, None, 1.918, 130.9, None, None, None, None, None, None, None, None, 181.7, None, None, -6.869, None, None, None, 30.42, None, None, None, None, None, 2017-01-09 02:00:00, None
92.4, None, None, None, 1.04, 140.2, None, None, None, None, None, None, None, None, 181.5, None, None, -6.627, None, None, None, 34.95, None, None, None, None, None, 2017-01-09 03:00:00, None
92.5, None, None, None, 0.323, 173.5, None, None, None, None, None, None, None, None, 181.4, None, None, -6.866, None, None, None, 38.23, None, None, None, None, None, 2017-01-09 04:00:00, None
92.6, None, None, None, 0.581, 114.3, None, None, None, None, None, None, None, None, 181.2, None, None, -6.754, None, None, None, 64.82, None, None, None, None, None, 2017-01-09 05:00:00, None
90.9, None, None, None, 2.059, 90.6, None, None, None, None, None, None, None, None, 181.5, None, None, -8.55, None, None, None, 62.33, None, None, None, None, None, 2017-01-09 06:00:00, None
92.0, None, None, None, 1.6, 183.8, None, None, None, None, None, None, None, None, 181.9, None, None, -6.854, None, None, None, 62.18, None, None, None, None, None, 2017-01-09 07:00:00, None
90.9, None, None, None, 1.713, 144.5, None, None, None, None, None, None, None, None, 181.4, None, None, -8.51, None, None, None, 34.74, None, None, None, None, None, 2017-01-09 08:00:00, None
91.3, None, None, None, 1.94, 134.8, None, None, None, None, None, None, None, None, 181.7, None, None, -8.36, None, None, None, 34.02, None, None, None, None, None, 2017-01-09 09:00:00, None
90.9, None, None, None, 2.114, 120.3, None, None, None, None, None, None, None, None, 181.3, None, None, -7.997, None, None, None, 40.91, None, None, None, None, None, 2017-01-09 10:00:00, None
