pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, None, 5.983,59.79, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 00:00:00, None, None, -0.946,43
None, None, 5.571,61.2, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 01:00:00, None, None, -0.988,43
None, None, 5.125,62.23, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 02:00:00, None, None, -0.784,43
None, None, 4.754,63.59, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 03:00:00, None, None, -0.946,43
None, None, 4.099,65.49, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 04:00:00, None, None, -0.803,43
None, None, 3.457,66.62, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 05:00:00, None, None, -0.829,43
None, None, 2.791,68.77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 06:00:00, None, None, -0.861,43
None, None, 2.754,68.22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 07:00:00, None, None, -0.746,43
None, None, 2.53,68.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 08:00:00, None, None, -0.816,43
None, None, 2.299,66.85, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 09:00:00, None, None, -0.865,43
None, None, 2.028,66.31, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 10:00:00, None, None, -0.718,43
None, None, 5.38,52.63, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 11:00:00, None, None, -0.751,43
None, None, 7.298,56.67, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 12:00:00, None, None, -0.846,43
None, None, 7.914,54.95, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 13:00:00, None, None, -0.932,43
None, None, 9.53,52.86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 14:00:00, None, None, -1.191,43
None, None, 11.6,47.38, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 15:00:00, None, None, -2.018,43
None, None, 11.63,49.04, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 16:00:00, None, None, -2.043,43
None, None, 9.32,63.68, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 17:00:00, None, None, -1.203,43
None, None, 7.92,64.48, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 18:00:00, None, None, -1.036,43
None, None, 7.245,63.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 19:00:00, None, None, -1.083,43
None, None, 6.627,61.92, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 20:00:00, None, None, -1.034,43
None, None, 7.977,45.37, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 21:00:00, None, None, -1.593,43
None, None, 7.994,41.81, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 22:00:00, None, None, -1.198,43
None, None, 7.838,43.51, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 23:00:00, None, None, -1.019,43
None, None, 6.834,46.86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 00:00:00, None, None, -0.929,43
None, None, 5.875,48.79, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 01:00:00, None, None, -0.878,43
None, None, 5.68,50.01, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 02:00:00, None, None, -0.849,43
None, None, 5.264,50.71, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 03:00:00, None, None, -0.676,43
None, None, 4.635,51.48, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 04:00:00, None, None, -0.874,43
None, None, 5.308,48.79, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 05:00:00, None, None, -0.867,43
None, None, 4.244,49.69, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 06:00:00, None, None, -0.696,43
None, None, 4.28,48.87, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 07:00:00, None, None, -0.944,43
None, None, 3.795,49.06, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 08:00:00, None, None, -0.729,43
None, None, 4.049,48.58, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 09:00:00, None, None, -0.629,43
None, None, 4.767,44.73, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 10:00:00, None, None, -0.748,43
None, None, 8.1,39.56, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 11:00:00, None, None, -1.228,43
None, None, 8.4,47.17, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 12:00:00, None, None, -1.035,43
None, None, 9.04,48.04, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 13:00:00, None, None, -1.002,43
None, None, 10.35,43.87, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 14:00:00, None, None, -0.966,43
None, None, 9.61,55.75, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 15:00:00, None, None, -1.033,43
None, None, 10.06,59.48, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 16:00:00, None, None, -0.812,43
None, None, 8.75,63.86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 17:00:00, None, None, -0.757,43
None, None, 7.608,64.53, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 18:00:00, None, None, -0.957,43
None, None, 6.757,68.67, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 19:00:00, None, None, -0.695,43
None, None, 5.797,65.09, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 21:00:00, None, None, -0.784,43
None, None, 5.749,66.52, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 22:00:00, None, None, -0.736,43
None, None, 5.069,71.67, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-23 23:00:00, None, None, -0.835,43
None, None, 4.098,74.61, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 00:00:00, None, None, -0.626,43
None, None, 3.434,77.68, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 01:00:00, None, None, -0.744,43
None, None, 2.79,78.54, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 02:00:00, None, None, -0.782,43
None, None, 2.572,74.12, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 03:00:00, None, None, -0.956,43
None, None, 2.137,79.91, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 04:00:00, None, None, -0.833,43
None, None, 1.642,80.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 05:00:00, None, None, -0.894,43
None, None, 1.158,83.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 06:00:00, None, None, -0.835,43
None, None, 0.769,82.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 07:00:00, None, None, -1.018,43
None, None, 1.714,79.22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 08:00:00, None, None, -0.86,43
None, None, 0.594,82.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 09:00:00, None, None, -1.005,43
None, None, 2.527,79.17, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 10:00:00, None, None, -0.963,43
None, None, 3.737,71.8, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 11:00:00, None, None, -0.784,43
None, None, 6.439,71.63, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 12:00:00, None, None, -0.882,43
None, None, 7.937,60.92, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 13:00:00, None, None, -0.852,43
None, None, 9.19,49.36, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 14:00:00, None, None, -0.963,43
None, None, 9.24,44.74, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 15:00:00, None, None, -1.015,43
None, None, 9.28,42.67, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 16:00:00, None, None, -0.872,43
None, None, 9.23,42.04, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 17:00:00, None, None, -1.142,43
None, None, 9.13,41.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 18:00:00, None, None, -0.857,43
None, None, 8.31,49.82, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 19:00:00, None, None, -0.887,43
None, None, 7.437,55.31, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 20:00:00, None, None, -0.86,43
None, None, 7.05,57.37, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 21:00:00, None, None, -1.026,43
None, None, 7.969,52.77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 22:00:00, None, None, -0.946,43
None, None, 7.566,59.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-24 23:00:00, None, None, -0.8,43
